SportType,HostCountry,PreviousEvent,EventStages,EventDescription,OfficialWebsite,EventClassification,NotableParticipant,EventName,EditionNumber,NextEvent,CommonsCategory,MainCategory,EventImage
0,0,13,12,6,0,4,6,14,,13,0,6,1
1,1,8,10,4,0,3,2,8,107.0,8,7,5,3
1,5,5,7,5,2,3,0,5,72.0,5,9,3,7
1,4,9,11,8,0,4,5,9,5.0,9,2,9,1
1,4,10,11,8,0,4,5,10,6.0,10,2,9,1
1,5,12,1,10,8,2,5,13,,12,8,8,2
1,1,4,6,7,4,3,1,4,104.0,4,5,2,5
1,5,6,8,8,1,0,5,6,30.0,6,2,9,1
1,3,3,5,9,5,1,5,3,21.0,2,2,9,1
1,2,2,4,2,6,1,5,2,40.0,3,2,9,1
1,1,12,0,11,9,2,5,12,,12,3,7,8
1,1,1,3,1,3,4,1,1,101.0,1,4,1,4
0,0,13,12,6,0,4,6,14,,13,0,6,1
1,4,9,11,8,0,4,5,9,5.0,9,2,9,1
1,2,0,2,0,7,3,4,0,97.0,0,1,0,0
1,1,7,9,3,9,3,3,7,106.0,7,6,4,6
1,1,12,0,11,9,2,5,12,,12,3,7,8
1,1,8,10,4,0,3,2,8,107.0,8,7,5,3
1,4,10,11,8,0,4,5,10,6.0,10,2,9,1
1,4,11,11,8,0,4,5,11,7.0,11,2,9,1
1,1,7,9,3,9,3,3,7,106.0,7,6,4,6
1,2,0,2,0,7,3,4,0,97.0,0,1,0,0
1,5,5,7,5,2,3,0,5,72.0,5,9,3,7
1,4,9,11,8,0,4,5,9,5.0,9,2,9,1
1,4,11,11,8,0,4,5,11,7.0,11,2,9,1
1,1,7,9,3,9,3,3,7,106.0,7,6,4,6
1,1,4,6,7,4,3,1,4,104.0,4,5,2,5
1,5,5,7,5,2,3,0,5,72.0,5,9,3,7
