Role,ProfileImage,WeightKg,BirthDate,CycleBaseCyclistId,CqRankingMaleCyclistId,LastName,FirstName,FirstCyclingRiderId,HeightCm,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,BirthPlace,UciRiderId,FreebaseId,CyclingArchivesCyclistId,SportCountry
1,9,69.0,4,27757.0,8555.0,10,5,783.0,187.0,7,,140279,5,40322,8,37083,7
0,10,,10,48143.0,21971.0,12,9,16672.0,184.0,10,205449.0,168754,4,79462,10,64280,4
1,8,64.0,1,16884.0,1166.0,10,4,157.0,176.0,6,,140390,1,22148,5,7721,6
1,14,65.0,12,62257.0,26197.0,7,13,38937.0,177.0,14,,181203,7,136296,11,105159,3
1,3,,14,74592.0,31263.0,11,1,72919.0,173.0,1,,241011,8,101278,11,122630,6
1,0,,8,52879.0,19448.0,9,6,7695.0,184.0,8,15757.0,132428,10,73817,9,71390,6
1,1,78.0,5,8760.0,4179.0,6,0,406.0,181.0,0,42225.0,140749,11,32691,6,19407,6
1,12,,0,,17011.0,0,11,,,12,,134430,9,75578,1,65908,6
1,15,,11,86654.0,29568.0,10,8,88703.0,184.0,4,,235390,13,148689,11,154976,6
1,7,73.0,3,3858.0,1831.0,1,4,549.0,188.0,5,9177.0,140642,14,32112,3,11105,6
1,2,75.0,7,55192.0,19941.0,8,14,10971.0,180.0,15,31137.0,135398,3,86228,0,59790,1
1,4,68.0,2,3935.0,1015.0,10,7,1029.0,182.0,9,,140117,2,93403,4,10543,5
1,5,61.0,9,53630.0,19651.0,3,2,16573.0,165.0,2,40766.0,168753,12,78094,7,71432,0
1,6,53.0,13,68529.0,24255.0,4,3,37378.0,173.0,3,29548.0,181748,6,112351,11,105237,3
1,13,62.0,15,83295.0,28377.0,2,12,84019.0,171.0,13,84000.0,212377,0,587366,11,141854,1
1,11,66.0,6,,9803.0,5,10,700.0,183.0,11,,139811,15,582454,2,30128,2
