WeightKg,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,TwitterUsername,BirthPlace,UciRiderId,BirthDate,SportsTeam,LastName,FirstName,EventParticipation,CitizenshipCountry,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,SportCountry
4,10,62257.0,26197.0,4,10,,181203,7,5,136296,8,3,6,9,6,2,105159,38937.0,177.0,8,3
7,6,27757.0,8555.0,0,5,,140279,5,3,40322,3,2,7,4,8,6,37083,783.0,187.0,7,6
1,2,53630.0,19651.0,1,1,40766.0,168753,0,7,78094,7,9,2,1,1,0,71432,16573.0,165.0,5,0
9,0,8760.0,4179.0,3,0,42225.0,140749,4,6,32691,4,1,5,0,3,5,19407,406.0,181.0,4,5
9,7,26009.0,12193.0,5,7,1940308.0,140797,6,10,54603,6,2,8,6,0,7,30229,784.0,184.0,6,5
2,9,83295.0,28377.0,6,9,84000.0,212377,2,0,587366,10,7,1,8,6,1,141854,84019.0,171.0,8,1
8,4,3858.0,1831.0,0,3,9177.0,140642,3,8,32112,2,5,0,3,2,1,11105,549.0,188.0,1,5
6,1,3935.0,1015.0,0,6,,140117,5,2,93403,1,6,7,5,8,4,10543,1029.0,182.0,2,4
0,3,68529.0,24255.0,2,2,29548.0,181748,1,4,112351,9,4,3,2,4,2,105237,37378.0,173.0,8,3
3,5,16884.0,1166.0,0,4,,140390,5,1,22148,0,8,7,3,7,4,7721,157.0,176.0,3,5
5,8,,9803.0,0,8,,139811,5,9,582454,5,0,4,7,5,3,30128,700.0,183.0,0,2
