SportsTeam,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,TwitterUsername,BirthPlace,UciRiderId,WeightKg,BirthDate,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,SportCountry
3,9,27757.0,8555.0,0,7,,140279,6,5,40322,69.0,4,10,5,37083,783.0,187.0,8,7
0,10,48143.0,21971.0,8,10,205449.0,168754,7,4,79462,,10,12,9,64280,16672.0,184.0,10,4
12,8,16884.0,1166.0,0,6,,140390,6,1,22148,64.0,1,10,4,7721,157.0,176.0,5,6
4,14,62257.0,26197.0,6,14,,181203,8,7,136296,65.0,12,7,13,105159,38937.0,177.0,11,3
6,3,74592.0,31263.0,1,1,,241011,6,8,101278,,14,11,1,122630,72919.0,173.0,11,6
14,0,52879.0,19448.0,7,8,15757.0,132428,5,10,73817,,8,9,6,71390,7695.0,184.0,9,6
2,1,8760.0,4179.0,5,0,42225.0,140749,4,11,32691,78.0,5,6,0,19407,406.0,181.0,6,6
7,12,,17011.0,0,12,,134430,6,9,75578,,0,0,11,65908,,,1,6
9,15,86654.0,29568.0,4,4,,235390,6,13,148689,,11,10,8,154976,88703.0,184.0,11,6
8,7,3858.0,1831.0,0,5,9177.0,140642,3,14,32112,73.0,3,1,4,11105,549.0,188.0,3,6
13,2,55192.0,19941.0,10,15,31137.0,135398,9,3,86228,75.0,7,8,14,59790,10971.0,180.0,0,1
10,4,3935.0,1015.0,0,9,,140117,6,2,93403,68.0,2,10,7,10543,1029.0,182.0,4,5
14,5,53630.0,19651.0,2,2,40766.0,168753,0,12,78094,61.0,9,3,2,71432,16573.0,165.0,7,0
5,6,68529.0,24255.0,3,3,29548.0,181748,1,6,112351,53.0,13,4,3,105237,37378.0,173.0,11,3
11,13,83295.0,28377.0,9,13,84000.0,212377,2,0,587366,62.0,15,2,12,141854,84019.0,171.0,11,1
1,11,,9803.0,0,11,,139811,6,15,582454,66.0,6,5,10,30128,700.0,183.0,2,2
