Gene_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
1,1160395,347,3,1159709,0
1,18293,404,3,17649,0
0,7200,134,4,6637,0
0,55025,359,4,54438,0
0,1464254,88,4,1463646,0
0,494817,203,4,494134,1
0,2016292,329,4,2015537,0
0,9057,388,4,8128,0
0,4555,132,4,3962,0
0,683253,98,4,682675,0
1,844685,368,3,844098,0
1,112468,401,1,111971,0
0,4870,340,4,4217,0
0,2682,264,4,1954,0
0,163066,8,4,162521,1
0,1955674,332,4,1955171,0
0,756041,99,4,755460,1
0,1368555,309,4,1367977,1
0,1487064,92,4,1486369,1
1,44362,301,3,43754,1
0,265007,258,4,264339,0
0,128464,416,2,128075,0
0,1921473,108,4,1920904,1
0,458814,352,4,458125,0
0,316703,371,4,316059,0
0,548591,226,2,548190,0
0,1604078,116,4,1603452,0
0,85370,61,4,84681,0
0,17407,261,4,16820,0
0,1033564,298,4,1032920,0
1,1738968,28,3,1738420,0
0,6677,379,4,6162,1
0,278070,222,4,277438,1
0,1731530,336,4,1730895,0
0,477620,206,4,476973,0
0,567879,381,2,567310,0
0,10321,126,4,9749,0
0,1686468,112,4,1685914,0
0,7629,230,4,6979,0
0,1645,356,4,1004,0
0,376974,55,4,376393,1
1,807869,25,3,807330,1
0,426818,137,4,426186,1
0,39701,52,4,39237,1
0,307213,259,4,306524,0
0,782,46,4,129,1
0,1132814,317,4,1132212,1
0,36247,72,4,35642,1
0,170789,68,4,170208,1
0,717564,270,4,716974,1
0,1637787,114,4,1637185,1
0,487905,170,4,487330,0
1,356421,430,3,355831,1
0,1932015,107,4,1931470,0
0,2027,39,4,1341,0
0,1743790,335,4,1743146,0
0,515441,207,4,514617,0
0,1118634,319,4,1117975,1
1,347837,18,3,347313,0
0,250738,323,4,250097,0
0,1579,3,4,1004,1
0,570400,76,4,569783,0
0,552848,145,4,552180,1
0,52129,265,4,51491,0
1,19103,380,3,18480,1
0,4829,257,4,4128,0
0,599763,233,4,598996,1
0,436400,12,4,435816,0
0,1148872,410,4,1148204,0
0,339516,225,4,338926,0
0,1581481,215,4,1580900,1
0,1081012,406,4,1080440,1
0,15668,344,4,15015,0
0,6518,304,4,5874,1
0,26110,306,4,25487,1
1,504309,428,3,503911,1
0,668902,149,4,668282,1
0,1995197,217,4,1994529,0
0,216763,322,4,216122,0
1,588625,157,3,587969,1
0,416038,383,4,415541,0
1,463493,101,3,462885,1
0,14001,394,4,13402,1
1,385637,21,3,384969,0
0,602338,320,4,601643,1
0,1845,389,2,1489,1
0,314714,123,4,314181,0
0,1473130,87,4,1472456,0
0,1134002,408,4,1133424,1
0,444695,32,4,444042,0
0,42175,386,4,41594,0
0,9261,128,4,8539,0
0,382637,57,4,382086,0
0,35038,303,4,34388,1
0,416102,247,4,415509,0
1,13194,349,3,12661,1
0,641578,83,4,640880,1
0,320021,423,4,319437,1
0,78452,300,4,77844,0
0,2893,384,4,2228,0
0,36160,20,4,35462,1
1,628319,184,3,627354,1
0,1066542,405,4,1065931,1
0,438865,351,4,438233,0
0,345916,154,4,345353,0
1,499409,366,3,498789,0
0,262228,37,4,261515,0
0,350824,414,2,350453,1
0,224418,167,4,223792,0
0,17055,48,4,16375,0
0,1049,284,4,204,1
0,807166,152,4,806492,1
1,874302,275,3,873739,1
0,281,10,5,3,1
0,16035,342,4,15472,0
0,311595,412,2,311224,1
0,6125,11,4,5631,1
0,578960,77,4,578253,0
0,1670681,29,4,1670067,0
1,544317,147,1,543658,0
0,285006,246,4,284026,0
0,482096,254,4,481446,0
0,16573,165,4,15977,0
0,1236,125,4,691,0
0,2152710,106,4,2152117,1
0,218124,166,4,217234,0
0,497850,295,4,497083,1
0,653543,84,4,652923,1
0,729959,96,4,729363,0
0,358436,278,2,358038,1
0,584282,133,4,583626,1
0,22696,73,4,22061,1
1,1261581,324,3,1260970,0
0,160801,403,4,160181,0
1,10872,104,3,10210,0
0,412598,280,4,411981,1
0,514088,294,4,513441,1
0,667099,4,4,666332,1
0,253563,288,4,252895,0
0,237931,286,4,237338,0
0,266589,177,4,265723,0
0,1078119,193,4,1077559,0
0,198335,42,4,197730,1
0,1243238,187,4,1242540,1
0,1176204,399,4,1175530,0
0,6197,387,4,5628,0
0,38888,79,4,38181,1
0,374682,41,4,374062,0
0,1420673,91,4,1420101,0
0,388432,195,2,388043,1
0,70633,59,4,70109,0
0,11230,374,4,10535,0
0,694973,307,4,694383,0
0,1677970,118,4,1677395,0
0,5761,375,4,5141,0
0,1886263,218,4,1885670,0
0,311313,422,4,310645,1
0,282372,174,4,281740,1
0,456160,321,4,455483,0
0,36542,385,4,35961,1
0,541203,103,4,540331,0
0,375081,122,4,374536,1
0,1142859,409,4,1142287,1
0,1481322,93,4,1480762,1
0,1306828,209,4,1306226,1
0,1739,6,4,1236,1
0,410649,141,2,410251,0
0,1587490,212,4,1586741,0
0,2442,285,4,1612,1
0,327963,424,4,327337,1
0,1411596,22,4,1410949,0
0,260483,178,4,259935,0
0,917604,274,4,916954,0
0,371048,277,4,370350,1
0,11470,47,2,11081,1
0,377176,142,4,376607,0
0,1943209,9,4,1942577,0
0,7470,269,4,6853,1
0,76266,279,4,75574,1
0,21243,15,4,20602,1
0,605996,239,4,605367,1
0,340144,413,4,339536,0
1,862102,242,3,861431,0
0,1875155,219,4,1874526,0
0,617680,234,4,617066,1
0,59685,49,4,58891,0
0,1611491,330,4,1610868,0
0,31626,357,4,31012,0
0,67780,415,4,67067,0
0,430625,13,4,430509,0
0,288480,176,4,287506,0
0,1187163,346,4,1186465,0
0,1200244,312,4,1199621,0
0,18926,390,4,18276,0
0,2115566,26,4,2114982,1
0,1109679,316,4,1109041,1
0,1559,51,4,987,1
0,413954,418,4,413337,0
0,159847,67,4,159101,1
0,1139142,315,4,1138561,1
0,462219,364,4,461563,1
0,1348,168,4,512,1
0,1344856,199,4,1344239,0
0,203566,70,2,203195,1
0,3660,196,4,3085,1
0,1001979,95,4,1001410,0
1,1671935,119,3,1671336,0
0,3008,163,4,2760,1
