profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,pro_cycling_stats_cyclist_id,cyclist_name,birth_place,uci_rider_id,weight_kg,birth_date,olympedia_people_id,last_name,first_name,google_knowledge_graph_id,cycling_archives_cyclist_id,first_cycling_rider_id,height_cm,cycling_discipline
0,1,56942.0,21014.0,4,171846,4,10,518585,63.0,8,,5,4,12,84392,18059,193.0,1
0,7,66232.0,23948.0,5,176305,5,8,109829,,11,,7,5,1,81941,37446,175.0,1
0,15,41886.0,13566.0,13,140495,14,1,64917,65.0,3,133840.0,1,14,12,53957,2275,184.0,1
0,17,86654.0,29568.0,6,235390,6,14,148689,,9,,11,8,8,154976,88703,184.0,0
1,5,49095.0,18487.0,2,137599,2,11,65648,58.0,5,132351.0,15,2,12,45553,9451,173.0,0
0,16,49272.0,17881.0,10,140294,11,6,76092,56.0,2,,3,11,12,38092,4863,169.0,1
0,9,63024.0,23763.0,0,193292,0,12,97805,66.0,10,,12,0,2,108136,42186,188.0,0
0,12,69618.0,26376.0,15,194905,16,18,101183,,14,146667.0,4,16,4,112983,46157,178.0,2
0,10,45048.0,15791.0,9,140102,10,13,64803,75.0,4,145787.0,2,10,12,45374,3287,180.0,0
0,11,56041.0,20719.0,11,174582,12,15,88889,65.0,1,135863.0,14,12,12,72449,18655,177.0,0
0,3,,30595.0,8,222307,9,17,159068,,16,,9,9,9,152981,67846,189.0,0
0,8,68467.0,,7,199319,8,0,111249,,0,,11,7,5,121635,60942,,0
0,13,,29528.0,7,210439,7,7,553481,,18,,13,6,7,136491,81890,,0
0,18,,,17,222121,18,4,798903,,15,145693.0,8,18,10,142691,87900,176.0,0
0,14,57472.0,21342.0,12,178184,13,5,91656,62.0,7,142266.0,11,13,11,66785,23097,170.0,1
0,4,61538.0,24057.0,3,177672,3,16,91640,82.0,12,136635.0,6,3,0,79184,27099,193.0,2
0,6,65453.0,26508.0,1,195739,1,9,150923,69.0,13,147406.0,10,1,3,113772,48539,183.0,1
0,2,,27716.0,16,209286,17,3,109481,68.0,17,,0,17,6,111158,78129,190.0,0
1,0,49682.0,17893.0,14,134456,15,2,553301,58.0,6,143135.0,16,15,12,65130,6242,172.0,2
