profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,cyclist_name,birth_place,uci_rider_id,weight_kg,birth_date,olympedia_people_id,last_name,first_name,cycling_archives_cyclist_id,first_cycling_rider_id,height_cm,cycling_discipline
0,36,41076.0,13362,38,56034.0,139405,38,49,65995.0,70.0,33,,4,37,51551,3277.0,177.0,4
0,2,46381.0,18610,22,77168.0,137427,22,35,71557.0,62.0,38,133837.0,0,19,63999,12474.0,173.0,1
0,29,27794.0,12923,27,156620.0,140821,27,6,58528.0,65.0,30,120895.0,20,24,36053,2961.0,176.0,2
0,51,11585.0,1994,52,569371.0,140778,52,22,28378.0,65.0,12,111576.0,26,48,13069,133.0,181.0,2
0,35,,191,35,,125655,35,27,13972.0,,6,,27,34,5602,841.0,,2
1,20,19255.0,3891,14,508772.0,140196,14,4,32532.0,71.0,15,113194.0,40,12,11292,716.0,183.0,4
0,14,44733.0,16677,51,213342.0,140118,51,19,73892.0,69.0,34,135249.0,13,47,64982,2324.0,185.0,0
0,14,44733.0,16677,51,213342.0,140118,51,19,73892.0,69.0,34,135249.0,13,47,64982,2324.0,185.0,0
1,0,49682.0,17893,41,39580.0,134456,41,1,553301.0,58.0,39,143135.0,46,40,65130,6242.0,172.0,4
0,10,3518.0,3,6,,140315,6,5,16554.0,58.0,8,,11,5,1807,149.0,169.0,2
0,33,56041.0,20719,33,127549.0,174582,33,41,88889.0,65.0,27,135863.0,34,32,72449,18655.0,177.0,3
0,22,953.0,16,16,,140543,16,11,13989.0,69.0,1,,3,14,1232,138.0,182.0,0
0,6,,25026,40,31358.0,198985,40,21,109855.0,54.0,50,141956.0,17,39,109700,58639.0,163.0,2
0,8,61640.0,21812,15,10093.0,170183,15,7,97091.0,58.0,46,144171.0,7,13,91127,20384.0,176.0,2
0,1,3262.0,387,1,1397142.0,137456,1,20,518429.0,62.0,10,111578.0,8,1,1567,3.0,176.0,2
0,50,41885.0,13080,47,142323.0,140628,47,18,64737.0,65.0,29,,28,44,58535,860.0,180.0,2
0,3,16289.0,5,2,470645.0,140924,2,25,14575.0,61.0,4,103634.0,41,2,7005,38.0,177.0,2
0,47,47214.0,16722,50,34792.0,140674,50,39,64531.0,71.0,35,132670.0,45,46,52973,6228.0,183.0,0
0,51,11585.0,1994,52,569371.0,140778,52,22,28378.0,65.0,12,111576.0,26,48,13069,133.0,181.0,2
0,48,15225.0,2437,42,,140630,42,40,30369.0,68.0,16,111612.0,47,40,13510,147.0,176.0,2
0,42,39842.0,12843,31,1311517.0,140292,31,43,67388.0,58.0,28,141955.0,33,28,57418,2276.0,166.0,2
0,42,39842.0,12843,31,1311517.0,140292,31,43,67388.0,58.0,28,141955.0,33,28,57418,2276.0,166.0,2
0,31,61866.0,23334,29,160840.0,185156,29,30,97634.0,65.0,45,133265.0,23,26,100717,35077.0,170.0,2
0,38,41892.0,19165,30,16935.0,137797,30,51,66315.0,73.0,41,,39,27,43238,11313.0,184.0,1
