StrandOrientation,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,OrthologousGene,ChromosomeId,GenomicStartPosition
0,0,1713823,11,11,2,86,28,1711409
1,0,32772,101,101,1,116,4,29866
1,0,373899,33,33,2,26,5,371611
1,0,721934,79,79,2,33,23,719244
0,0,428427,92,92,3,83,20,425755
0,0,1324430,93,93,2,61,30,1322082
0,0,465591,162,162,2,112,15,462814
1,0,11536,37,37,2,51,56,9554
1,0,952113,118,118,1,38,23,949273
0,0,1024944,233,233,2,85,29,1022305
1,0,199898,40,40,1,93,19,197364
0,0,404584,120,120,2,92,21,402206
0,0,473501,202,202,3,122,23,470631
0,0,246580,91,91,2,5,19,243767
1,0,6135,20,20,2,18,41,3451
0,0,355891,244,244,2,116,6,353552
0,0,602339,49,49,2,61,30,600009
1,0,1100880,194,194,1,38,23,1098211
0,0,1123469,221,221,1,94,24,1120611
1,0,1147282,168,168,2,61,30,1144757
1,0,32977,216,216,1,114,83,30248
0,0,65602,29,29,2,46,52,62846
0,0,184674,8,8,2,95,12,182293
1,0,1516533,47,47,2,61,30,1514173
0,0,553480,173,173,3,65,1,550610
1,0,33431,30,30,2,98,53,30843
1,0,292921,245,245,2,119,6,290183
0,0,256062,178,178,2,121,5,253732
1,0,2776,54,54,1,11,59,113
1,0,8691,195,195,2,29,76,6085
1,0,180436,213,213,2,44,11,177890
1,0,15222,212,212,2,7,80,12538
0,0,849988,205,205,2,79,23,847319
1,0,1919214,107,107,2,73,29,1916677
0,0,546874,143,143,2,105,15,544250
0,0,1014233,136,136,1,28,29,1011738
0,0,519004,251,251,2,74,7,516413
0,0,1161129,167,167,2,111,30,1158613
1,0,82609,139,139,3,42,19,79808
0,0,316755,121,121,1,94,24,314314
0,0,622377,45,45,2,9,29,620053
1,0,483376,100,100,2,107,24,480707
0,0,1176004,166,166,2,104,30,1173581
1,0,1015945,209,209,2,71,23,1013150
1,0,204433,67,67,2,45,14,201761
0,0,1745786,15,15,2,73,29,1743231
1,0,125132,85,85,2,47,4,122370
0,0,7271,27,27,2,98,51,4884
0,0,4209,123,123,2,67,67,1423
0,0,187941,232,232,2,36,5,185287
0,0,1035713,63,63,2,50,25,1032837
0,0,425184,137,137,2,54,16,422410
0,0,513629,257,257,3,82,15,510834
1,0,565358,87,87,2,111,30,563163
0,0,1115182,220,220,2,77,24,1112378
0,0,432436,159,159,1,61,15,429818
1,0,218715,60,60,2,70,17,215884
1,0,86749,153,153,1,68,3,84020
0,0,396102,74,74,1,93,19,393418
0,0,107074,254,254,1,72,2,104540
0,0,602587,46,46,2,85,29,600077
0,0,389747,164,164,1,126,15,387120
0,0,422008,200,200,2,31,17,419294
0,0,1065877,198,198,2,110,25,1063010
0,0,378614,163,163,2,87,15,375975
0,0,309384,112,112,2,121,5,306937
1,0,585607,86,86,2,119,6,583331
1,0,23290,218,218,2,73,48,20606
1,0,650434,44,44,3,37,14,647633
1,0,8115,172,172,3,45,47,5269
0,0,9867,65,65,2,98,61,7462
1,0,442799,201,201,1,48,23,439932
1,0,1695278,10,10,2,40,28,1692543
0,0,700388,17,17,2,106,15,697620
1,0,18963,48,48,1,41,57,16273
0,0,8092,214,214,2,43,81,5759
1,0,13979,197,197,1,0,78,11352
0,0,1045611,208,208,3,71,23,1042786
0,0,15062,90,90,2,46,64,12438
0,0,1061168,114,114,4,71,23,1059124
1,0,7331,96,96,3,60,46,4482
1,0,10893,95,95,2,59,31,8359
1,0,1966199,106,106,2,39,29,1963551
0,0,585177,204,204,3,22,23,582301
0,0,475012,142,142,2,113,7,472298
0,0,1314205,94,94,2,111,30,1311887
1,0,1096585,235,235,2,101,29,1093946
1,0,9580,196,196,1,37,77,6749
1,0,50888,152,152,2,52,20,48174
1,0,1062895,234,234,2,85,29,1060310
0,0,758419,50,50,2,21,21,756089
0,0,12594,151,151,2,46,74,9967
1,0,9089,217,217,2,23,83,6579
0,0,45075,126,126,1,25,70,42286
1,0,1578209,103,103,1,109,28,1575672
0,0,1818146,111,111,2,101,29,1815771
0,0,466038,176,176,2,64,24,463714
0,0,1851640,109,109,2,80,29,1848668
0,0,139709,253,253,2,90,1,138117
0,0,290907,119,119,1,18,21,288478
1,0,1171520,43,43,2,8,27,1169280
1,0,2047179,184,184,2,80,29,2044399
0,0,800723,165,165,2,3,22,798375
1,0,7898,13,13,2,63,40,5274
0,0,21771,88,88,2,46,62,19363
0,0,488327,203,203,3,22,23,485541
0,0,454333,158,158,2,106,15,451748
0,0,262330,243,243,2,83,6,259847
0,0,568854,259,259,2,105,15,566233
1,0,16377,145,145,2,46,72,13513
1,0,180486,39,39,2,42,19,177754
0,0,1596686,185,185,2,39,29,1594209
0,0,301826,242,242,2,89,29,299487
0,0,736453,83,83,3,71,23,733583
0,0,1006971,2,2,5,81,30,1005142
1,0,34183,42,42,1,33,43,31349
0,0,5331,150,150,2,98,73,2932
1,0,629809,115,115,3,6,13,627020
0,0,1816759,189,189,2,111,30,1814429
0,0,590672,258,258,1,61,15,588504
1,0,6553,122,122,2,62,66,4166
0,0,1152306,222,222,2,115,24,1149583
1,0,13678,156,156,2,16,3,10931
0,0,468388,72,72,3,79,6,465485
0,0,476059,149,149,1,103,5,473501
1,0,1152001,179,179,1,109,28,1149578
1,0,1007699,206,206,2,71,23,1005114
1,0,1129346,169,169,2,61,30,1126764
0,0,696919,77,77,2,22,23,694046
0,0,1156973,236,236,2,30,29,1154469
1,0,221070,141,141,2,85,9,218443
0,0,463778,84,84,2,34,16,460986
1,0,7513,6,6,2,123,36,4757
1,0,1553361,181,181,2,40,28,1550629
0,0,280853,68,68,2,127,23,278046
0,0,546370,51,51,2,95,8,543824
0,0,399549,238,238,2,54,16,396772
0,0,20976,62,62,2,9,44,18310
0,0,817323,82,82,2,71,23,814468
0,0,408107,19,19,1,23,5,405750
1,0,60414,227,227,2,13,85,57859
1,0,988200,207,207,2,33,23,985546
0,0,25731,12,12,3,57,39,22858
0,0,245264,53,53,2,2,0,242583
0,0,4732,125,125,2,98,69,2051
0,0,35248,56,56,2,98,59,32438
1,0,23129,128,128,3,98,71,20358
0,0,428401,73,73,2,75,18,425663
1,0,950785,134,134,2,39,29,948302
0,0,34218,64,64,2,98,60,31414
0,0,2065088,104,104,1,28,29,2062416
0,0,15093,157,157,3,128,19,12226
0,0,1251196,180,180,2,120,28,1248512
1,0,352788,249,249,2,110,18,350182
1,0,565683,140,140,2,116,6,563344
0,0,11062,7,7,2,35,37,8450
1,0,212927,0,0,5,24,13,211077
0,0,1200167,193,193,2,33,23,1197396
0,0,652210,99,99,2,12,8,649424
1,0,2201057,59,59,2,111,30,2198634
0,0,16153,34,34,2,46,54,13502
0,0,119436,255,255,2,14,2,116878
1,0,14331,230,230,2,24,86,11776
0,0,1633076,186,186,1,28,29,1630521
0,0,7054,124,124,2,51,68,4541
1,0,456596,18,18,2,36,5,453903
1,0,3590,211,211,2,29,80,942
1,0,1757922,188,188,2,32,30,1755496
0,0,1984371,187,187,2,61,30,1981915
1,0,529696,175,175,2,65,1,526820
0,0,272153,69,69,2,71,23,269451
1,0,423886,70,70,2,116,6,421607
1,0,379418,170,170,2,52,32,376740
0,0,1189938,225,225,2,108,24,1187140
1,0,10603,9,9,3,1,38,7772
0,0,25495,55,55,2,98,59,22811
0,0,3982,4,4,2,69,34,1541
0,0,867065,117,117,2,71,23,864531
1,0,460231,148,148,2,24,13,457457
0,0,2113696,57,57,1,28,29,2111357
0,0,783613,81,81,2,33,23,780839
1,0,35322,191,191,2,62,75,32611
0,0,506933,23,23,3,71,23,504105
1,0,41459,219,219,3,107,84,38613
0,0,584285,174,174,0,21,1,581721
0,0,404953,161,161,2,87,15,402317
0,0,16042,113,113,3,51,65,13142
1,0,574686,147,147,1,92,13,571897
1,0,596823,98,98,2,118,8,594229
0,0,71558,154,154,1,76,3,69066
0,0,1102343,226,226,2,77,24,1099539
0,0,556640,252,252,2,97,7,553878
0,0,22835,146,146,2,98,72,20457
0,0,17633,26,26,1,64,51,14982
1,0,2171498,182,182,2,101,29,2169063
1,0,3099,89,89,2,51,63,313
1,0,2180588,58,58,2,56,30,2178147
0,0,1865809,108,108,2,73,29,1862957
1,0,2060220,183,183,2,101,29,2057611
1,0,8030,144,144,2,51,72,5538
0,0,33755,31,31,2,55,42,30969
1,0,12466,229,229,2,102,85,9926
1,0,1650945,14,14,2,125,29,1648582
0,0,1181628,224,224,2,77,24,1179322
1,0,580806,97,97,5,84,8,578836
0,0,321121,171,171,2,96,30,318503
1,0,880730,135,135,2,39,29,877992
0,0,37975,66,66,1,117,45,35192
1,0,156435,38,38,3,85,19,153649
1,0,249052,76,76,2,3,9,246272
1,0,344245,16,16,2,99,0,341906
1,0,194602,248,248,3,85,9,191840
0,0,536061,256,256,2,87,15,533287
0,0,1828534,110,110,2,85,29,1825916
1,0,450835,71,71,2,116,6,448496
0,0,7162,24,24,2,46,49,4697
0,0,417885,138,138,2,53,16,415123
1,0,237391,75,75,2,20,9,234584
