DrivingSide,WorldGeographicalSchemeForRecordingPlantDistributionsId,SapaId,YsaId,GeoNamesId,WikiKidsId,TheWorldFactbookCountryId,PostimeesTopicId,EuKnowledgeGraphItemId,WorldCatEntitiesId,ZhihuTopicId,BabelNetId,TasteAtlasId,JewishEncyclopediaIdRussian,TotalFertilityRate,LibraryOfCongressAuthorityId,CountryImage,WorldEncyclopediaOfPuppetryArtsId,WipoSt3Code,HappyPlanetIndexScore,NicoNicoPediaId,Iso31661Alpha3Code,BrockhausEnzyklopadieOnlineId,IocCountryCode,NlCrAutId,NdlAuthorityId,NationalHistoricalMuseumsOfSwedenId,OfficialCountryName,IabCode,SuicideRate,CountryCharacteristic,GiantBombId,InseeCode,Fips104Code,NorthernmostPointLatitude,BbcThingsId,HeadOfStateOffice,CountryDescription,YsoId,GranEnciclopediaCatalanaId,OfficialWebsite,OnlinePwnEncyclopediaId,SchoenbergDatabaseOfManuscriptsPlaceId,GettyThesaurusOfGeographicNamesId,EncyclopediaOfChinaThirdEditionId,FandomArticleId,QuoraTopicId,GreatRussianEncyclopediaOnlineIdOldVersion,TheTopTensId,DiplomaticRelations,HeadOfGovernment,UmlsCui,BibliothequeNationaleDeFranceId,SouthernmostPointLongitude,WorldCatIdentitiesIdSuperseded,TreccanisDizionarioDiStoriaId,GroveArtOnlineId,CivicusMonitorEntry,StatoidsId,MeShDescriptorId,EditionHumboldtDigitalId,HighestJudicialAuthority,NativeCountryLabel,LocatorMapImage,OfficialLanguage,WordNet31SynsetId,Pm20GeoCode,NationalLibraryOfIsraelIdOld,InterlingualIndexId,AgrovocId,NominalGdp,AllTrailsTrailId,UkParliamentThesaurusId,BbcNewsTopicId,UkParliamentId,EasternmostPointLongitude,LarousseId,GiniCoefficient,CurlieId,Iso31661Alpha2Code,GitHubTopic,ViafId,Iso31661NumericCode,IdRefId,ReroIdObsolete,GuardianTopicId,EncyclopdiaBritannicaOnlineId,EuroVocId,CapitalCity,NamuwikiId,ItuLetterCode,OpenDataPortal,NationalLibraryOfSpainId,ArchInformLocationId,LibrariesAustraliaId,FrenchVikidiaId,VatRate,EconomicDescription,WesternmostPointLongitude,JocondeLocationId,KBpediaId,UrbanElectricTransitCountryId,AnalysisPolicyObservatoryTermId,LeMondeDiplomatiqueSubjectId,FastId,DemocracyIndex,KlexikonArticleId,NorthernmostPointLongitude,NaltId,OboGazetteerId,MarineRegionsGeographicId,GacsId,WesternmostPointLatitude,CountryArea,INaturalistPlaceId,GndId,AdministrativeTerritorialEntities,ColonClassification,DeweyDecimalClassification,EnglishVikidiaId,DenStoreDanskeId,CulturalDescription,SouthernmostPointLatitude,InvasiveSpeciesCompendiumDatasheetId,FreebaseId,NumistaRulingAuthorityId,MuseumDigitalPlaceId,CommonsCategory,UnescoThesaurusId,YleTopicId,WikisimpsonsArticleId,CatalanVikidiaId,CiNiiResearchId,GeoNlpIdObsolete,NationalAnthem,OpenStreetMapNodeId,CountryName,Gs1CountryCode,AssociatedPeopleCategory,ComicVineId,MainTemplate,NationalLibraryOfIrelandId,EncyclopediaOfKoreanCultureId,HeadOfGovernmentOffice,WhosOnFirstId,StwThesaurusForEconomicsId,DerSpiegelTopicId,MainCategory,HumanDevelopmentIndex,NationalLibraryOfIsraelJ9uId,TopLevelDomain,GranEnciclopediaCatalanaIdFormerScheme,WikimediaOutline,SpanishVikidiaId,NEseId,EncyclopdiaUniversalisId,AdjacentBodyOfWater,OpenStreetMapRelationId,BorderingCountries,CountryInstance,OutOfSchoolChildrenCount,RkdThesaurusId,NacsisCatAuthorId,DrTopicId,MusicBrainzAreaId,AscLeidenThesaurusId,TreccaniId,MaritimeIdentificationDigits,LoCAndMarcVocabulariesId,ItuisoiecObjectId,EasternmostPointLatitude,CountryHistory,CoatOfArmsImage,HdsId,NewYorkTimesTopicId,IcpsrGeographicNamesThesaurusId,ShortCountryName,StoreNorskeLeksikonId,WikimediaFocusList
1,22,21,16,2658434.0,27,25,3997.0,13,22,19574145.0,27,26,14789.0,1.52,15,16,22,3,60.1,11,3,19,24,22,871917.0,26,2,1419.0,9.8,0,6,99140.0,25,47.8,9,3,1,105295.0,24,11,4169154.0,35.0,7011731.0,547307.0,5,22,4692135.0,58.0,2,23,18,8,9.01705027,16,23,22,25,3,23,17,6,15,11,6,26,7,128739.0,26,0,807706035352.0,25,13167.0,27,6,10.49234033,18,33.1,22,3,26,154323889.0,756.0,26438658.0,15,0,23,4324.0,5,10,25,27,13,3038.0,35535063.0,25,7.7,21,5.9561348,19,25,27.0,12832.0,27,1205401.0,8.83,18,8.57,38636.0,2941.0,2179.0,397.0,46.13244515,41285.0,7236.0,17,3,17,10,20,16,1,45.8179357,,15,,589.0,25,27,21,48496.0,16,1.1408452165585979e+18,7,22,1504546320.0,25,,26,7,4,21,10,8,85633051.0,1,16,25,0.962,9.870075643569052e+17,3,64490.0,22,26,0,19,9,51701.0,8,4,69459.0,3539.0,6,17,1,294939792.0,21,269.0,23,24,46.6151637,21,10,9825.0,25,14828.0,12,18,2
1,0,14,1,1814991.0,23,4,549.0,15,2,19586942.0,6,5,12104.0,1.6,17,2,3,4,41.9,24,4,2,3,23,573772.0,10,25,1272.0,6.7,1,18,99216.0,3,53.5583333333,15,22,3,104984.0,27,15,4169020.0,914.0,1000111.0,287104.0,11,3,2068564.0,59.0,7,13,18,12,109.575,0,4,4,4,4,3,8,21,25,2,18,1,16,976418.0,1,0,17820459342451.0,3,9141.0,10,4,134.76851463,5,38.2,4,4,4,132441531.0,156.0,,0,5,26,5969.0,3,19,3,7,23,2977.0,35028009.0,5,13.0,25,73.49965096,20,3,50.0,2978.0,5,1206073.0,2.21,1,123.2666666667,,,,112.0,39.38008923,9596961.0,6903.0,1,17,1,11,3,11,0,18.1597222222,,20,1436.0,64.0,3,0,1,16275.0,11,,23,14,424313582.0,15,,4,5,0,22,19,2,85632695.0,13,25,15,0.768,9.870075503485052e+17,4,72633.0,3,4,11,0,9,270056.0,13,3,,6974.0,21,12,15,294904271.0,4,412.0,2,1,47.7352827,25,23,3405.0,4,14206.0,6,10,2
1,2,16,15,2782113.0,16,2,2834.0,3,19,19599421.0,2,3,10050.0,1.48,10,16,1,1,46.8,6,1,27,1,19,568970.0,6,20,1243.0,24.9,0,2,99110.0,1,49.020608,26,6,1,105294.0,3,0,4168999.0,24.0,1000062.0,381469.0,2,1,3935164.0,,6,11,18,23,14.564005,6,2,2,2,1,1,9,1,10,3,6,8,9,13315.0,8,12,480368403893.0,1,8475.0,2,1,17.160673,20,30.2,12,1,2,148842731.0,40.0,26359863.0,18,4,1,4353.0,26,14,1,16,7,3025.0,35011052.0,3,20.0,1,9.530797,23,1,7.0,11456.0,3,1204901.0,8.16,27,15.020686,13959.0,2942.0,2146.0,13.0,47.270554,83858.0,8057.0,13,10,15,0,1,27,3,46.372341,,24,149.0,236.0,1,18,23,48351.0,17,1.1400007918630191e+18,4,12,4070744431.0,1,,2,11,2,17,14,0,85632785.0,0,10,1,0.916,9.870075596513052e+17,1,6227.0,1,2,24,2,6,16239.0,9,3,,2284.0,3,13,24,294899561.0,2,203.0,1,13,48.006579,1,3,46995.0,2,14103.0,10,27,2
1,18,0,10,1694008.0,4,18,5634.0,22,3,19615880.0,21,18,14276.0,2.89,13,4,16,20,57.1,18,20,15,19,6,563248.0,24,16,1446.0,2.5,2,18,99220.0,19,21.12,23,23,0,105189.0,8,17,4169035.0,4072.0,1000135.0,586476.0,0,25,4712529.0,52.0,3,3,9,9,,0,6,15,0,20,16,11,7,11,20,4,18,15,975482.0,18,11,394087362017.0,17,12127.0,16,11,126.6044444444,0,42.3,8,20,18,6.461458578700231e+20,608.0,26614421.0,3,14,15,2368.0,12,26,19,10,2,4921.0,36528118.0,19,12.0,26,114.2833333333,10,17,87.0,5445.0,21,1205261.0,6.62,14,121.95,56510.0,4525.0,2245.0,484.0,11.05,343448.0,6873.0,15,15,24,19,13,3,26,,108535.0,12,1639.0,929.0,17,15,16,48336.0,6,1.140000791866799e+18,14,13,26036352.0,17,480.0,8,25,10,14,26,7,85632509.0,16,12,17,0.699,9.870075617968051e+17,20,230990.0,26,9,4,0,14,443174.0,20,3,1070690.0,,11,4,14,,0,548.0,16,17,7.2933333333,26,12,3424.0,17,14671.0,22,3,2
1,16,5,17,6251999.0,1,3,2773.0,14,7,19560517.0,4,4,11946.0,1.57,5,5,2,2,40.2,8,2,10,2,12,564831.0,25,1,1269.0,12.5,0,18,99401.0,2,83.1113888889,10,25,4,105377.0,4,12,4169066.0,4332.0,7005685.0,560110.0,1,2,2040017.0,42.0,7,10,18,18,-82.6822222222,0,3,3,3,2,2,0,9,1,1,3,7,20,974229.0,7,2,2206764000000.0,2,8935.0,26,20,-52.6194444444,4,32.1,23,2,3,136600716.0,124.0,27250679.0,21,2,2,5100.0,15,22,2,1,25,3002.0,,4,,2,-141.0019444444,4,2,36.0,2988.0,4,1204310.0,9.24,9,-69.9583333333,6000.0,2560.0,2169.0,88.0,60.3063888889,9984670.0,6712.0,9,19,21,22,2,1,4,41.6813888889,,21,,4022.0,2,7,3,16589.0,2,,0,19,424313760.0,2,,3,8,3,4,22,11,85633041.0,23,7,2,0.936,9.870075525311052e+17,2,14107.0,2,3,9,0,3,1428125.0,11,0,,1927.0,21,2,12,294903259.0,3,316.0,26,0,47.5236111111,2,24,3378.0,3,14181.0,11,1,2
1,16,3,5,6252001.0,22,26,2669.0,16,16,19551627.0,1,1,13881.0,1.8615,2,6,23,25,37.4,1,25,26,26,4,871907.0,9,19,1455.0,14.5,0,11,99404.0,26,71.38,17,24,13,105078.0,7,25,4169149.0,3992.0,7012149.0,560595.0,16,26,3590227.0,9.0,0,9,16,4,-81.8051241,2,21,23,26,25,24,14,20,18,25,3,27,18,134032.0,27,16,23315080560000.0,26,13557.0,24,24,-66.94995403,22,47.7,24,25,0,130168302.0,840.0,26376598.0,17,1,24,888.0,27,8,26,26,19,3058.0,35562417.0,27,,27,172.43708,5,26,8.0,37862.0,9,1204155.0,7.92,26,-156.48,7522.0,2459.0,2204.0,322.0,52.92112,9826675.0,1.0,26,21,22,23,21,24,27,24.5442989,,19,4720.0,2312.0,26,9,19,16224.0,11,1.1402822667440493e+18,26,23,424317935.0,26,,1,25,19,10,8,9,85633793.0,24,23,26,0.921,9.870072691397052e+17,25,25184.0,27,8,23,5,2,148838.0,4,0,2528999.0,1634.0,1,26,8,294942807.0,19,338.0,27,25,44.81539337,27,20,3380.0,26,14876.0,4,24,2
1,14,0,14,2029969.0,12,15,580.0,26,9,,19,16,12827.0,1.93,21,12,0,17,24.5,22,17,13,16,15,567830.0,23,7,1357.0,,0,18,99242.0,15,52.15,19,12,3,105251.0,16,26,4169105.0,,7029379.0,385830.0,0,13,2226388.0,,5,20,18,13,105.0065,12,17,13,15,17,13,13,7,20,18,13,16,17,94716.0,16,0,15286441740.0,14,11720.0,14,12,119.9314,13,32.7,7,17,15,128689413.0,496.0,67107478.0,21,0,12,1968.0,25,7,18,6,17,4934.0,,16,10.0,12,87.7347,8,14,38.0,15488.0,17,1208752.0,6.42,11,98.92,,8744.0,,757.0,48.8805,1564116.0,7347.0,11,25,5,12,13,12,14,41.5818,108504.0,9,2042.0,3036.0,14,14,13,48498.0,11,,17,26,432425040.0,13,865.0,15,18,7,19,7,19,85632439.0,18,9,13,0.739,9.870072653928051e+17,17,43396.0,13,17,0,11,9,161033.0,20,3,53090.0,,21,0,16,,11,457.0,13,15,46.8476,12,27,3421.0,14,14552.0,19,11,3
1,5,10,0,3017382.0,5,7,2706.0,6,1,19552320.0,11,8,14344.0,1.99,3,17,6,9,51.8,19,9,5,7,7,563689.0,22,17,1295.0,9.7,0,4,,6,51.089,14,21,10,104968.0,9,24,4169037.0,13.0,1000070.0,,9,5,4721849.0,49.0,1,7,18,22,9.2589534353,0,7,6,7,9,5,2,4,14,6,5,11,4,974208.0,11,0,2957879759264.0,6,10352.0,5,26,9.56,8,33.1,14,9,8,264091107.0,250.0,26378329.0,4,7,5,1085.0,16,25,8,25,0,2984.0,35098056.0,9,20.0,4,-5.1511111111,25,6,29.0,6592.0,10,1204289.0,7.99,4,2.54549,7039.0,2940.0,17.0,619.0,48.4458333333,643801.0,6753.0,4,12,7,3,6,4,6,41.3335464839,108429.0,23,,330.0,6,19,20,16355.0,7,1.1402822665409952e+18,9,11,,5,,9,4,13,9,25,13,85633147.0,8,3,5,0.903,9.870075525332051e+17,9,27948.0,5,10,5,6,5,2202162.0,15,0,29418.0,455.0,0,5,0,294912452.0,0,226.0,4,4,42.2822222222,4,0,3354.0,7,14313.0,2,4,2
1,6,15,6,2921044.0,3,0,1865.0,7,15,19554996.0,9,9,11122.0,1.39,22,1,7,6,52.7,16,6,3,8,27,561571.0,12,0,1300.0,8.3,0,18,99109.0,8,55.0584,5,27,1,105087.0,2,14,4169110.0,66.0,7000084.0,184853.0,10,6,2354371.0,,8,19,2,20,10.17844677,0,8,0,8,6,6,4,5,0,12,6,5,0,981369.0,5,0,4121200000000.0,7,10438.0,6,16,15.04178122,3,31.7,15,6,7,189116956.0,276.0,30685435.0,1,8,6,1318.0,4,5,5,5,6,2979.0,,2,19.0,5,5.86636662,22,7,10.0,3002.0,2,1210272.0,8.67,2,8.4193,15494.0,2646.0,2101.0,601.0,51.05110016,357587.77,7207.0,3,7,10,25,7,23,7,47.2700279,,2,2860.0,209.0,7,20,9,21469.0,1,,16,2,1683325355.0,6,,16,3,8,0,5,1,85633111.0,26,2,6,0.942,9.870075597787052e+17,6,220737.0,6,1,21,0,4,51477.0,5,0,,456.0,21,24,17,294913572.0,6,211.0,6,5,51.27279981,5,4,3352.0,8,14333.0,1,23,2
1,21,12,25,2661886.0,26,24,720.0,0,23,19599463.0,18,25,14791.0,1.57,6,16,21,23,50.5,12,24,18,25,26,571513.0,14,5,1418.0,12.4,0,17,99104.0,24,69.06,11,5,5,94383.0,23,10,4169155.0,208.0,1000097.0,,18,21,4692537.0,48.0,2,24,15,25,13.3594444444,8,22,21,24,23,22,16,17,17,10,19,4,2,188718.0,4,15,636856236396.0,24,13156.0,7,21,24.1666666667,19,29.3,21,23,25,159364209.0,752.0,26401606.0,16,20,22,4320.0,22,9,23,23,14,3037.0,35534191.0,26,25.0,20,10.9575,18,24,33.0,3006.0,26,1204537.0,9.26,17,20.5472222222,11928.0,2729.0,2180.0,160.0,58.9286111111,447425.16,7599.0,22,9,11,7,19,19,22,55.3369444444,108556.0,22,,1004.0,24,1,14,16666.0,11,1.1408452165275281e+18,24,4,424313277.0,24,,25,16,0,12,9,24,85633789.0,2,15,24,0.947,9.870075548114052e+17,23,64452.0,21,25,17,0,4,52822.0,6,0,9424.0,6699.0,4,20,3,294939776.0,20,265.0,22,23,65.7011111111,20,26,3371.0,24,14827.0,25,19,3
