Country,Latitude,CommonsCategory,Longitude,CatalogCode
0,47.0229233,29,28.8285421,16
0,47.5596474256,81,28.0225534332,96
0,46.972541852,8,28.5808630816,83
0,48.136944,93,28.304722,98
0,,26,,2
0,47.00876,76,28.8505,53
0,47.02526,60,28.82772,63
0,,2,,4
0,47.0191277,66,28.84564855,19
0,47.027649,73,28.829981,24
0,47.0329936356,14,28.8271855497,59
0,47.0164302383,10,28.8045526626,9
0,47.1289509519,79,29.1916040337,73
0,47.0207,86,28.83275,28
0,47.0935690367,101,28.6649599803,101
0,47.5815127734,34,27.7059398645,77
0,47.0377306104,25,28.8622635348,13
0,47.2192242617,46,29.061873761,72
0,47.03778,32,28.86339,64
0,,23,,40
0,47.20775,102,29.1593333333,70
0,47.021729,3,28.836193,23
0,47.3782671377,64,28.8248946035,92
0,47.024971138,52,28.8172922906,34
0,47.0316838107,59,28.836214969,62
0,46.9029904836,99,28.801579162,80
0,47.033405,35,28.807665,65
0,,22,,36
0,47.0192940273,97,28.8328117306,47
0,46.8239055556,94,29.4822805556,102
0,47.02,44,28.83,20
0,48.406201894,78,27.4855012907,88
0,48.1610202269,71,28.2912001863,100
0,,17,,39
0,47.019978,38,28.828185,58
0,47.0232987132,47,28.8253087519,29
0,47.0171294102,48,28.8298256294,30
0,,42,,89
0,45.6883333333,56,28.4263888889,107
0,47.0307176688,37,28.8238827067,55
0,,16,,38
0,46.9249728896,7,28.6513269239,82
0,47.0183391718,11,28.8268252394,57
0,47.0255555556,5,28.8280555556,48
0,47.0361461019,61,28.8115443544,14
1,46.8366,36,29.6111,105
0,47.2435829819,80,28.8057548405,71
0,47.0164270285,49,28.8298780069,31
0,,24,,37
0,,98,,26
0,46.8352139916,89,29.6280414775,104
1,46.8333,75,29.4856666667,103
0,47.03079,9,28.84371,27
0,47.8948585561,63,28.3011497004,78
0,47.76028,70,27.92537,0
0,47.762311,91,27.928296,1
0,47.21369,62,29.16408,69
0,47.0195547046,51,28.8256228146,33
0,47.007751377,65,28.8274883477,25
0,47.0255,92,28.8303,61
0,46.682420244,90,29.0470666014,68
0,47.6345610113,83,28.1462604068,95
0,47.0136313842,55,28.8488172042,8
0,47.3844593227,40,28.8227310487,90
0,46.8280103921,107,28.9742106064,85
0,46.9891022859,108,28.8447681543,15
0,47.0270004384,6,28.6312567838,81
0,47.0342024543,58,28.8400549039,17
0,47.2270251598,1,27.7940494618,106
0,45.9027319177,27,28.1889541149,66
0,,21,,35
0,46.9970443256,82,28.8604228138,7
0,,15,,44
0,47.1355337362,105,28.9417899712,74
0,47.3019734552,30,28.9702168414,93
0,,19,,43
0,47.0096900165,100,28.6646471877,84
0,,18,,42
0,,103,,75
0,47.305858373,84,28.9245887792,91
0,47.008,45,28.862,52
0,47.026111,13,28.830702,60
0,48.1525046963,12,28.2985235486,99
0,47.3069631624,39,28.961262333,94
0,47.0371444096,0,28.8495287563,10
0,47.769593,4,27.942334,5
0,47.3225242477,77,28.2641896987,67
0,47.023901,69,28.821377,56
0,47.0163385002,96,28.8287262189,46
0,47.7723283296,104,27.5340765265,79
0,47.03527778,53,28.79722222,54
0,47.1249529828,88,28.2723152469,86
0,47.8789434791,54,28.0357180864,97
0,47.0208611111,87,28.8304055556,50
0,47.0247805556,85,28.8425833333,11
0,,74,,22
0,47.0289269362,67,28.8208496086,18
0,47.758616,28,27.920131,3
0,,20,,41
0,48.4440342872,41,27.7818396407,87
0,47.0366,31,28.8465,51
0,48.1272773744,106,28.0067214291,76
0,45.689889803,72,28.4196183688,108
0,47.7544444444,43,27.9213888889,6
0,47.0181938614,50,28.8278110485,32
0,47.0224987575,95,28.8204471992,45
0,47.0198944073,33,28.8237890933,49
0,47.0464755306,57,28.8494541065,12
0,47.0371713736,68,28.8493952174,21
