StrandOrientation,GeneDescription,OrthologId,GenomicEndPosition,GeneId,GeneDbId,EncodedProtein,GeneType,ChromosomeId,GenomicStartPosition
1,0,3,12909,143,143,1,0,113,10807
0,0,125,6110,101,100,1,0,101,3849
0,0,39,457048,91,90,0,1,9,454787
0,0,137,478833,231,231,1,0,6,476677
0,0,93,16869,153,153,1,0,116,14662
0,0,50,552888,219,219,0,1,15,550654
1,0,13,20192,202,202,0,1,29,18165
1,0,125,3770,52,51,2,0,89,732
1,0,21,828777,110,109,0,1,48,827212
1,0,41,9061,57,56,0,1,74,6806
0,0,40,2776,156,156,1,0,117,509
1,0,29,211189,118,118,0,1,34,209180
1,0,47,7765,30,29,0,1,43,5519
1,0,1,3747,25,24,1,0,72,1363
0,0,54,555948,170,170,1,0,20,553549
0,0,71,487264,96,95,1,0,17,485114
0,0,7,763294,175,175,1,0,26,761027
0,0,37,1178466,117,117,1,0,44,1176085
1,0,35,53359,116,116,0,1,40,52601
1,0,24,96434,222,222,0,1,5,94266
1,0,23,45480,196,196,0,1,122,43330
0,0,40,609383,80,79,0,1,20,607077
0,0,2,5633,13,12,0,1,62,4134
0,0,113,813661,181,181,0,1,38,811541
0,0,57,243718,98,97,3,0,19,243449
0,0,88,480713,38,37,1,0,4,478230
1,0,68,114439,9,8,0,1,3,112868
0,0,62,14957,65,64,1,0,76,12933
0,0,28,356577,108,107,0,1,53,354673
0,0,20,371476,171,171,1,0,18,369323
1,0,55,50723,122,122,0,1,106,48507
0,0,69,562476,172,172,0,1,10,560179
1,0,30,56175,86,85,1,0,5,53914
1,0,86,1621,66,65,0,1,95,2
1,0,130,4679,115,115,1,0,40,2307
1,0,125,11646,125,125,1,0,107,9286
0,0,20,45278,102,101,1,0,18,42840
1,0,1,47037,177,177,1,0,120,44773
0,0,123,487691,31,30,1,0,18,485538
0,0,132,477337,11,10,3,0,9,476408
1,0,51,828692,194,194,1,0,49,827244
0,0,89,909033,33,32,0,1,40,906619
0,0,92,1062,4,3,3,0,71,1
1,0,61,15153,208,208,1,0,30,12949
1,0,8,81519,12,11,0,1,5,79698
1,0,60,65232,218,218,1,0,52,62692
0,0,20,710857,50,49,2,0,23,709519
1,0,101,76316,29,28,1,0,52,74154
0,0,66,799420,225,225,0,1,32,796943
1,0,125,7491,128,128,1,0,22,5182
1,0,125,2056,51,50,3,0,88,2
0,0,125,4947,46,45,1,0,86,2638
1,0,13,441740,94,93,0,1,29,439797
0,0,112,2326647,18,17,3,0,54,2325364
0,0,114,777368,224,224,0,1,32,775140
1,0,131,51771,234,234,0,1,36,49540
1,0,87,59089,41,40,1,0,57,56687
1,0,50,113111,167,167,0,1,15,111105
1,0,87,79561,119,119,1,0,57,77369
0,0,72,1451239,130,130,0,1,52,1449053
0,0,118,1009290,45,44,1,0,39,1006993
1,0,93,170211,124,124,0,1,50,168412
1,0,125,4516,55,54,3,0,91,3179
0,0,98,611448,112,112,2,0,10,610807
1,0,110,5046,158,158,1,0,118,2860
0,0,15,1375691,121,121,0,1,46,1373202
1,0,15,4025,164,164,1,0,16,1761
1,0,37,224206,201,201,0,1,35,222371
0,0,11,689616,83,82,0,1,54,687517
1,0,13,372955,230,230,0,1,29,370655
0,0,15,1204656,197,197,0,1,46,1202680
1,0,66,11060,142,142,0,1,32,8994
1,0,119,2096,146,146,0,1,114,747
0,0,125,1138,6,5,3,0,108,2
1,0,30,8253,104,103,0,1,42,6340
0,0,74,1189025,188,188,0,1,52,1186812
0,0,126,496899,103,102,0,1,1,495853
1,0,100,1474,17,16,3,0,31,101
0,0,132,1039862,78,77,1,0,38,1037046
1,0,49,20107,70,69,1,0,51,17801
1,0,45,14203,59,58,1,0,33,11819
1,0,3,391932,8,7,1,0,59,389746
0,0,78,3932,161,161,1,0,119,1401
0,0,69,915393,64,63,2,0,34,914149
0,0,91,682195,71,70,1,0,19,679628
0,0,132,394758,21,20,2,0,9,393970
0,0,33,580782,168,168,3,0,21,579763
1,0,12,4883,42,41,0,1,83,2628
1,0,44,519612,204,204,0,1,28,517492
0,0,75,2976,163,163,1,0,78,781
0,0,133,1159648,144,144,1,0,42,1157084
1,0,125,7454,54,53,1,0,90,5259
1,0,28,654471,77,76,0,1,53,652312
0,0,97,2907,36,35,1,0,73,667
1,0,90,27924,7,6,3,0,17,26149
1,0,112,1705791,90,89,1,0,54,1703299
1,0,54,3230,129,129,1,0,22,921
0,0,52,2152,10,9,1,0,61,38
0,0,30,507624,191,191,1,0,3,505363
0,0,69,459000,173,173,0,1,10,456733
0,0,58,123424,232,232,0,1,8,121439
0,0,42,805063,179,179,0,1,39,803291
1,0,77,3147,43,42,1,0,84,535
