Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,1169344,41,41,1,0,1158920,0
0,7614,2,0,0,0,1030,1
0,609988,158,158,1,0,605538,1
0,1211309,163,163,1,0,1200861,0
0,71128,81,81,1,0,60752,1
1,18759,152,152,3,1,8548,1
0,52109,55,55,1,0,41772,1
0,64484,127,127,2,0,55971,1
0,424181,138,138,1,0,413739,0
0,225503,223,223,1,0,215040,0
1,1026196,141,141,3,1,1015775,0
0,330111,109,109,1,0,322282,0
0,458221,50,50,1,0,447770,1
0,685626,119,119,1,0,675331,0
0,18045,174,174,1,0,7588,0
0,108909,130,130,1,0,98518,1
0,47512,124,124,1,0,39092,1
0,775910,131,131,1,0,765552,0
0,22103,171,171,1,0,14689,1
0,332104,168,168,1,0,321641,0
0,7780,8,8,2,0,2,1
1,11317,86,86,3,1,5433,1
0,573981,159,159,1,0,563530,0
0,459416,61,61,1,0,449073,1
1,5380,25,25,3,1,2,1
1,214744,9,9,3,1,206012,1
0,31572,75,75,1,0,21127,1
0,63253,175,175,1,0,52823,1
0,286931,192,192,1,0,283691,0
0,149649,115,115,2,0,143326,0
0,14171,180,180,2,0,4392,1
0,11492,32,32,1,0,5925,1
0,26884,60,60,1,0,16478,1
0,45907,207,207,2,0,38978,1
0,13390,161,161,1,0,2987,0
0,193120,185,185,2,0,183374,0
0,9732,193,193,1,0,1,0
1,1233807,178,178,3,1,1224493,1
0,62951,94,94,1,0,52593,1
0,970184,186,186,1,0,959784,1
0,138304,216,216,1,0,127910,1
0,13701,153,153,1,0,3220,1
0,689245,14,14,1,0,678794,0
0,5595,6,6,2,0,1,1
0,213628,100,100,1,0,203258,0
1,24168,112,112,3,1,13795,0
0,31191,121,121,1,0,20812,1
0,3034,91,91,2,0,2,0
0,347060,220,220,2,0,339083,1
1,127990,150,150,3,1,117557,1
0,390898,219,219,1,0,380639,1
0,60872,208,208,1,0,50520,1
0,225073,35,35,1,0,217409,1
0,842551,213,213,1,0,832124,0
0,475972,77,77,2,0,470489,0
0,534898,113,113,2,0,529028,1
0,59093,69,69,1,0,53591,1
0,2345983,166,166,1,0,2335691,0
0,33876,201,201,1,0,23431,0
0,2017022,4,4,2,0,2011656,0
