Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position
0,1160395,347,347,3,1,55,1159709
0,18293,404,404,3,1,155,17649
0,7200,134,134,4,0,24,6637
0,55025,359,359,4,0,99,54438
0,1464254,88,88,4,0,95,1463646
1,494817,203,203,4,0,14,494134
0,2016292,329,329,4,0,61,2015537
0,9057,388,388,4,0,89,8128
0,4555,132,132,4,0,129,3962
0,683253,98,98,4,0,57,682675
0,844685,368,368,3,1,111,844098
0,112468,401,401,1,1,37,111971
0,4870,340,340,4,0,138,4217
0,2682,264,264,4,0,129,1954
1,163066,8,8,4,0,141,162521
0,1955674,332,332,4,0,159,1955171
1,756041,99,99,4,0,95,755460
1,1368555,309,309,4,0,74,1367977
1,1487064,92,92,4,0,28,1486369
1,44362,301,301,3,1,120,43754
0,265007,258,258,4,0,5,264339
0,128464,416,416,2,0,7,128075
1,1921473,108,108,4,0,57,1920904
0,458814,352,352,4,0,98,458125
0,316703,371,371,4,0,46,316059
0,548591,226,226,2,0,41,548190
0,1604078,116,116,4,0,74,1603452
0,85370,62,62,4,0,75,84681
0,17407,261,261,4,0,42,16820
0,1033564,298,298,4,0,166,1032920
0,1738968,28,28,3,1,41,1738420
1,6677,379,379,4,0,88,6162
1,278070,222,222,4,0,156,277438
0,1731530,336,336,4,0,57,1730895
0,477620,206,206,4,0,111,476973
0,567879,381,381,2,0,87,567310
0,10321,126,126,4,0,42,9749
0,1686468,112,112,4,0,95,1685914
0,7629,230,230,4,0,42,6979
0,1645,356,356,4,0,103,1004
1,376974,56,56,4,0,149,376393
1,807869,25,25,3,1,116,807330
1,426818,137,137,4,0,127,426186
1,39701,53,53,4,0,42,39237
0,307213,259,259,4,0,14,306524
1,782,47,47,4,0,125,129
1,1132814,317,317,4,0,57,1132212
1,36247,73,73,4,0,62,35642
1,170789,69,69,4,0,31,170208
1,717564,270,270,4,0,121,716974
1,1637787,114,114,4,0,57,1637185
0,487905,170,170,4,0,149,487330
1,628319,184,184,3,1,64,627354
0,1932015,107,107,4,0,95,1931470
0,2027,40,40,4,0,70,1341
0,1743790,335,335,4,0,57,1743146
0,515441,207,207,4,0,64,514617
1,1118634,319,319,4,0,151,1117975
0,347837,18,18,3,1,9,347313
0,250738,323,323,4,0,156,250097
1,1579,3,3,4,0,165,1004
0,570400,77,77,4,0,113,569783
1,552848,145,145,4,0,162,552180
0,52129,265,265,4,0,129,51491
1,19103,380,380,3,1,31,18480
0,4829,257,257,4,0,38,4128
1,599763,233,233,4,0,6,598996
0,436400,12,12,4,0,26,435816
0,1148872,410,410,4,0,34,1148204
0,339516,225,225,4,0,81,338926
1,1581481,215,215,4,0,83,1580900
1,1081012,406,406,4,0,168,1080440
0,15668,344,344,4,0,20,15015
1,6518,304,304,4,0,149,5874
1,33001,20,20,4,0,47,32291
1,504309,428,428,3,1,144,503911
