SportType,StageDistanceKm,ProCyclingStatsRaceId,StartLocation,StageType,StageDate,RaceEvent,NextStage,StageWinner,PreviousStage,StageNumber,StageDescription
1,171.0,170991.0,90,24,38,18,44,64,50,4.0,16
1,133.3,293155.0,95,23,159,53,168,91,167,1.0,16
1,221.5,,128,21,10,7,12,16,19,6.0,16
1,166.5,255571.0,118,24,114,43,131,27,129,4.0,16
1,181.0,,33,24,63,23,60,42,64,4.0,24
1,213.5,210004.0,114,25,89,30,103,98,104,4.0,28
1,9.6,139124.0,19,22,13,6,4,93,11,3.0,8
1,204.5,181535.0,83,21,68,25,79,71,83,5.0,27
1,188.0,181545.0,127,21,76,25,72,69,76,14.0,27
1,74.6,279159.0,18,24,152,49,156,26,154,13.0,16
1,153.0,,100,21,61,24,67,52,71,6.0,18
1,224.3,163709.0,9,24,36,14,35,85,40,7.0,16
1,152.5,,15,21,28,9,26,8,33,8.0,16
1,201.5,,96,21,8,7,10,94,17,4.0,16
1,186.3,268339.0,42,21,134,45,146,98,144,8.0,16
1,115.6,268354.0,106,25,144,45,175,37,141,21.0,16
1,1067.4,139129.0,141,0,163,8,14,90,6,,2
1,173.9,181010.0,41,23,62,26,177,87,168,2.0,29
1,,,139,21,19,11,20,75,28,4.0,16
1,149.0,247209.0,5,21,110,35,109,23,112,2.0,26
1,153.0,,38,21,9,7,11,16,18,5.0,16
1,3365.8,210024.0,35,12,163,34,116,42,72,,5
1,3360.0,149964.0,146,12,163,10,30,17,20,,1
1,209.0,170992.0,117,23,39,18,45,71,51,5.0,16
1,239.0,,50,21,58,24,64,73,68,3.0,19
1,89.0,210021.0,125,24,100,30,99,25,100,19.0,16
1,202.5,268347.0,120,25,141,45,141,37,138,15.0,16
1,205.0,,112,25,7,7,9,62,16,2.0,16
1,11.2,209931.0,155,22,83,33,106,56,167,1.0,31
1,129.7,268350.0,124,24,142,45,142,84,139,17.0,16
1,177.0,210018.0,101,25,98,30,97,15,98,16.0,16
1,255.0,163619.0,24,16,30,16,55,71,24,,21
1,264.0,149879.0,24,16,22,10,37,7,21,,20
1,193.0,163706.0,115,25,33,14,32,57,37,4.0,16
1,,,152,27,18,11,19,95,27,3.0,16
0,3.95,163662.0,70,26,31,13,176,35,167,0.0,16
1,214.0,290178.0,12,25,162,52,173,68,166,9.0,16
1,219.0,,49,24,59,24,65,61,69,4.0,11
1,217.0,247146.0,50,23,103,36,111,59,113,3.0,16
1,217.0,171031.0,113,21,46,17,40,78,46,6.0,16
1,209.5,210013.0,143,24,94,30,93,81,94,12.0,16
1,157.0,268336.0,80,21,132,45,144,79,142,5.0,16
1,27.6,210002.0,35,28,87,30,101,2,92,2.0,16
1,203.5,171068.0,44,25,50,19,49,52,54,2.0,25
1,218.0,181548.0,27,24,77,25,73,42,77,16.0,27
1,59.5,210022.0,2,24,101,30,100,97,101,20.0,16
1,1311.8,173869.0,45,15,163,20,83,43,42,,9
1,185.0,210016.0,81,24,97,30,96,81,97,15.0,16
1,743.2,164258.0,74,19,163,15,59,32,25,,21
1,19.6,279147.0,51,22,147,49,162,74,167,1.0,16
1,4.05,255760.0,104,26,116,41,124,77,167,0.0,16
1,171.0,247149.0,28,25,106,36,114,89,116,6.0,16
1,256.3,109369.0,24,16,1,2,2,65,1,,21
1,187.5,,156,25,0,0,0,53,0,5.0,16
1,128.0,210023.0,112,25,102,30,175,15,103,21.0,16
1,216.0,171072.0,151,25,53,19,52,96,57,6.0,25
