Gene_Subclass,Gene_Type,Genomic_Start_Position,Strand_Orientation,Gene_Label,Gene_Db_Id,Genomic_End_Position
1,1,2061,1,116,116,3818
0,0,497002,0,54,54,497232
1,1,1360342,0,67,67,1362603
1,1,9492,0,9,9,10034
1,1,703286,0,55,55,705460
1,1,1,0,117,117,720
0,0,551012,0,34,34,551749
1,1,159610,1,125,125,160581
1,1,882,1,37,37,2942
1,1,52560,1,62,62,53693
1,1,1056777,0,107,107,1058918
1,1,1191366,0,104,104,1193345
1,1,588715,1,94,94,590889
1,1,2355799,0,5,5,2356776
1,1,2874,1,19,19,5081
1,1,80149,1,8,8,82404
1,1,873,0,22,22,3053
1,1,499696,1,64,64,501852
1,1,194815,0,4,4,195717
1,1,451945,1,110,110,454212
1,1,1164352,1,32,32,1166328
1,1,114542,1,85,85,114991
1,1,160684,1,79,79,161676
1,1,619,0,57,57,2832
1,1,24182,1,45,45,26356
1,1,602780,1,95,95,603844
1,1,16115,1,7,7,18169
1,1,506186,0,36,36,508321
1,1,27780,1,29,29,29015
1,1,643902,0,101,101,646319
1,1,392911,1,109,109,395040
1,1,2176948,1,98,98,2179419
1,1,739927,0,81,81,742170
1,1,200871,0,82,82,203063
1,1,7001,1,103,103,9199
1,1,604902,0,39,39,606833
1,1,51024,0,23,23,53186
0,0,12295,0,2,2,12912
1,1,4073,1,106,106,5374
1,1,344166,1,44,44,346367
1,1,192141,0,89,89,194168
1,1,654773,0,75,75,656983
0,0,301785,1,48,48,302402
1,1,628374,1,61,61,628874
1,1,2354525,0,99,99,2355697
1,1,140918,1,126,126,141673
1,1,36609,1,65,65,38921
0,0,356083,1,24,24,356850
1,1,244452,1,71,71,246323
1,1,255983,1,88,88,258202
1,1,801878,0,63,63,802663
1,1,627785,1,40,40,628270
1,1,1103840,1,105,105,1105132
0,0,1157023,0,30,30,1157244
1,1,1998842,0,69,69,2001346
1,1,120202,0,119,119,122127
1,1,31587,1,28,28,32651
1,1,575726,0,1,1,576256
1,1,12761,0,11,11,13846
1,1,67685,1,3,3,69895
1,1,290090,1,128,128,292285
1,1,477172,0,80,80,479217
1,1,965515,1,59,59,967593
1,1,16752,1,27,27,18788
1,1,1,0,21,21,1431
1,1,841178,0,68,68,843337
1,1,25553,1,123,123,27802
0,0,3,1,0,0,521
1,1,147823,0,120,120,149082
1,1,630077,0,12,12,630544
1,1,84713,1,42,42,85717
1,1,188,0,6,6,2356
0,0,115388,1,78,78,116089
1,1,3175,0,102,102,5373
1,1,412986,0,91,91,414917
1,1,548948,0,41,41,551038
1,1,877512,0,20,20,879776
1,1,16113,1,25,25,16562
1,1,520707,0,129,129,522056
1,1,560198,0,58,58,560632
1,1,6766,1,47,47,8796
0,0,241769,0,49,49,242101
1,1,801998,0,50,50,804175
1,1,5542,1,15,15,7341
1,1,1090076,1,122,122,1092022
1,1,852247,0,113,113,853635
1,1,4560,1,38,38,6731
1,1,21859,0,90,90,24063
0,0,3,1,77,77,569
1,1,604711,1,112,112,605835
1,1,18309,1,93,93,20468
1,1,45575,0,115,115,47761
1,1,80019,1,13,13,80858
1,1,141896,0,130,130,143770
1,1,38190,1,17,17,40865
1,1,16425,1,31,31,17708
1,1,105642,1,33,33,107570
1,1,236726,1,72,72,238993
1,1,3059,1,53,53,5239
1,1,3,1,26,26,2117
1,1,43711,1,86,86,45873
1,1,302736,0,100,100,305003
1,1,722086,0,14,14,724179
1,1,562332,1,35,35,564263
1,1,485708,0,132,132,487684
1,1,7884,1,121,121,9794
1,1,393328,0,52,52,395811
1,1,397836,0,92,92,399746
1,1,508918,0,18,18,510087
1,1,638620,0,111,111,640806
1,1,629867,0,43,43,630340
1,1,43530,1,118,118,45587
1,1,9896,0,56,56,12118
0,0,591283,1,60,60,591642
1,1,27310,0,114,114,28251
1,1,13635,1,51,51,15656
1,1,549344,0,83,83,551317
1,1,1850,0,70,70,2323
1,1,15220,0,87,87,17469
1,1,2046,0,84,84,2747
1,1,1523784,1,97,97,1525088
1,1,1218841,0,96,96,1220025
1,1,1558235,1,16,16,1560715
1,1,7779,1,10,10,8315
1,1,413892,0,46,46,415880
0,0,352018,1,108,108,352533
1,1,1,0,127,127,429
0,0,460530,0,74,74,461012
1,1,214564,1,73,73,216636
1,1,61057,1,124,124,61722
1,1,109113,0,131,131,111044
0,0,874933,0,76,76,875271
1,1,1426182,0,66,66,1428134
