GnsUniqueFeatureId,LocatorMapImage,ElevationMeters,Latitude,CommonsCategory,GeoNamesId,FlagImage,Longitude,FreebaseId,INaturalistPlaceId
-927510.0,8,15.0,-1.9,8,3657505.0,17,-79.8,0,12991.0
-927135.0,7,700.0,0.1166666667,7,3657879.0,6,-91.3333333333,8,12990.0
-931637.0,12,,-1.7000000000000002,12,3653392.0,10,-76.9,12,8161.0
-935094.0,18,1734.0,-4.1666666667,18,3649953.0,16,-78.8833333333,16,10504.0
-924866.0,1,2507.0,-1.6166666667,1,3660130.0,1,-79.1166666667,3,12976.0
-924563.0,0,2500.0,-2.9833333333,0,3660431.0,0,-79.1666666667,1,12975.0
-926818.0,6,272.0,-3.4833333333,6,3658195.0,5,-79.8166666667,2,10502.0
9125915.0,11,232.0,-0.8,11,3830306.0,9,-76.4,11,12987.0
-925769.0,4,3642.0,-1.9833333333,4,3659237.0,4,-78.7166666667,6,12980.0
-926245.0,5,3984.0,-0.8333333333,5,3658766.0,4,-78.85,7,12979.0
10547184.0,15,604.0,-0.3333333333,15,7062136.0,13,-79.25,17,96859.0
-934602.0,17,2718.0,-1.2333333333,17,3650445.0,15,-78.5333333333,15,10503.0
-931020.0,10,808.0,-2.45,10,3654005.0,8,-77.9833333333,10,10523.0
10547187.0,14,62.0,-2.1166666667,14,7062138.0,12,-80.5833333333,18,91250.0
-925284.0,3,3790.0,0.75,2,3659718.0,2,-78.0833333333,5,12978.0
-925150.0,2,2342.0,-2.5333333333,3,3659849.0,3,-79.0,4,12977.0
9125914.0,16,300.0,-0.05,16,3830305.0,14,-76.7,14,10094.0
-930571.0,9,89.0,-0.75,9,3654451.0,7,-80.0833333333,9,8126.0
-931807.0,13,,-0.25,13,3653224.0,11,-78.5833333333,13,
