Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,1160395,344,344,3,1,56,21,1159709,0
1,0,18293,401,401,3,1,157,94,17649,0
0,0,7200,132,132,4,0,25,44,6637,0
0,0,55025,356,356,4,0,102,82,54438,0
0,0,1464254,86,86,4,0,98,27,1463646,0
0,0,494817,199,199,4,0,14,22,494134,1
0,0,2016292,326,326,4,0,63,26,2015537,0
0,0,9057,385,385,4,0,92,89,8128,0
0,0,4555,130,130,4,0,132,63,3962,0
0,0,683253,96,96,4,0,58,27,682675,0
1,0,844685,365,365,3,1,114,21,844098,0
1,0,112468,398,398,1,1,38,93,111971,0
0,0,4870,337,337,4,0,141,77,4217,0
0,0,2682,259,259,4,0,132,75,1954,0
0,0,158502,17,17,4,0,1,8,158113,0
0,0,1955674,329,329,4,0,161,27,1955171,0
0,0,756041,97,97,4,0,98,27,755460,1
0,0,1368555,306,306,4,0,77,27,1367977,1
0,0,1487064,90,90,4,0,29,27,1486369,1
1,0,44362,297,297,3,1,123,14,43754,1
0,0,265007,253,253,4,0,5,22,264339,0
0,0,128464,413,413,2,0,7,13,128075,0
0,0,1921473,106,106,4,0,58,27,1920904,1
0,0,458814,349,349,4,0,101,16,458125,0
0,0,316703,368,368,4,0,47,15,316059,0
0,0,548591,220,220,2,0,42,18,548190,0
0,0,1604078,114,114,4,0,77,27,1603452,0
0,0,85370,59,59,4,0,78,57,84681,0
0,0,17407,256,256,4,0,44,73,16820,0
0,0,1033564,294,294,4,0,168,17,1032920,0
1,0,1738968,26,26,3,1,42,26,1738420,0
0,0,6677,376,376,4,0,91,85,6162,1
0,0,278070,217,217,4,0,158,3,277438,1
0,0,1731530,333,333,4,0,58,27,1730895,0
0,0,515441,202,202,4,0,67,6,514617,0
0,0,567879,378,378,2,0,90,19,567310,0
0,0,10321,124,124,4,0,44,60,9749,0
0,0,1686468,110,110,4,0,98,27,1685914,0
0,0,7629,224,224,4,0,44,69,6979,0
0,0,1645,353,353,4,0,106,82,1004,0
0,0,382637,55,55,4,0,158,3,382086,0
1,0,807869,23,23,3,1,119,26,807330,1
0,0,431207,424,424,4,0,145,4,430704,0
0,0,39701,50,50,4,0,44,56,39237,1
0,0,307213,254,254,4,0,14,22,306524,0
0,0,782,44,44,4,0,128,53,129,1
0,0,1132814,314,314,4,0,58,27,1132212,1
0,0,36247,70,70,4,0,64,14,35642,1
0,0,170789,66,66,4,0,32,13,170208,1
0,0,717564,265,265,4,0,124,26,716974,1
0,0,1637787,112,112,4,0,58,27,1637185,1
0,0,269583,417,417,4,0,137,4,268954,0
1,0,628319,180,180,3,1,67,12,627354,1
0,0,1932015,105,105,4,0,98,27,1931470,0
0,0,2027,38,38,4,0,73,51,1341,0
0,0,1743790,332,332,4,0,58,27,1743146,0
0,0,521226,203,203,4,0,114,6,520573,0
0,0,1118634,316,316,4,0,153,27,1117975,1
0,0,376974,53,53,4,0,151,3,376393,1
0,0,250738,320,320,4,0,158,3,250097,0
0,0,1579,2,2,4,0,167,33,1004,1
0,0,578960,74,74,4,0,116,7,578253,0
0,0,552848,142,142,4,0,164,21,552180,1
0,0,52129,260,260,4,0,132,75,51491,0
1,0,19103,377,377,3,1,32,85,18480,1
0,0,4829,252,252,4,0,39,72,4128,0
0,0,603114,233,233,4,0,15,9,602248,1
0,0,436400,10,10,4,0,27,15,435816,0
0,0,1148872,407,407,4,0,35,26,1148204,0
1,0,347837,16,16,3,1,9,3,347313,0
0,0,1581481,210,210,4,0,86,25,1580900,1
0,0,1081012,403,403,4,0,170,26,1080440,1
0,0,15668,341,341,4,0,21,78,15015,0
0,0,6518,300,300,4,0,151,1,5874,1
0,0,33001,18,18,4,0,48,13,32291,1
0,0,527500,426,426,4,0,130,4,526817,1
0,0,668902,146,146,4,0,79,21,668282,1
0,0,1995197,212,212,4,0,150,26,1994529,0
0,0,216763,319,319,4,0,144,3,216122,0
0,0,596495,157,157,4,0,137,4,595866,0
0,0,416038,380,380,4,0,65,30,415541,0
1,0,463493,99,99,3,1,81,0,462885,1
0,0,14001,391,391,4,0,154,91,13402,1
1,0,385637,19,19,3,1,56,21,384969,0
0,0,627298,98,98,4,0,85,6,626603,1
0,0,1845,386,386,2,0,89,90,1489,1
0,0,375081,120,120,4,0,26,11,374536,1
0,0,1473130,85,85,4,0,28,27,1472456,0
0,0,1134002,405,405,4,0,49,26,1133424,1
0,0,468801,293,293,4,0,84,3,468253,1
0,0,42175,383,383,4,0,150,87,41594,0
0,0,9261,126,126,4,0,44,61,8539,0
0,0,400683,54,54,4,0,158,3,400036,1
0,0,35038,299,299,4,0,122,1,34388,1
0,0,416102,242,242,4,0,24,15,415509,0
1,0,13194,346,346,3,1,107,80,12661,1
0,0,653543,82,82,4,0,55,10,652923,1
0,1,327963,422,422,4,0,99,4,327337,1
0,0,78452,296,296,4,0,87,14,77844,0
0,0,2893,381,381,4,0,148,86,2228,0
0,0,38888,77,77,4,0,57,13,38181,1
0,0,22995,301,301,2,0,57,13,22609,1
0,0,1066542,402,402,4,0,71,26,1065931,1
0,0,438865,348,348,4,0,22,16,438233,0
0,0,345916,151,151,4,0,135,15,345353,0
1,0,499409,363,363,3,1,56,21,498789,0
0,0,262228,36,36,4,0,169,21,261515,0
0,0,350824,411,411,2,0,100,13,350453,1
0,0,224418,164,164,4,0,22,16,223792,0
0,0,17055,46,46,4,0,44,55,16375,0
0,0,1049,279,279,4,0,70,47,204,1
0,0,807166,149,149,4,0,118,21,806492,1
1,0,874302,270,270,3,1,119,26,873739,1
0,0,281,8,8,5,0,75,35,3,1
0,0,16035,339,339,4,0,54,77,15472,0
0,0,311595,409,409,2,0,100,13,311224,1
0,0,6125,9,9,4,0,75,35,5631,1
0,0,582243,75,75,4,0,160,7,581596,0
0,0,1670681,27,27,4,0,124,26,1670067,0
1,0,544317,144,144,1,1,114,21,543658,0
0,0,285006,241,241,4,0,135,15,284026,0
0,0,482096,249,249,4,0,111,15,481446,0
0,0,16573,162,162,4,0,128,65,15977,0
0,0,1236,123,123,4,0,0,43,691,0
0,0,2152710,104,104,4,0,161,27,2152117,1
0,0,218124,163,163,4,0,22,16,217234,0
0,0,505974,290,290,4,0,15,9,505327,1
0,0,314714,121,121,4,0,26,11,314181,0
0,0,729959,94,94,4,0,17,27,729363,0
0,0,358436,273,273,2,0,57,13,358038,1
0,0,594102,227,227,4,0,44,9,593512,1
0,1,22696,71,71,4,0,62,14,22061,1
1,0,1261581,321,321,3,1,131,25,1260970,0
0,0,160801,400,400,4,0,50,93,160181,0
1,0,10872,102,102,3,1,104,59,10210,0
0,0,412598,275,275,4,0,46,29,411981,1
0,0,517192,289,289,4,0,6,9,516578,1
0,0,53893,303,303,4,0,43,10,53279,1
0,0,253563,283,283,4,0,133,15,252895,0
0,0,237931,281,281,4,0,24,15,237338,0
0,0,266589,173,173,4,0,22,16,265723,0
0,0,1078119,189,189,4,0,161,27,1077559,0
0,0,468817,292,292,4,0,6,9,467864,1
0,0,1243238,183,183,4,0,161,27,1242540,1
0,0,1176204,396,396,4,0,5,22,1175530,0
0,0,6197,384,384,4,0,155,88,5628,0
0,0,47042,78,78,4,0,32,13,46335,1
0,0,374682,40,40,4,0,17,27,374062,0
0,0,1420673,89,89,4,0,161,27,1420101,0
0,0,388432,191,191,2,0,76,28,388043,1
0,0,70633,57,57,4,0,128,57,70109,0
0,0,11230,371,371,4,0,127,48,10535,0
0,0,694973,304,304,4,0,72,26,694383,0
0,0,1677970,116,116,4,0,138,27,1677395,0
0,0,5761,372,372,4,0,23,49,5141,0
0,0,1886263,213,213,4,0,103,26,1885670,0
0,0,320021,421,421,4,0,99,4,319437,1
0,0,282372,170,170,4,0,48,13,281740,1
0,0,456160,318,318,4,0,120,22,455483,0
0,0,36542,382,382,4,0,150,87,35961,1
0,0,602338,317,317,4,0,94,6,601643,1
