Strand_Orientation,Genomic_Start_Position,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
0,319014,23,144,320234
1,80905,11,39,81801
1,14340,2,226,15410
0,2161639,11,64,2162466
0,778437,2,93,779639
1,1097833,3,239,1098996
1,443996,11,201,444826
0,1076451,11,227,1077230
0,46142,18,168,46924
0,1421220,15,53,1422032
0,744176,2,160,745129
0,431740,14,247,432927
0,16886,23,106,18040
1,402068,11,136,402910
0,1151997,22,240,1153229
1,750031,24,153,750678
1,8728,22,4,9906
1,11053,23,152,12258
1,2202343,24,63,2202990
0,1010715,1,156,1011398
0,375253,26,23,375897
1,991897,11,211,992655
1,3406,22,134,4632
0,580287,15,205,581117
1,492404,34,118,493669
1,748862,16,54,749602
0,591,22,59,1832
0,222386,34,245,223492
1,1087412,16,238,1088191
0,821287,18,208,822069
0,9531,2,218,10709
0,22262,18,193,23056
0,690643,11,90,691455
0,195561,14,242,196658
1,374896,20,35,375903
0,9303,0,148,9985
0,2966,2,29,4174
0,1069991,11,196,1070767
1,598465,11,204,599280
1,25351,11,27,26139
1,226322,0,41,226729
0,203728,12,243,204825
1,394031,1,22,394684
0,1897239,11,125,1897997
1,1114,0,161,1860
0,588062,23,206,589228
0,399566,0,175,400728
0,616495,11,207,617253
0,380962,2,14,381597
0,1428093,26,52,1428734
1,1967444,11,123,1968229
0,12743,2,26,13702
0,1192936,1,232,1193619
0,216641,12,244,217780
0,16553,2,77,17599
0,1056725,22,130,1057942
1,662936,11,103,663709
0,1470884,5,183,1471918
1,883339,2,138,884301
0,17131,30,95,18090
1,1782673,11,127,1783506
0,1193721,0,233,1194158
1,4201,2,96,5205
0,175745,2,104,177073
0,152606,30,235,153559
0,3321,23,216,4472
1,978543,30,114,979496
1,1904309,11,67,1905082
1,25858,2,43,27009
0,37197,11,197,38006
0,1220947,14,178,1221966
1,226831,1,18,227094
0,76494,0,38,76658
1,987176,0,112,987733
1,936387,2,155,937169
1,415021,23,119,416187
1,982858,30,113,983808
1,496932,34,117,497744
1,3070,2,169,3831
0,2544,2,162,3587
1,9199,11,37,10011
0,1473666,27,51,1474427
0,35690,9,223,36547
1,530982,0,173,531335
1,476525,2,116,477748
1,1925107,2,66,1925877
1,1564014,16,72,1564778
0,1105297,22,228,1106541
1,14710,8,108,15525
1,1101,2,110,2102
1,176870,21,109,178084
1,712129,18,91,712890
1,651695,2,50,652441
0,854496,7,137,855470
1,712,29,75,1677
0,300510,18,145,301271
0,10170,2,198,11639
1,2202237,24,185,2202884
1,1486264,14,181,1487286
1,2091,11,132,2879
0,11231,0,220,12102
1,561921,2,88,563168
1,11857,0,5,12897
0,877761,11,140,878597
0,1327,2,171,2640
1,2088630,24,122,2089274
0,420934,14,16,422034
0,136807,2,158,137805
1,76523,20,8,77581
0,683826,30,56,684782
0,913814,26,154,914563
0,29922,22,60,31139
0,1246121,2,180,1247221
1,1222181,16,105,1222996
0,295851,22,79,297062
0,1048619,15,131,1049347
1,35402,23,44,36628
1,1130438,2,170,1131697
0,31118,11,222,31870
1,363610,0,157,363876
1,945539,22,6,946792
0,1762,2,221,2901
0,1638709,19,121,1639752
0,549704,11,47,550504
1,16873,29,236,17814
1,825718,18,12,826530
0,3,0,10,335
1,5971,2,184,7239
0,39978,2,150,41030
0,18244,11,166,19059
0,1187623,31,194,1188618
0,1744339,16,192,1745136
1,1283,2,107,2521
0,249592,22,143,250812
0,730422,11,55,731234
1,1075195,1,3,1075329
1,181743,2,40,182780
0,491209,22,202,492438
0,1603254,17,189,1604402
1,10047,23,48,11189
1,13361,2,13,13960
0,38151,22,61,39296
0,383100,14,36,384191
0,10958,22,237,12268
1,2096334,11,191,2097143
0,11804,23,151,13009
0,570836,11,46,571633
1,10985,11,224,11743
0,555144,2,172,556235
0,1164663,11,230,1165493
1,611866,2,200,613080
1,8375,11,74,9178
1,2164835,24,186,2165485
0,40839,33,78,41345
0,28721,2,164,29968
0,357524,24,101,358168
1,516597,2,21,517373
0,36670,11,31,37518
0,1588012,31,120,1588977
1,1146423,7,177,1147481
0,14528,11,219,15379
0,251303,3,176,252454
0,657867,11,89,658646
1,2478,6,147,3650
1,550737,2,87,551759
0,78918,28,167,79682
1,222,0,49,614
1,1920505,2,124,1921338
1,293887,2,99,295086
0,1172566,18,231,1173402
1,35989,23,165,37248
1,55386,2,32,55904
0,1886823,2,126,1887968
1,488510,2,86,489292
1,12327,0,111,13082
0,385279,22,174,386514
0,831566,22,210,832741
0,28568,1,25,28969
0,1,0,2,738
0,4142,11,9,5008
1,285889,2,98,287088
0,12945,22,62,14090
1,841,0,225,1026
0,1015,18,102,1863
1,2027874,22,19,2029082
0,496306,2,34,497406
0,251211,0,20,251858
1,1021526,18,213,1022329
0,22318,0,133,23025
1,854,11,215,1675
0,25832,34,163,26635
1,2150759,9,65,2151652
0,2155145,24,187,2155792
1,34406,2,42,35179
1,18321,23,45,19523
0,1687044,4,69,1687805
0,9845,32,94,10624
0,265438,11,141,266241
0,312547,11,83,313431
0,485586,14,57,486743
0,284939,11,81,285745
1,826311,2,209,827468
0,259,25,1,1047
1,323095,25,159,323886
0,18002,18,97,18784
1,996476,11,212,997273
0,304740,8,84,305564
1,12324,2,100,13592
1,29968,11,28,30765
0,445157,2,17,445921
1,940901,11,7,941707
0,11468,0,135,12388
1,269074,2,146,269718
1,64810,29,234,65754
1,1521903,25,182,1522877
1,16040,23,217,17173
0,13148,10,30,13948
0,386064,23,11,387281
0,289571,2,80,290434
1,974237,30,115,975187
0,1678525,25,71,1679298
0,5043,2,241,6002
1,1591840,34,73,1592913
0,662260,2,15,663114
1,432381,0,203,432941
0,276769,11,82,277578
1,4340,2,24,4723
1,22572,22,58,23810
0,401243,21,85,402463
0,2141583,25,188,2142542
0,12669,16,149,13418
0,1693627,24,68,1694274
0,24370,2,199,25842
0,9753,2,76,9998
0,1576114,12,190,1577124
0,1228786,20,179,1229889
0,1777443,13,128,1778534
1,1151783,2,195,1152958
0,906301,22,139,907521
0,23046,34,33,23852
0,1147669,11,229,1148502
1,2,2,0,655
0,230431,27,246,231201
0,1631120,24,70,1631767
1,666610,2,92,667923
0,272211,16,214,272963
0,11348,2,129,11872
0,246700,11,142,247509
