COLOGNE_PHONETICS_CODE,CAVERPHONE_CODE,COMMONS_CATEGORY,DISTINCT_FROM,SOUNDEX_CODE
6757.0,34,54,46,55
47826.0,22,19,19,20
832.0,6,40,51,33
7617.0,34,5,5,6
6748.0,26,53,45,51
1765.0,38,12,12,17
375.0,14,29,26,28
865.0,50,20,20,19
6757.0,34,54,46,55
546862.0,24,48,51,45
336.0,34,81,70,70
645.0,31,57,49,52
36.0,34,26,24,55
656.0,27,55,47,49
53.0,23,46,40,43
53.0,23,46,40,43
645362.0,34,25,51,25
762.0,4,6,6,7
12786.0,43,61,53,56
6724.0,33,60,52,54
15.0,36,8,8,12
56172.0,34,47,51,46
518.0,25,49,41,44
846.0,47,67,59,63
6572.0,28,56,48,50
6586.0,32,58,50,53
3568.0,58,85,73,80
3664.0,34,83,71,81
4562.0,0,35,32,34
2462.0,55,21,51,21
125.0,42,14,14,10
7668.0,34,37,34,38
62786.0,5,4,4,5
42.0,34,38,35,55
25.0,7,7,7,1
1267.0,34,15,15,11
45172.0,20,31,28,31
364472.0,11,80,51,76
4626.0,19,63,55,58
356.0,10,27,25,27
18.0,34,10,10,8
3527.0,34,75,67,73
3526.0,60,86,51,78
546862.0,24,48,51,45
2747.0,57,23,22,23
81461764.0,34,59,51,62
3527.0,59,84,72,79
6757.0,34,54,46,55
857.0,49,73,65,65
868.0,54,71,63,67
3457.0,9,82,51,72
476346.0,21,33,30,32
46.0,2,34,31,35
1722.0,44,9,9,15
3766.0,12,78,68,77
562.0,34,3,3,4
866.0,51,88,75,84
27.0,7,36,33,36
1472.0,35,16,16,9
1765.0,38,12,12,17
6458.0,61,42,51,39
4627.0,34,64,56,59
36.0,34,26,24,55
35276.0,34,28,51,26
284.0,34,74,66,55
8572.0,34,89,76,83
4766.0,1,0,0,0
426.0,34,32,29,30
846.0,47,67,59,63
376.0,15,30,27,29
22.0,8,24,23,24
846.0,47,67,59,63
172.0,41,62,54,57
6238.0,30,51,43,48
4766.0,1,0,0,0
3527.0,59,84,72,79
476346.0,21,33,30,32
5168.0,34,2,2,3
858.0,48,68,60,64
68.0,29,50,42,47
268.0,56,22,21,22
857.0,49,73,65,65
1622.0,34,11,11,14
8572.0,34,89,76,83
4766.0,1,0,0,0
865.0,50,20,20,19
42.0,34,38,35,55
4766.0,1,0,0,0
56172.0,34,47,51,46
27.0,7,36,33,36
656.0,34,52,44,49
1758372.0,40,17,17,16
46.0,2,34,31,35
3527.0,59,84,72,79
5351.0,34,1,1,2
6586.0,32,58,50,53
17672.0,39,13,13,18
73717.0,34,65,57,60
6757.0,34,54,46,55
462.0,18,43,38,42
8668.0,52,70,62,68
3457.0,9,82,51,72
28.0,63,87,74,82
3457.0,9,82,51,72
566.0,3,39,36,37
154.0,37,18,18,13
476346.0,21,33,30,32
268.0,56,22,21,22
726.0,62,41,37,40
45172.0,20,31,28,31
48.0,34,44,51,55
464.0,17,45,39,41
34278.0,16,77,51,71
862.0,53,72,64,66
36.0,34,26,24,55
72748.0,45,66,58,61
36.0,34,26,24,55
762.0,4,6,6,7
357.0,34,79,69,74
464.0,17,45,39,41
562.0,34,3,3,4
368.0,13,76,51,75
832.0,6,40,51,33
762.0,4,6,6,7
874.0,46,69,61,69
