Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Cyclist_Description,Memoire_Du_Cyclisme_Cyclist_Id,Sport_Type,Specialty_Position,Birth_Place,Uci_Rider_Id,Weight_Kg,Birth_Date,Olympedia_People_Id,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Height_Cm,Freebase_Id,Sports_Referencecom_Olympic_Athlete_Id_Archived
0,13,6162.0,2364,11,131674.0,140923,11,18,12324.0,4,1,17,484564,,5,111601.0,5,11,15061,41,189,4,5
0,1,46381.0,18610,6,77168.0,137427,6,6,56596.0,1,4,10,71557,62.0,15,133837.0,0,5,63999,12474,173,0,1
0,0,10227.0,3360,17,133768.0,140843,17,7,15207.0,0,3,3,28586,75.0,3,125462.0,10,17,18086,95,185,5,9
0,8,6978.0,4377,4,7658.0,140865,4,13,1203.0,0,0,9,198213,76.0,7,111607.0,6,3,18964,31,181,3,6
0,15,,24346,14,,179111,14,17,,4,0,0,100931,,18,,19,14,107949,37376,183,17,0
0,2,8760.0,4179,0,42225.0,140749,0,12,6915.0,4,0,13,32691,78.0,8,121169.0,7,0,19407,406,181,11,7
0,18,46924.0,16739,16,16023.0,139066,16,11,,2,0,11,68892,70.0,14,135009.0,16,16,60442,3930,178,1,12
0,14,41076.0,13362,13,56034.0,139405,13,8,54866.0,5,2,18,65995,70.0,11,,1,13,51551,3277,177,10,0
0,5,22663.0,5789,2,1529344.0,140869,2,3,12014.0,4,1,7,43936,69.0,4,126950.0,4,1,22017,713,186,7,4
0,12,26009.0,12193,10,1940308.0,140797,10,16,9096.0,3,4,19,54603,78.0,9,125137.0,15,10,30229,784,184,12,11
0,10,9290.0,84,7,138273.0,140549,7,0,14484.0,4,5,2,11232,60.0,0,103648.0,9,6,4044,4,171,9,8
0,16,39842.0,12843,9,1311517.0,140292,9,4,52504.0,4,1,15,67388,58.0,10,141955.0,14,8,57418,2276,166,14,0
0,5,22663.0,5789,2,1529344.0,140869,2,3,12014.0,4,1,7,43936,69.0,4,126950.0,4,1,22017,713,186,7,4
0,10,9290.0,84,7,138273.0,140549,7,0,14484.0,4,5,2,11232,60.0,0,103648.0,9,6,4044,4,171,9,8
0,17,47214.0,16722,15,34792.0,140674,15,15,46202.0,0,4,12,64531,71.0,13,132670.0,18,15,52973,6228,183,15,13
0,4,5172.0,161,1,,140762,1,1,11434.0,3,0,5,13388,68.0,1,14276.0,3,9,5689,86,174,6,3
0,11,,28521,8,704.0,206257,8,2,,4,1,1,154218,,19,,17,7,118544,70377,174,17,0
0,19,11585.0,1994,18,569371.0,140778,18,10,16105.0,4,1,6,28378,65.0,2,111576.0,12,18,13069,133,181,13,10
0,9,20041.0,6807,12,61270.0,140781,12,14,28206.0,4,1,8,32596,67.0,6,125028.0,2,12,21225,114,182,8,2
0,6,46049.0,19242,3,,139823,3,5,39932.0,1,2,16,69149,80.0,16,,13,2,43239,7730,183,16,0
0,3,55192.0,19941,19,31137.0,135398,19,2,58156.0,4,0,4,86228,75.0,12,,8,19,59790,10971,180,2,0
0,7,59981.0,22676,5,,170164,5,9,69592.0,4,0,14,95753,69.0,17,144170.0,11,4,81741,28781,182,17,0
0,12,26009.0,12193,10,1940308.0,140797,10,16,9096.0,3,4,19,54603,78.0,9,125137.0,15,10,30229,784,184,12,11
0,13,6162.0,2364,11,131674.0,140923,11,18,12324.0,4,1,17,484564,,5,111601.0,5,11,15061,41,189,4,5
