Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Memoire_Du_Cyclisme_Cyclist_Id,Sport_Type,Specialty_Position,Birth_Place,Uci_Rider_Id,Weight_Kg,Birth_Date,Sports_Team,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Height_Cm,Freebase_Id
0,32,61775.0,23299.0,20,23252.0,164709,20,,2,0,34,89223.0,68.0,28,16,29,20,72207,25726.0,186.0,2
0,11,46909.0,16707.0,10,57772.0,134924,10,52074.0,2,1,27,62712.0,65.0,24,0,1,10,56765,10303.0,183.0,26
0,2,3262.0,387.0,0,1397142.0,137456,0,2513.0,2,1,17,518429.0,62.0,4,23,5,0,1567,3.0,176.0,16
1,13,19255.0,3891.0,11,508772.0,140196,11,19127.0,4,1,6,32532.0,71.0,11,11,31,11,11292,716.0,183.0,5
0,25,56041.0,20719.0,26,127549.0,174582,26,66232.0,3,0,31,88889.0,65.0,20,22,27,26,72449,18655.0,177.0,29
0,23,56938.0,20257.0,21,17205.0,167585,21,,2,0,9,86480.0,64.0,13,7,36,21,81851,16569.0,175.0,0
0,25,56041.0,20719.0,26,127549.0,174582,26,66232.0,3,0,31,88889.0,65.0,20,22,27,26,72449,18655.0,177.0,29
0,16,19558.0,3828.0,13,65423.0,140870,13,5609.0,1,5,10,34012.0,69.0,9,23,10,13,21215,264.0,182.0,9
0,10,65688.0,24926.0,7,465450.0,198937,7,,2,0,38,95844.0,60.0,34,8,3,7,100412,58275.0,175.0,30
0,3,16289.0,5.0,1,470645.0,140924,1,19443.0,2,6,20,14575.0,61.0,0,12,32,1,7005,38.0,177.0,11
0,16,19558.0,3828.0,13,65423.0,140870,13,5609.0,1,5,10,34012.0,69.0,9,23,10,13,21215,264.0,182.0,9
0,31,39842.0,12843.0,24,1311517.0,140292,24,52504.0,2,1,32,67388.0,58.0,21,2,26,24,57418,2276.0,166.0,22
0,32,61775.0,23299.0,20,23252.0,164709,20,,2,0,34,89223.0,68.0,28,16,29,20,72207,25726.0,186.0,2
0,34,15225.0,2437.0,35,,140630,35,9635.0,2,0,30,30369.0,68.0,12,24,38,34,13510,147.0,176.0,7
0,38,68254.0,25653.0,32,22010.0,195439,32,,2,0,8,88346.0,64.0,31,10,12,32,105482,48008.0,180.0,30
0,28,92920.0,31654.0,17,20671.0,240140,17,,2,0,2,415141.0,,38,20,21,17,140379,114659.0,183.0,30
1,1,49682.0,17893.0,34,39580.0,134456,34,58541.0,4,1,4,553301.0,58.0,26,19,37,34,65130,6242.0,172.0,27
0,10,65688.0,24926.0,7,465450.0,198937,7,,2,0,38,95844.0,60.0,34,8,3,7,100412,58275.0,175.0,30
0,18,69190.0,25740.0,16,,196424,16,,2,0,12,112082.0,,33,18,33,16,115868,38195.0,175.0,30
0,33,47214.0,16722.0,37,34792.0,140674,37,46202.0,0,4,28,64531.0,71.0,25,14,35,36,52973,6228.0,183.0,24
0,21,27794.0,12923.0,22,156620.0,140821,22,28843.0,2,0,7,58528.0,65.0,23,17,13,22,36053,2961.0,176.0,19
0,37,11585.0,1994.0,38,569371.0,140778,38,16105.0,2,1,18,28378.0,65.0,7,0,20,37,13069,133.0,181.0,21
0,3,16289.0,5.0,1,470645.0,140924,1,19443.0,2,6,20,14575.0,61.0,0,12,32,1,7005,38.0,177.0,11
0,33,47214.0,16722.0,37,34792.0,140674,37,46202.0,0,4,28,64531.0,71.0,25,14,35,36,52973,6228.0,183.0,24
