Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,TwitterUsername,Birthplace,UciRiderId,NativeName,WeightKg,BirthDate,SportsTeam,OlympediaPeopleId,LastName,FirstName,GoogleKnowledgeGraphId,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,SportCountry
0,14,54395.0,20730.0,12,14,252749.0,168961,14,6,6,75859.0,7,70.0,6,1,141009.0,13,14,9,74709,18258.0,6,187.0,1
0,13,70304.0,26482.0,5,4,,196333,5,2,3,107840.0,1,63.0,12,12,146032.0,0,5,5,108403,50303.0,8,178.0,8
0,10,16186.0,4099.0,8,11,1475104.0,140787,11,5,11,46418.0,5,63.0,1,5,111606.0,12,11,9,17284,117.0,2,173.0,2
0,1,64374.0,24293.0,0,7,,181230,8,2,5,100965.0,5,64.0,7,10,,7,8,1,102060,27043.0,10,182.0,10
0,5,69878.0,26378.0,4,3,,206876,3,2,7,162777.0,5,,10,6,,9,3,3,118440,61639.0,3,168.0,2
0,8,72506.0,26775.0,0,10,,207051,4,2,10,,0,56.0,11,6,,2,4,6,132960,68868.0,8,164.0,3
0,11,6162.0,2364.0,9,12,131674.0,140923,12,3,12,484564.0,5,,0,11,111601.0,4,12,9,15061,41.0,1,189.0,6
0,6,61536.0,23427.0,6,5,10153.0,177662,6,8,13,97741.0,2,65.0,8,8,,7,6,8,95079,27289.0,5,181.0,4
0,2,,,1,0,,242423,0,0,4,667300.0,5,,14,4,,11,0,7,148733,112241.0,9,,7
1,0,28095.0,12823.0,10,13,,137337,13,4,0,58891.0,6,71.0,3,2,123794.0,3,13,9,34412,2322.0,10,182.0,0
0,12,,22744.0,11,9,1543.0,132419,10,10,2,747569.0,4,68.0,5,3,,8,10,2,70980,16576.0,10,180.0,0
0,4,,18239.0,3,2,6233.0,137576,2,7,0,67201.0,5,,4,9,,6,2,9,66614,6410.0,4,188.0,0
0,9,,25335.0,7,8,,184242,9,9,8,102035.0,5,,9,7,,10,9,0,93791,37447.0,10,177.0,0
0,7,65227.0,26509.0,0,6,,194909,7,2,1,111440.0,3,57.0,13,0,146670.0,5,7,4,99609,46163.0,7,173.0,9
0,3,22917.0,6177.0,2,1,25109.0,140232,1,1,9,45643.0,5,65.0,2,2,134607.0,1,1,9,20659,1006.0,0,179.0,5
