GeneType,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,ChromosomeId,GenomicStartPosition,StrandOrientation
1,0,38827,226,226,3,25,35924,1
1,0,4679,184,184,3,135,1893,0
1,0,308397,304,304,3,59,305485,0
1,0,825842,311,311,3,40,823350,0
0,0,502030,133,133,0,0,499289,0
1,0,79193,80,80,3,3,76656,1
1,0,2449,0,0,3,153,11,0
0,0,7010,292,292,0,149,4233,1
0,0,66235,248,248,0,41,64469,1
1,0,21822,318,318,3,13,18838,1
1,0,3014,98,98,3,67,228,1
0,0,77950,18,18,0,24,74987,1
1,0,510295,143,143,3,27,507728,1
1,0,847503,312,312,3,40,845194,0
1,0,6673,233,233,3,140,3815,0
1,0,181574,315,315,3,30,180063,1
1,0,625252,229,229,3,28,622190,0
1,0,1133115,271,271,3,53,1130755,1
1,0,60671,177,177,3,47,58218,1
1,0,2940,213,213,3,137,73,1
0,0,8383,220,220,0,138,7271,0
0,0,17724,294,294,1,60,14986,1
1,0,13435,273,273,3,145,10745,0
0,0,86361,189,189,0,15,83876,1
1,0,225780,81,81,3,27,223900,0
1,0,578138,102,102,3,27,576360,0
1,0,504140,268,268,3,2,500865,0
1,0,636457,214,214,3,13,635763,0
1,0,847195,165,165,3,35,845501,0
1,0,492362,28,28,3,1,490971,0
1,0,236472,224,224,3,3,233641,0
0,0,779582,204,204,0,31,776703,0
1,0,7188,127,127,3,122,4384,0
1,0,8831,113,113,3,120,6234,1
0,0,650247,104,104,0,27,648161,0
1,0,984,306,306,3,152,31,0
1,0,1094,24,24,3,76,159,1
0,0,24358,274,274,0,145,21590,0
0,0,1225,54,54,0,80,1,1
1,0,628999,145,145,3,12,626735,0
1,0,13990,118,118,3,16,11384,1
1,0,28068,66,66,3,68,25282,1
1,0,3158,255,255,3,94,408,1
1,0,2351295,265,265,3,59,2348338,0
0,0,9939,58,58,0,103,8926,0
0,0,65081,87,87,0,25,62292,1
1,0,9052,247,247,3,143,7148,1
0,2,805554,314,314,0,40,804478,0
0,0,782600,205,205,0,31,781197,0
1,0,3790,211,211,3,90,806,0
1,0,1721524,42,42,3,59,1718519,1
0,0,2010044,11,11,2,57,2009265,0
0,0,794113,243,243,1,33,793295,0
1,0,1008775,190,190,3,59,1006142,0
0,0,56433,249,249,1,41,54619,1
1,0,654938,253,253,3,27,652152,0
1,0,8756,147,147,3,46,5919,1
0,0,4216,135,135,0,48,1460,1
1,0,411506,60,60,3,33,408474,0
0,0,1137976,139,139,0,58,1133828,0
0,0,1204,129,129,0,88,2,0
0,0,8397,16,16,0,9,5578,1
0,0,764760,203,203,0,31,762982,0
1,0,976,21,21,3,75,2,1
1,0,587182,275,275,3,37,584897,1
1,0,3258,41,41,3,78,436,0
1,0,6116,59,59,3,104,4224,1
0,0,606712,238,238,0,12,603989,0
1,0,21218,242,242,3,26,18921,1
0,0,2501,86,86,1,38,102,1
1,0,7457,215,215,3,41,4911,1
0,0,490870,47,47,0,1,489493,0
1,0,4777,19,19,3,71,2027,1
0,0,26225,207,207,0,66,24447,1
1,0,22430,45,45,3,34,19944,1
1,0,15107,263,263,3,2,12237,1
0,0,169188,308,308,0,45,166855,1
0,0,663320,259,259,0,24,660522,0
0,0,58458,117,117,0,16,55432,1
0,0,1185502,71,71,0,48,1183688,0
1,0,644271,101,101,3,59,641242,1
1,0,16574,223,223,3,139,14088,1
0,0,3713,285,285,1,98,2106,0
1,0,59561,142,142,3,51,57681,1
0,0,3597,235,235,0,141,1834,0
1,0,5794,138,138,3,124,3014,0
0,1,655728,170,170,0,18,653962,0
1,0,41742,309,309,3,45,39727,1
0,0,791878,124,124,0,37,790079,0
1,0,760085,244,244,3,33,757590,0
0,0,169312,68,68,0,56,166550,0
1,0,130785,107,107,3,20,128263,0
1,0,122539,191,191,3,14,120197,1
0,0,594892,227,227,0,28,591674,0
0,0,571445,199,199,0,21,567813,0
1,0,690966,180,180,3,32,687994,0
1,0,9553,116,116,3,86,7784,0
1,0,582823,22,22,3,21,581135,0
0,0,1917064,174,174,0,57,1914173,1
1,0,25743,231,231,3,14,24748,1
1,0,71114,196,196,3,4,69705,1
0,0,103187,324,324,1,9,101616,0
0,0,702008,181,181,0,32,700188,0
1,0,585311,228,228,3,28,582390,0
1,0,2350211,169,169,3,60,2347587,0
1,0,491613,136,136,3,41,488857,1
1,0,12191,232,232,3,14,9909,1
1,0,1182,95,95,3,116,1,1
0,0,4231,137,137,0,52,1391,1
0,0,14595,67,67,0,68,12280,1
1,0,9360,256,256,3,95,6577,0
1,0,14953,303,303,3,54,12005,1
1,0,29749,163,163,3,29,26915,1
1,0,430057,186,186,3,33,427406,0
1,0,14455,93,93,3,114,11690,0
0,0,30562,280,280,1,18,28739,1
0,0,4524,241,241,0,142,2574,0
1,0,486237,25,25,3,48,483109,0
0,0,19758,185,185,0,136,17038,0
0,0,47207,83,83,0,113,45534,1
0,0,36437,105,105,0,118,35517,1
1,0,5595,70,70,3,108,2761,1
1,0,912033,75,75,3,41,909235,0
1,0,2693,282,282,3,97,396,0
0,0,4036,65,65,0,68,1289,1
1,0,93761,74,74,3,66,90201,1
1,0,11733,76,76,3,83,9154,0
1,0,706189,15,15,3,29,704129,0
0,0,120500,323,323,0,9,118605,0
1,0,26060,260,260,3,2,23298,1
1,0,351197,218,218,3,63,348939,0
0,0,8589,30,30,0,42,6541,1
1,0,1425113,14,14,3,53,1422420,0
1,0,688837,91,91,3,26,685982,0
0,0,54516,97,97,0,41,53479,1
0,0,1739,12,12,1,73,3,1
0,0,201879,300,300,0,62,200095,0
1,0,1320804,153,153,3,60,1318300,0
1,0,628364,103,103,3,27,625434,0
0,0,3779,183,183,0,134,1517,0
0,0,64637,152,152,0,66,62859,1
1,0,4799,272,272,3,145,2103,0
1,0,7313,236,236,3,141,4734,0
0,0,19476,161,161,0,129,17815,1
1,0,7957,144,144,3,127,5381,0
1,0,829858,122,122,3,37,827087,0
1,0,2120212,108,108,3,59,2117660,0
1,0,411543,245,245,3,31,408877,0
1,0,848494,164,164,3,35,847454,0
1,0,29971,146,146,3,46,27197,1
1,0,1032018,51,51,3,45,1029001,0
1,0,16396,295,295,3,150,13598,0
1,0,492103,132,132,3,0,489575,0
0,0,3892,46,46,0,55,599,1
1,0,439193,288,288,3,47,435576,0
1,0,570499,252,252,3,27,567725,0
1,0,3857,106,106,3,119,1095,1
1,0,924785,237,237,3,58,922281,1
1,0,245943,63,63,3,4,244298,0
1,0,556405,240,240,3,28,554000,1
0,0,9141,221,221,0,138,8410,0
1,0,981807,279,279,3,53,979324,1
1,0,14712,222,222,3,92,11650,0
1,0,2360044,13,13,3,60,2358530,0
1,0,11256,254,254,3,93,8914,1
1,0,7825,94,94,3,115,5795,0
0,0,9869,55,55,0,59,8244,1
1,0,96498,209,209,3,29,94816,1
1,0,83774,188,188,3,15,82602,1
0,0,1981,298,298,0,100,2,0
1,0,483389,321,321,3,5,481422,0
0,0,85945,310,310,0,16,83153,1
0,0,21702,61,61,0,105,18811,0
0,0,22871,4,4,0,25,21810,1
1,0,5339,53,53,3,102,2904,1
0,0,728090,37,37,0,30,725151,0
1,0,3210,23,23,3,74,616,1
0,0,258722,219,219,0,9,256827,0
0,0,10587,182,182,0,133,8119,1
1,0,145152,316,316,3,13,142906,1
1,0,572075,301,301,3,17,569139,0
1,0,58311,299,299,3,58,56848,1
1,0,33122,283,283,3,42,30594,1
1,0,690828,276,276,3,37,688522,0
0,0,45706,261,261,0,2,43370,1
1,0,588116,3,3,3,8,586977,0
0,0,4613,120,120,0,5,1626,1
0,0,12865,290,290,0,39,9965,1
1,0,4342,84,84,3,32,1385,1
1,0,15683,257,257,3,96,12888,0
1,0,378832,39,39,3,64,376718,0
1,0,39618,85,85,3,53,36688,1
0,0,563158,322,322,0,21,560651,0
0,0,467624,172,172,0,11,464685,0
1,0,2020967,178,178,3,57,2018517,0
0,0,4567,57,57,0,81,1604,0
1,0,24449,115,115,3,86,21516,0
1,0,33240,56,56,3,41,30436,1
1,0,197559,194,194,3,9,195199,1
0,0,955,157,157,1,89,2,1
1,0,1130391,198,198,3,47,1127446,0
0,0,61849,48,48,0,66,60071,1
1,0,1824669,167,167,3,59,1821786,0
1,0,21022,64,64,3,106,18272,1
1,0,517997,134,134,3,0,514713,0
1,0,2028531,267,267,3,59,2025571,0
1,0,4543,140,140,3,125,1706,1
1,0,16034,128,128,3,24,13233,0
0,0,1337382,270,270,1,53,1335682,0
0,0,1973,1,1,1,155,3,1
1,0,9934,90,90,3,50,6965,1
0,0,3158,6,6,0,40,342,1
1,0,648458,162,162,3,22,645735,0
0,0,31215,302,302,1,69,30121,1
1,0,1175229,148,148,3,50,1172704,0
0,0,2772,319,319,0,13,301,1
1,0,265804,202,202,3,10,263906,0
0,0,496864,171,171,0,6,494066,0
1,0,1709527,110,110,3,60,1707056,1
1,0,905310,40,40,3,46,902803,0
1,0,5025,159,159,3,128,2677,1
1,0,474181,193,193,3,4,471830,0
0,0,20670,141,141,0,126,18052,1
0,0,1434052,156,156,0,53,1432280,0
1,0,2327020,264,264,3,59,2324351,0
1,0,30617,151,151,3,67,28410,1
0,0,750304,210,210,0,37,747923,0
1,0,10460,79,79,3,112,8049,1
1,0,754760,206,206,3,31,752910,0
1,0,6217,320,320,3,13,3602,1
1,0,396132,246,246,3,31,393928,0
1,0,128705,208,208,3,29,127131,1
1,0,496021,27,27,3,1,493463,0
1,0,56619,317,317,3,13,53854,1
0,0,4421,33,33,0,77,3684,1
0,0,117865,212,212,0,2,115973,1
0,0,6529,158,158,0,36,4547,1
1,0,174847,195,195,3,9,172793,1
1,0,8963,176,176,3,132,6399,1
0,0,6840,286,286,0,147,3826,0
0,0,34372,2,2,0,51,33320,1
1,0,110366,250,250,3,65,107442,1
1,0,7278,99,99,3,117,4399,0
0,0,67475,297,297,0,57,65139,1
0,0,1140600,197,197,0,47,1138639,0
1,0,1174681,78,78,3,49,1172813,0
1,0,1443,20,20,3,72,1,1
0,0,7112,284,284,0,146,4374,1
1,0,1113039,296,296,3,59,1110685,1
1,0,7245,291,291,3,148,4687,1
1,0,12451,175,175,3,131,9695,1
0,0,2274,52,52,0,79,1,0
1,0,2194888,109,109,3,60,2192474,1
1,0,16715,187,187,3,47,14439,1
0,0,729858,201,201,0,37,727477,0
1,0,214887,307,307,3,9,212992,0
1,0,44770,26,26,3,51,42977,1
0,0,38223,32,32,0,43,36197,1
1,0,18751,112,112,3,85,16475,1
1,0,2149200,266,266,3,59,2146741,0
1,0,3783,88,88,3,25,1453,1
1,0,596370,278,278,3,11,593812,0
1,0,19819,125,125,3,0,16985,1
0,0,392186,225,225,0,11,389424,0
0,0,36463,119,119,0,16,33455,1
0,0,447897,287,287,1,47,446350,0
0,0,598524,96,96,1,7,596251,0
1,0,342240,155,155,3,60,339421,1
1,0,107280,50,50,3,19,104554,0
1,0,2892,69,69,3,107,97,0
0,0,478312,10,10,0,11,477440,0
1,0,46833,77,77,3,111,44356,0
1,0,670094,38,38,3,60,667467,0
0,0,2028848,179,179,2,57,2027736,0
1,0,68416,262,262,3,2,66416,1
1,0,4460,130,130,3,88,2295,0
0,0,553364,251,251,0,18,550602,0
1,0,201254,160,160,3,61,198909,0
0,0,851849,123,123,0,37,849015,0
1,0,3538,293,293,3,99,857,1
1,0,12394,305,305,3,151,9605,0
0,0,748745,36,36,0,30,745776,0
1,0,14564,62,62,3,82,12819,1
0,0,39476,269,269,0,144,36720,1
1,0,13956,216,216,3,91,10954,0
1,0,68621,192,192,3,58,67503,1
0,0,645301,277,277,0,11,642806,0
1,0,5678,131,131,3,123,4257,1
1,0,458839,17,17,3,11,457553,0
0,0,811998,313,313,0,40,810235,0
1,0,26744,325,325,3,43,24147,1
0,0,968,8,8,0,154,3,0
1,0,905988,100,100,3,42,903148,0
1,0,9121,289,289,3,39,6152,1
1,0,582104,239,239,3,12,579438,0
1,0,79885,230,230,3,11,77750,1
1,0,2982,73,73,3,110,445,1
1,0,22938,89,89,3,57,21226,1
1,0,1573917,168,168,3,59,1571158,0
0,0,531490,34,34,0,3,528650,0
0,0,4734,126,126,0,87,2191,0
1,0,710712,200,200,3,37,708220,0
0,0,367390,217,217,1,63,364778,0
0,0,966472,31,31,0,44,963723,0
0,0,18183,234,234,0,140,15433,0
1,0,4073,5,5,3,70,1218,0
1,0,15577,72,72,3,109,12521,1
1,0,2071578,166,166,3,59,2068987,0
1,0,27589,111,111,3,84,25172,0
0,0,4119,44,44,0,34,967,1
1,0,27235,150,150,3,30,24623,1
1,0,783456,82,82,3,34,780772,0
0,0,11142,114,114,0,121,8839,1
1,0,242630,121,121,3,23,239769,1
1,0,10610,173,173,3,130,8169,1
1,0,106204,281,281,4,18,104012,1
1,0,16963,49,49,3,101,14936,0
0,0,1171911,149,149,0,50,1168945,0
1,0,577397,7,7,3,28,576201,0
1,0,1820,9,9,3,156,189,0
1,0,485801,35,35,3,3,483723,0
1,3,11541,326,326,3,43,8509,1
1,0,619021,154,154,3,14,617285,0
0,0,13820,29,29,0,25,12766,1
1,0,2325261,43,43,3,60,2323705,0
1,0,10910,92,92,3,114,8910,0
1,0,639965,258,258,3,24,637563,0
