Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
1,0,1160395,348,348,3,1159709,0
1,0,18293,404,404,3,17649,0
0,0,7200,136,136,4,6637,0
0,0,55025,359,359,4,54438,0
0,0,1464254,88,88,4,1463646,0
0,0,494817,204,204,4,494134,1
0,0,2016292,330,330,4,2015537,0
0,0,9057,388,388,4,8128,0
0,0,4555,133,133,4,3962,0
0,0,683253,98,98,4,682675,0
1,0,844685,368,368,3,844098,0
1,0,112468,401,401,1,111971,0
0,0,4870,341,341,4,4217,0
0,0,2682,266,266,4,1954,0
0,0,163066,8,8,4,162521,1
0,0,1955674,333,333,4,1955171,0
0,0,756041,99,99,4,755460,1
0,0,1368555,310,310,4,1367977,1
0,0,1487064,92,92,4,1486369,1
0,0,36247,72,72,4,35642,1
0,0,265007,260,260,4,264339,0
0,0,120884,34,34,2,120498,0
0,0,1921473,108,108,4,1920904,1
0,0,438865,352,352,4,438233,0
0,0,308712,370,370,4,308044,0
0,0,1033564,300,300,4,1032920,0
0,0,1604078,116,116,4,1603452,0
0,0,85370,61,61,4,84681,0
0,0,17407,263,263,4,16820,0
0,0,497483,126,126,4,496893,0
1,0,1738968,27,27,3,1738420,0
0,0,6677,379,379,4,6162,1
0,0,278070,223,223,4,277438,1
0,0,1731530,337,337,4,1730895,0
0,0,477620,207,207,4,476973,0
0,0,565167,382,382,2,564760,0
0,0,10321,127,127,4,9749,0
0,0,1686468,112,112,4,1685914,0
0,0,7629,231,231,4,6979,0
0,0,1645,356,356,4,1004,0
0,0,376974,55,55,4,376393,1
1,0,807869,24,24,3,807330,1
0,0,426818,139,139,4,426186,1
0,0,39701,52,52,4,39237,1
0,0,307213,261,261,4,306524,0
0,0,782,46,46,4,129,1
0,0,1132814,318,318,4,1132212,1
0,0,30799,73,73,4,30158,1
0,0,159847,67,67,4,159101,1
0,0,717564,272,272,4,716974,1
0,0,1637787,114,114,4,1637185,1
0,0,487905,170,170,4,487330,0
1,0,356421,430,430,3,355831,1
0,0,1932015,107,107,4,1931470,0
0,0,2027,39,39,4,1341,0
0,0,1743790,336,336,4,1743146,0
0,0,515441,208,208,4,514617,0
0,0,1118634,320,320,4,1117975,1
1,0,347837,17,17,3,347313,0
0,0,250738,324,324,4,250097,0
0,0,1579,3,3,4,1004,1
0,0,570400,76,76,4,569783,0
1,0,544317,148,148,1,543658,0
0,0,52129,267,267,4,51491,0
1,0,19103,380,380,3,18480,1
0,0,4829,259,259,4,4128,0
0,0,599763,234,234,4,598996,1
0,0,430625,12,12,4,430509,0
0,0,1148872,410,410,4,1148204,0
0,0,339516,226,226,4,338926,0
0,0,1581481,216,216,4,1580900,1
0,0,1081012,406,406,4,1080440,1
0,0,15668,345,345,4,15015,0
0,0,6518,305,305,4,5874,1
0,0,26110,307,307,4,25487,1
1,0,504309,428,428,3,503911,1
0,0,610947,367,367,4,610288,1
0,0,1995197,218,218,4,1994529,0
0,0,216763,323,323,4,216122,0
1,0,588625,158,158,3,587969,1
0,0,416038,383,383,4,415541,0
1,0,463493,101,101,3,462885,1
0,0,14001,394,394,4,13402,1
0,0,276224,138,138,4,275592,0
0,0,602338,321,321,4,601643,1
0,0,1845,389,389,2,1489,1
0,0,314714,123,123,4,314181,0
0,0,1473130,87,87,4,1472456,0
0,0,1134002,408,408,4,1133424,1
0,0,444695,31,31,4,444042,0
0,0,42175,386,386,4,41594,0
0,0,9261,129,129,4,8539,0
0,0,382637,57,57,4,382086,0
0,0,35038,304,304,4,34388,1
0,0,410050,249,249,4,409331,0
1,0,13194,350,350,3,12661,1
0,0,641578,83,83,4,640880,1
0,0,320021,423,423,4,319437,1
0,0,70385,301,301,4,69732,0
0,0,2893,384,384,4,2228,0
0,0,36160,19,19,4,35462,1
1,0,628319,185,185,3,627354,1
0,0,1066542,405,405,4,1065931,1
0,0,288480,175,175,4,287506,0
0,0,331967,154,154,4,331098,0
0,0,467996,365,365,4,467418,0
0,0,1344856,200,200,4,1344239,0
0,1,340144,413,413,4,339536,0
0,0,218124,167,167,4,217234,0
0,0,17055,48,48,4,16375,0
0,0,1049,287,287,4,204,1
0,0,807166,153,153,4,806492,1
1,0,874302,277,277,3,873739,1
0,0,281,10,10,5,3,1
0,0,16035,343,343,4,15472,0
0,0,301818,281,281,4,301183,1
0,0,6125,11,11,4,5631,1
0,0,578960,77,77,4,578253,0
0,0,1670681,28,28,4,1670067,0
0,0,538452,147,147,4,537880,1
0,0,278450,245,245,4,277617,0
0,0,473006,255,255,4,472107,0
0,0,16573,166,166,4,15977,0
0,0,1236,125,125,4,691,0
0,0,2152710,106,106,4,2152117,1
0,0,750998,202,202,4,750414,0
0,0,497850,297,297,4,497083,1
0,0,653543,84,84,4,652923,1
0,0,729959,96,96,4,729363,0
0,0,350824,414,414,2,350453,1
0,0,584282,134,134,4,583626,1
0,0,425782,143,143,2,425384,0
1,0,1261581,325,325,3,1260970,0
0,0,160801,403,403,4,160181,0
1,0,10872,104,104,3,10210,0
0,0,412598,283,283,4,411981,1
0,0,514088,296,296,4,513441,1
0,0,667099,4,4,4,666332,1
0,0,244449,291,291,4,243556,0
0,0,223254,292,292,4,222562,0
0,0,260483,177,177,4,259935,0
0,0,1078119,194,194,4,1077559,0
0,0,198335,42,42,4,197730,1
0,0,1243238,188,188,4,1242540,1
0,0,1176204,399,399,4,1175530,0
0,0,6197,387,387,4,5628,0
0,0,38888,79,79,4,38181,1
0,0,374682,41,41,4,374062,0
0,0,1420673,91,91,4,1420101,0
0,0,388432,196,196,2,388043,1
0,0,70633,59,59,4,70109,0
0,0,11230,374,374,4,10535,0
0,0,694973,308,308,4,694383,0
0,0,1677970,118,118,4,1677395,0
0,0,5761,375,375,4,5141,0
0,0,1886263,219,219,4,1885670,0
0,0,311313,422,422,4,310645,1
0,0,274287,173,173,4,273715,1
0,0,456160,322,322,4,455483,0
0,0,36542,385,385,4,35961,1
0,0,541203,103,103,4,540331,0
0,0,375081,122,122,4,374536,1
0,0,1142859,409,409,4,1142287,1
0,0,1481322,93,93,4,1480762,1
0,0,1306828,210,210,4,1306226,1
0,0,1739,6,6,4,1236,1
0,0,405277,142,142,4,404699,0
0,0,1587490,213,213,4,1586741,0
0,0,2442,288,288,4,1612,1
0,1,327963,424,424,4,327337,1
0,0,1411596,21,21,4,1410949,0
0,0,253089,178,178,4,252442,0
0,0,917604,276,276,4,916954,0
0,0,358436,280,280,2,358038,1
0,0,11470,47,47,2,11081,1
0,0,371048,279,279,4,370350,1
0,0,1943209,9,9,4,1942577,0
0,0,7470,271,271,4,6853,1
0,0,76266,282,282,4,75574,1
0,0,21243,14,14,4,20602,1
0,0,605996,240,240,4,605367,1
0,0,332148,411,411,4,331510,0
1,0,862102,243,243,3,861431,0
0,0,1875155,220,220,4,1874526,0
0,0,617680,235,235,4,617066,1
0,0,59685,49,49,4,58891,0
0,0,1611491,331,331,4,1610868,0
0,0,31626,357,357,4,31012,0
0,0,67780,415,415,4,67067,0
0,0,425359,250,250,4,424565,0
0,0,281837,179,179,4,281250,0
0,0,1187163,347,347,4,1186465,0
0,0,1200244,313,313,4,1199621,0
0,0,18926,390,390,4,18276,0
0,0,2115566,25,25,4,2114982,1
0,0,1109679,317,317,4,1109041,1
0,0,1559,51,51,4,987,1
0,0,413954,418,418,4,413337,0
0,0,128464,416,416,2,128075,0
0,0,1139142,316,316,4,1138561,1
1,0,385637,20,20,3,384969,0
0,0,1348,168,168,4,512,1
0,0,567879,381,381,2,567310,0
0,0,190891,66,66,4,190256,1
0,0,3660,197,197,4,3085,1
0,0,1001979,95,95,4,1001410,0
1,0,1671935,119,119,3,1671336,0
0,0,3008,164,164,4,2760,1
0,0,17644,349,349,4,17072,0
0,0,393310,284,284,4,392783,0
0,0,1025055,193,193,4,1024453,0
0,0,1654543,30,30,4,1654004,1
0,0,11006,13,13,4,10434,1
0,0,1840810,110,110,4,1840178,0
0,0,1182146,314,314,4,1181541,1
0,0,377041,363,363,4,376496,1
0,0,389569,251,251,4,388676,0
0,0,1235855,189,189,2,1235211,1
0,0,1806636,338,338,4,1806064,0
0,0,7249,53,53,4,6641,0
0,0,452612,285,285,4,451995,0
0,0,410649,144,144,2,410251,0
0,0,1121,2,2,4,531,0
0,0,725245,152,152,4,724664,1
0,0,7534,344,344,2,7151,0
0,0,14571,377,377,4,14272,0
0,0,237931,289,289,4,237338,0
0,0,622513,26,26,4,621803,0
0,0,253619,171,171,4,252897,0
0,0,244194,181,181,4,243160,0
0,0,305429,372,372,4,304515,0
1,0,690105,150,150,3,689434,0
0,0,22995,306,306,2,22609,1
0,0,47042,80,80,4,46335,1
0,0,6670,229,229,4,6140,1
0,0,462219,364,364,4,461563,1
0,0,1079,128,128,2,750,0
0,1,1784731,334,334,4,1784156,1
0,0,1392058,309,309,4,1391459,0
0,0,170789,68,68,4,170208,1
1,0,44727,395,395,3,44119,1
1,0,978860,278,278,1,978390,0
0,0,7294,264,264,4,6638,0
0,0,9111,132,132,2,8734,0
0,0,633393,82,82,4,632488,1
0,0,2852,16,16,4,2211,0
0,0,1610144,115,115,4,1609563,0
0,0,219644,71,71,4,218985,1
