RaceCategory,HostCountry,RaceDate,ParticipantName,GeneralClassificationWinner,OfficialWebsite,ProCyclingStatsRaceId,NextEdition,EditionNumber,StartLocation,PreviousEdition,RaceWinner,RaceSeries,RaceName
1,0,35,52,49,0,279830.0,52,76,10,53,50,25,51
2,2,7,41,42,56,209938.0,8,117,9,12,43,27,10
5,11,57,0,29,20,290076.0,59,6,27,72,30,42,71
2,5,51,29,22,49,290106.0,59,115,33,66,23,23,64
2,0,15,3,30,8,247166.0,19,82,53,23,31,11,19
1,0,10,24,27,12,247623.0,20,72,22,24,28,20,20
2,0,4,37,53,39,209927.0,18,62,18,8,54,9,7
5,8,57,22,24,22,256487.0,31,78,26,35,25,33,32
2,0,25,56,51,52,268265.0,40,77,14,43,52,26,41
2,2,13,47,38,11,247313.0,14,84,34,20,39,3,18
1,0,36,39,14,24,279850.0,47,20,7,48,15,2,46
5,5,57,16,43,21,209917.0,10,54,25,14,44,30,12
0,10,46,5,4,64,292887.0,59,44,0,73,4,46,72
2,1,1,18,38,27,181954.0,3,9,31,3,39,14,3
1,0,54,20,49,58,293091.0,59,112,50,68,50,28,67
1,2,39,19,15,61,280136.0,57,39,35,59,16,38,56
1,0,14,29,25,37,247818.0,13,60,24,19,26,1,17
2,3,8,3,40,7,209949.0,6,58,12,9,41,10,8
1,2,41,7,49,28,280976.0,49,90,13,50,50,15,48
1,5,12,35,3,0,248725.0,21,101,29,25,3,24,21
2,0,2,31,53,15,209899.0,7,74,14,11,54,26,74
4,10,57,38,2,63,269600.0,45,73,23,46,2,43,44
2,5,11,23,51,19,247133.0,22,14,45,26,52,29,22
5,0,57,42,28,5,210041.0,5,15,5,5,29,0,5
4,6,57,48,46,47,281062.0,55,27,21,57,47,32,55
2,0,16,2,35,57,247169.0,23,104,1,28,36,36,24
1,0,38,3,22,0,279948.0,53,111,50,55,23,28,53
2,0,5,56,35,8,209929.0,17,74,41,7,36,8,73
3,3,57,54,23,38,221199.0,16,34,17,6,24,7,6
5,5,57,53,6,9,181132.0,2,101,20,2,6,12,2
5,12,57,17,48,32,209980.0,59,14,42,15,49,35,13
2,0,19,21,9,15,255456.0,29,76,14,33,9,26,30
2,5,3,36,25,19,209900.0,9,13,45,13,26,29,11
0,10,43,10,29,30,292821.0,59,33,44,71,30,41,70
5,7,57,17,16,0,182099.0,4,2,4,4,17,37,4
2,0,34,51,10,53,279067.0,59,78,14,54,10,26,52
2,2,23,43,47,16,255695.0,30,118,9,34,14,27,31
2,2,55,29,35,54,290146.0,59,121,9,67,36,27,66
2,3,33,14,32,35,268439.0,33,25,16,22,33,19,34
0,2,53,45,21,46,293004.0,59,22,11,64,22,21,63
2,2,31,43,10,55,268313.0,41,119,9,44,10,27,42
2,0,20,57,27,40,255560.0,27,63,18,21,28,9,28
2,5,28,26,34,50,268291.0,39,113,30,42,35,23,40
5,8,57,32,34,60,279311.0,56,80,38,58,35,33,75
1,10,18,8,15,1,255408.0,26,36,39,31,16,5,27
4,9,57,44,8,2,279716.0,58,49,37,60,8,44,57
4,0,57,15,45,62,271568.0,43,49,49,45,46,34,43
0,0,49,4,20,44,292937.0,59,13,19,63,21,18,62
1,0,42,29,17,62,280977.0,50,63,3,51,18,16,49
2,0,21,26,51,8,255584.0,28,83,53,32,52,11,29
1,0,26,21,13,45,269700.0,37,74,22,40,13,20,38
5,0,57,52,47,33,256642.0,42,17,47,30,48,0,26
1,5,50,27,0,51,292959.0,59,105,40,65,0,24,65
4,10,24,33,50,4,269660.0,46,68,51,47,51,45,45
5,0,57,34,35,34,247353.0,12,16,6,18,36,0,16
1,10,47,30,39,25,294479.0,59,39,52,61,40,5,59
1,5,27,18,33,51,269730.0,38,103,28,41,34,24,39
2,0,37,6,7,43,279110.0,48,85,53,49,7,11,47
2,0,52,20,22,26,290116.0,59,48,8,74,23,4,58
2,0,22,29,27,17,255626.0,32,105,1,36,28,36,33
2,0,17,34,52,18,247154.0,15,44,8,27,53,4,23
2,2,0,28,18,14,171015.0,1,115,9,1,19,27,1
2,0,30,11,35,36,268303.0,34,76,41,37,36,8,35
5,7,57,25,12,23,210084.0,44,3,4,17,12,37,15
5,2,57,9,19,13,171056.0,0,69,43,0,20,6,0
4,9,57,33,44,3,247584.0,24,46,37,29,45,44,25
0,10,45,1,14,29,292831.0,59,21,32,70,15,40,68
1,12,40,49,36,48,280963.0,51,2,46,52,37,22,50
0,10,44,1,41,31,292830.0,59,21,36,69,42,39,69
2,3,56,50,37,42,290169.0,59,61,12,75,38,10,60
2,3,9,13,11,6,210043.0,25,24,16,10,11,19,9
1,2,32,46,26,10,269992.0,36,45,15,39,27,17,37
4,4,57,12,31,59,280156.0,54,44,48,56,32,31,54
2,0,6,37,0,17,209930.0,11,103,1,16,0,36,14
0,0,48,40,1,41,292930.0,59,29,2,62,1,13,61
2,0,29,55,5,8,268302.0,35,84,53,38,5,11,36
