Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position
0,320234,147,147,23,319014
1,81801,40,40,11,80905
1,15410,226,226,2,14340
0,2162466,66,66,11,2161639
0,779639,95,95,2,778437
1,1098996,239,239,3,1097833
1,444826,201,201,11,443996
0,1077230,227,227,11,1076451
1,33929,169,169,20,32910
0,1422032,55,55,15,1421220
1,652441,52,52,2,651695
0,402463,87,87,21,401243
0,18040,108,108,23,16886
1,402910,139,139,11,402068
0,1153229,240,240,22,1151997
1,750678,156,156,24,750031
1,9906,4,4,22,8728
1,12258,155,155,23,11053
1,2202990,65,65,24,2202343
0,1011398,159,159,1,1010715
0,375897,23,23,26,375253
1,992655,211,211,11,991897
1,4632,137,137,22,3406
0,581117,205,205,15,580287
1,493669,121,121,33,492404
1,749602,56,56,16,748862
0,1832,61,61,22,591
0,217780,244,244,12,216641
1,1088191,238,238,16,1087412
0,822069,208,208,18,821287
0,10709,218,218,2,9531
0,23056,193,193,18,22262
0,691455,92,92,11,690643
0,497406,34,34,2,496306
1,365512,36,36,23,364310
0,9985,151,151,0,9303
0,4174,29,29,2,2966
0,1070767,196,196,11,1069991
1,599280,204,204,11,598465
1,26139,27,27,11,25351
1,182780,42,42,2,181743
0,196658,242,242,14,195561
1,394684,22,22,1,394031
0,1897997,128,128,11,1897239
1,1860,163,163,0,1114
0,589228,206,206,23,588062
0,400728,176,176,0,399566
0,617253,207,207,11,616495
0,745129,162,162,2,744176
0,1428734,54,54,26,1428093
1,1968229,126,126,11,1967444
0,13702,26,26,2,12743
0,1193619,232,232,1,1192936
0,210588,243,243,20,209491
0,17599,79,79,2,16553
0,1057942,133,133,22,1056725
1,663709,105,105,11,662936
0,1471918,183,183,5,1470884
1,884301,141,141,2,883339
0,18090,97,97,29,17131
1,1783506,130,130,11,1782673
0,1194158,233,233,0,1193721
1,5205,98,98,2,4201
0,177073,106,106,2,175745
0,153559,235,235,29,152606
0,4472,216,216,23,3321
1,979496,116,116,29,978543
1,1905082,69,69,11,1904309
1,27009,45,45,2,25858
0,38006,197,197,11,37197
0,1221966,178,178,14,1220947
1,226729,43,43,0,226322
0,76658,39,39,0,76494
1,987733,114,114,0,987176
1,937169,158,158,2,936387
1,416187,122,122,23,415021
1,983808,115,115,29,982858
1,497744,120,120,33,496932
1,3831,170,170,2,3070
0,3587,164,164,2,2544
1,10011,38,38,11,9199
0,1474427,53,53,27,1473666
0,36547,223,223,9,35690
1,531335,174,174,0,530982
1,477748,119,119,2,476525
1,1925877,68,68,2,1925107
1,1564778,74,74,16,1564014
0,1106541,228,228,22,1105297
1,15525,110,110,8,14710
1,2102,112,112,2,1101
1,178084,111,111,21,176870
1,712890,93,93,18,712129
1,77581,8,8,20,76523
0,855470,140,140,7,854496
1,1677,77,77,28,712
0,301271,148,148,18,300510
0,11639,198,198,2,10170
1,2202884,185,185,24,2202237
1,1487286,181,181,14,1486264
1,2879,135,135,11,2091
0,12102,220,220,0,11231
1,563168,90,90,2,561921
1,12897,5,5,0,11857
0,878597,143,143,11,877761
0,2640,172,172,2,1327
1,2089274,125,125,24,2088630
0,384191,37,37,14,383100
1,323886,161,161,25,323095
