Strand_Orientation,Genomic_Start_Position,Gene_Label,Encoded_Protein,Gene_Db_Id,Orthologous_Gene,Entity_Type,Genomic_End_Position
0,1168695,189,2,189,98,0,1174010
0,127,1,2,0,100,0,7476
1,605538,156,1,156,121,0,609988
1,1158055,161,3,161,35,1,1168419
0,1158920,40,1,40,27,0,1169344
1,2049,145,3,145,47,1,12299
1,41772,58,1,58,58,0,52109
1,13358,36,1,36,12,0,18044
0,413739,139,1,139,61,0,424181
0,215040,222,1,222,113,0,225503
1,930293,89,1,89,34,0,940675
0,322282,108,1,108,70,0,330111
1,447770,52,1,52,108,0,458221
0,318764,66,1,66,66,0,328819
0,1,154,2,154,37,0,5481
1,73238,101,1,101,87,0,83617
0,733188,12,3,12,90,1,743366
0,714922,130,3,130,9,1,723117
0,786038,42,3,42,132,1,796435
0,288610,109,3,109,72,1,296067
1,1,7,2,7,134,0,5595
0,810066,119,1,119,119,0,818767
0,563530,157,1,157,121,0,573981
1,380639,218,1,218,70,0,390898
1,2,25,2,25,101,0,6832
1,35644,191,1,191,69,0,46065
0,832124,211,1,211,8,0,842551
1,1,175,2,175,72,0,10005
1,72588,197,1,197,137,0,78813
0,143326,114,2,114,27,0,149649
0,805796,68,1,68,89,0,816094
0,2172,31,3,31,64,1,11516
1,16478,63,1,63,51,0,26884
1,17262,2,2,1,23,0,22907
0,3,149,1,149,15,0,5929
0,183374,184,2,184,94,0,193120
0,3,190,2,190,88,0,3341
1,959784,185,1,185,81,0,970184
0,203258,100,1,100,126,0,213628
0,636820,115,3,115,133,1,647211
1,127910,215,1,215,49,0,138304
1,8548,150,3,150,73,1,18759
0,318795,46,1,46,17,0,328850
0,3,4,2,4,63,0,6482
0,2334792,166,1,166,137,0,2345195
0,3143,107,3,107,95,1,13525
1,449073,64,1,64,136,0,459416
1,3015,85,1,85,75,0,13412
1,245186,112,1,112,136,0,252973
1,52593,94,1,94,83,0,62951
1,339083,219,2,219,136,0,347060
1,38978,205,2,205,18,0,45907
1,130814,131,1,131,39,0,141214
0,779023,212,3,212,111,1,789447
0,470489,78,2,78,80,0,475972
1,399029,180,1,180,25,0,409474
1,39092,123,1,123,17,0,47512
1,791817,13,1,13,112,0,802151
0,125031,199,1,199,101,0,135503
1,1709332,171,2,171,79,0,1717944
0,734937,39,1,39,131,0,745319
0,881293,19,1,19,24,0,891588
1,926063,201,3,201,28,1,934030
1,117093,172,1,172,86,0,127475
0,3,65,1,65,42,0,6144
1,20812,120,1,120,53,0,31191
0,1,192,1,192,20,0,9732
1,219184,213,1,213,91,0,229560
