GeneInstanceType,GeneDescription,GenomicEndPosition,GeneLabel,GeneDbId,EncodedProtein,OrthologousGene,GenomicStartPosition,StrandOrientation,HostTaxon
0,0,16460955,206,213,6,5,16457260,0,9
0,0,138161,112,119,22,53,134502,0,6
0,0,203930,61,66,19,10,200193,0,5
0,0,4553753,0,46,6,9,4549992,0,5
0,0,4840,6,0,27,8,914,1,0
0,0,9582610,169,176,6,35,9579467,1,7
0,0,334096,65,70,19,10,330365,0,5
0,0,3840387,81,88,19,56,3836677,0,6
0,0,1195742,5,53,1,8,1191876,1,5
0,0,8313586,165,172,6,24,8309909,0,7
0,0,1910663,196,203,19,5,1906803,0,9
0,0,1668281,32,29,19,11,1666599,0,5
0,0,2060217,118,125,31,21,2056039,0,6
0,0,4813930,136,143,6,10,4810370,0,7
0,0,65541,105,112,19,2,61918,1,6
0,0,2103880,123,130,6,50,2100152,0,6
0,0,10591984,174,181,7,24,10589706,0,7
0,0,4340768,39,36,19,11,4339005,0,5
0,0,83566,50,55,32,9,79856,1,5
0,0,20151480,207,214,20,16,20150096,1,9
0,0,11683010,175,182,7,35,11680997,0,7
0,0,44719,18,19,27,6,40601,1,4
1,0,11229,109,116,17,13,7763,1,6
0,0,239685,16,17,12,4,237098,0,4
0,0,4000548,147,154,6,24,3997084,1,7
0,0,2481188,79,85,19,11,2479680,0,5
0,0,12013049,177,184,6,35,12009273,1,7
0,0,12740701,179,186,6,24,12737024,0,7
0,0,338864,66,71,19,10,335124,0,5
0,0,10244238,172,179,6,35,10240936,1,7
0,0,3815,84,91,4,38,90,1,6
0,0,628721,43,41,19,9,624993,1,5
0,0,47239,9,3,29,0,43805,1,0
0,0,4278879,148,155,6,24,4275136,1,7
0,0,4939976,151,158,6,24,4936233,1,7
0,0,154797,58,63,19,10,150979,0,5
0,0,587534,130,137,33,44,585909,0,8
0,0,4522804,40,37,19,11,4521833,0,5
0,0,9064696,166,173,7,24,9062672,1,7
0,0,27954,107,114,19,53,24217,0,6
0,0,279004,124,131,32,28,275159,0,8
0,0,1147490,101,108,26,52,1145631,1,6
0,0,7007346,157,164,6,24,7005166,1,7
1,0,1139483,98,105,21,48,1135756,1,6
0,0,5598267,152,159,6,24,5595391,0,7
0,0,1143911,99,106,19,52,1140042,1,6
0,0,583704,129,136,32,3,582196,0,8
0,0,1703058,33,30,19,11,1701376,1,5
0,0,3105,104,111,24,54,838,1,6
0,0,4513,26,23,32,10,785,0,5
0,0,990197,94,101,19,14,986493,1,6
0,0,4293498,38,35,19,11,4292311,1,5
0,0,1152291,102,109,15,52,1148608,1,6
0,0,1678839,88,95,15,3,1675105,1,6
0,0,2259949,192,199,7,32,2258465,1,7
0,0,77533,19,20,29,23,73331,1,4
0,0,422887,103,110,19,54,419138,1,6
0,0,3622347,85,92,19,3,3618703,0,6
0,0,5954817,154,161,6,24,5951374,1,7
0,0,15794397,187,194,7,24,15790722,0,7
0,0,2626786,37,34,19,11,2624759,0,5
0,0,1698923,113,120,19,39,1695120,1,6
0,0,129819,57,62,19,10,126013,1,5
0,0,16013824,188,195,6,24,16010084,1,7
0,0,10462169,173,180,6,24,10459962,1,7
0,0,278985,131,138,32,12,276142,0,8
0,0,4527437,87,94,5,38,4523676,0,6
0,0,39991,8,2,33,19,37926,1,0
0,0,78806,22,14,29,30,75012,1,3
0,0,209762,106,113,19,2,205917,0,6
0,0,2452752,4,86,13,12,2449024,0,5
0,0,3071,191,198,7,17,1,1,7
0,0,6067584,155,162,7,24,6064796,1,7
0,0,1313993,31,28,34,11,1312530,0,5
0,0,2385281,141,148,7,24,2382667,0,7
0,0,3663817,3,42,11,12,3660173,0,5
0,0,5949017,153,160,7,35,5946681,1,7
0,0,1171908,5,49,1,8,1168174,1,5
0,0,324588,63,68,19,10,320857,0,5
0,0,89469,56,61,19,10,85705,0,5
0,0,95167,128,135,32,10,91325,0,8
0,0,3058427,80,87,19,56,3054798,0,6
0,0,2318413,75,81,19,10,2314616,0,5
0,0,72448,17,18,27,23,68270,1,4
0,0,15575977,182,189,6,24,15572300,0,7
0,0,7124284,159,166,7,24,7121353,0,7
0,0,1643702,69,74,19,6,1639890,1,5
0,0,1066754,209,216,22,40,1065571,1,9
0,0,6072691,156,163,6,35,6068918,1,7
0,0,2216609,122,129,19,55,2212887,0,6
0,0,45538,54,59,19,10,41732,0,5
0,0,62173,22,9,29,0,61124,1,2
0,0,3879497,82,89,6,56,3875733,0,6
0,0,3998549,212,219,9,22,3996303,0,9
0,0,47179,24,21,19,11,43448,0,5
0,0,651422,195,202,19,18,647718,1,9
0,0,970358,91,98,15,52,968556,1,6
0,0,15188591,181,188,7,24,15186471,1,7
0,0,95588,125,132,32,29,91746,0,8
0,0,933349,89,96,19,14,929525,0,6
0,0,329342,64,69,19,10,325611,0,5
0,0,333473,27,24,0,11,329763,1,5
0,0,2401,134,141,6,10,65,1,7
0,0,9578594,168,175,7,24,9577091,1,7
0,0,3049087,143,150,7,24,3047831,0,7
0,0,1021293,48,48,19,6,1017589,1,5
0,0,50499,13,8,32,19,46531,1,2
0,0,660379,132,139,32,28,656534,1,8
0,0,75831,55,60,19,10,72196,1,5
0,0,7120666,158,165,6,24,7119032,0,7
0,0,64291,14,12,32,21,60047,1,3
0,0,128558,110,117,22,23,125670,0,6
0,0,166154,60,65,19,10,162348,0,5
0,0,3579565,145,152,7,24,3578197,1,7
0,0,820521,139,146,6,24,819496,1,7
0,0,4285337,150,157,6,24,4284348,1,7
0,0,36414,10,5,28,7,33385,1,1
0,0,577054,83,90,19,36,573326,1,6
0,0,388457,28,25,19,11,386850,1,5
0,0,2071573,121,128,23,21,2069770,0,6
0,0,1705473,114,121,19,34,1701874,1,6
0,0,53020,22,4,29,27,48803,1,0
1,0,431084,194,201,25,1,427217,1,9
0,0,1849714,34,31,19,11,1845908,1,5
0,0,2296751,211,218,9,49,2295359,0,9
0,0,1309324,30,27,19,11,1307483,0,5
0,0,2151123,1,76,11,6,2147506,1,5
0,0,9462057,167,174,6,35,9458497,1,7
0,0,972317,190,197,6,46,970326,1,7
0,1,1637142,68,73,19,6,1633333,1,5
0,0,132277,111,118,19,53,129494,0,6
0,0,15710916,185,192,6,24,15707113,0,7
0,0,4312155,135,142,6,37,4308352,0,7
0,0,1402028,52,57,19,9,1398297,0,5
0,0,1049774,208,215,22,15,1047327,1,9
0,0,15790203,186,193,6,35,15786472,0,7
0,0,35572,46,45,19,12,31850,1,5
0,0,1630586,67,72,19,6,1626783,1,5
0,0,10008881,171,178,7,24,10006623,0,7
0,0,7732801,202,209,19,5,7728989,0,9
0,0,2191903,71,77,19,11,2188100,0,5
0,0,63847,15,16,32,6,59612,1,4
0,0,2186645,210,217,6,49,2182830,0,9
0,0,2804198,198,205,22,5,2802744,1,9
0,0,726058,138,145,6,24,722345,1,7
0,0,1657273,70,75,19,6,1653761,1,5
0,0,431513,86,93,15,38,427800,0,6
0,0,7783560,163,170,7,24,7780308,0,7
0,0,9357129,203,210,19,18,9353467,0,9
0,0,52090,20,13,27,6,47957,1,3
