Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Strand_Orientation
1,0,38827,226,226,1,35924,1
1,0,4679,184,184,1,1893,0
0,0,9869,53,53,0,8244,1
1,0,825842,310,310,1,823350,0
0,0,502030,130,130,0,499289,0
1,0,79193,77,77,1,76656,1
1,0,2449,0,0,1,11,0
0,0,7010,291,291,0,4233,1
0,0,66235,248,248,0,64469,1
1,0,21822,317,317,1,18838,1
1,0,3014,94,94,1,228,1
0,0,77950,17,17,0,74987,1
1,0,510295,141,141,1,507728,1
1,0,847503,311,311,1,845194,0
1,0,6673,233,233,1,3815,0
1,0,181574,314,314,1,180063,1
1,0,625252,229,229,1,622190,0
1,0,981807,277,277,1,979324,1
1,0,16715,187,187,1,14439,1
1,0,2940,213,213,1,73,1
0,0,8383,220,220,0,7271,0
0,0,17724,293,293,0,14986,1
1,0,13435,271,271,1,10745,0
0,0,86361,189,189,0,83876,1
1,0,225780,78,78,1,223900,0
1,0,578138,99,99,1,576360,0
1,0,504140,267,267,1,500865,0
1,0,636457,214,214,1,635763,0
1,0,847195,164,164,1,845501,0
1,0,492362,27,27,1,490971,0
1,0,236472,224,224,1,233641,0
0,0,779582,204,204,0,776703,0
1,0,7188,124,124,1,4384,0
1,0,8831,110,110,1,6234,1
0,0,650247,101,101,0,648161,0
1,0,984,304,304,1,31,0
1,0,1094,23,23,1,159,1
0,0,24358,272,272,0,21590,0
0,0,1225,52,52,0,1,1
1,0,628999,143,143,1,626735,0
1,0,13990,115,115,1,11384,1
1,0,28068,64,64,1,25282,1
1,0,3158,255,255,1,408,1
1,0,2351295,264,264,1,2348338,0
0,0,9939,56,56,0,8926,0
0,0,65081,83,83,0,62292,1
1,0,9052,247,247,1,7148,1
0,2,805554,313,313,0,804478,0
0,0,782600,205,205,0,781197,0
1,0,3790,211,211,1,806,0
1,0,1573917,167,167,1,1571158,0
0,0,1995400,175,175,0,1993454,0
0,0,794113,243,243,0,793295,0
1,0,644271,97,97,1,641242,1
0,0,56433,249,249,0,54619,1
1,0,654938,253,253,1,652152,0
1,0,1032018,49,49,1,1029001,0
0,0,1140600,197,197,0,1138639,0
1,0,411506,58,58,1,408474,0
1,0,924785,237,237,1,922281,1
0,0,1204,126,126,0,2,0
0,0,8397,15,15,0,5578,1
0,0,764760,203,203,0,762982,0
1,0,976,20,20,1,2,1
1,0,587182,273,273,1,584897,1
1,0,3258,40,40,1,436,0
1,0,6116,57,57,1,4224,1
0,0,606712,238,238,0,603989,0
1,0,21218,242,242,1,18921,1
0,0,2501,82,82,0,102,1
1,0,7457,215,215,1,4911,1
0,0,490870,45,45,0,489493,0
1,0,4777,18,18,1,2027,1
0,0,26225,207,207,0,24447,1
1,0,22430,44,44,1,19944,1
1,0,15107,263,263,1,12237,1
1,0,41742,307,307,1,39727,1
0,0,663320,259,259,0,660522,0
0,0,58458,114,114,0,55432,1
1,0,486237,24,24,1,483109,0
1,0,353345,138,138,1,350952,0
1,0,16574,223,223,1,14088,1
0,0,3713,283,283,0,2106,0
1,0,44770,25,25,1,42977,1
0,0,3597,235,235,0,1834,0
1,0,5794,135,135,1,3014,0
0,1,655728,169,169,0,653962,0
0,0,33262,308,308,0,31331,1
0,0,791878,121,121,0,790079,0
1,0,760085,244,244,1,757590,0
0,0,1852491,174,174,0,1847980,0
1,0,130785,104,104,1,128263,0
1,0,122539,191,191,1,120197,1
0,0,594892,227,227,0,591674,0
0,0,571445,199,199,0,567813,0
1,0,690966,180,180,1,687994,0
1,0,9553,113,113,1,7784,0
1,0,582823,21,21,1,581135,0
0,0,67475,296,296,0,65139,1
1,0,25743,231,231,1,24748,1
1,0,71114,196,196,1,69705,1
0,0,103187,323,323,0,101616,0
0,0,702008,181,181,0,700188,0
1,0,585311,228,228,1,582390,0
1,0,2350211,168,168,1,2347587,0
1,0,491613,133,133,1,488857,1
1,0,12191,232,232,1,9909,1
1,0,1182,91,91,1,1,1
1,0,59561,140,140,1,57681,1
0,0,14595,65,65,0,12280,1
1,0,9360,256,256,1,6577,0
0,0,1434052,155,155,0,1432280,0
1,0,29749,162,162,1,26915,1
1,0,430057,186,186,1,427406,0
1,0,14455,89,89,1,11690,0
0,0,30562,278,278,0,28739,1
0,0,4524,241,241,0,2574,0
0,0,4216,132,132,0,1460,1
0,0,19758,185,185,0,17038,0
0,0,47207,80,80,0,45534,1
0,0,36437,102,102,0,35517,1
1,0,5595,68,68,1,2761,1
1,0,912033,72,72,1,909235,0
1,0,2693,280,280,1,396,0
0,0,4036,63,63,0,1289,1
1,0,93761,71,71,1,90201,1
1,0,11733,73,73,1,9154,0
1,0,706189,14,14,1,704129,0
0,0,120500,322,322,0,118605,0
1,0,26060,260,260,1,23298,1
1,0,351197,218,218,1,348939,0
