Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,0,65081,86,0,62292,1
1,0,4679,184,3,1893,0
1,0,308397,303,3,305485,0
1,0,847503,312,3,845194,0
0,0,502030,131,0,499289,0
1,0,79193,79,3,76656,1
1,0,2449,0,3,11,0
0,0,7010,291,0,4233,1
1,0,491613,134,3,488857,1
1,0,56619,316,3,53854,1
1,0,3014,96,3,228,1
1,0,639965,257,3,637563,0
1,0,570499,251,3,567725,0
1,0,7457,213,3,4911,1
1,0,6673,232,3,3815,0
0,0,716265,35,0,713932,0
1,0,29749,161,3,26915,1
1,0,1133115,271,3,1130755,1
1,0,60671,176,3,58218,1
1,0,2940,211,3,73,1
0,0,8383,218,0,7271,0
0,0,17724,293,1,14986,1
1,0,13435,273,3,10745,0
0,0,359419,73,0,357746,0
1,0,510295,141,3,507728,1
1,0,628364,101,3,625434,0
1,0,504140,268,3,500865,0
1,0,12191,231,3,9909,1
1,0,848494,162,3,847454,0
1,0,492362,27,3,490971,0
1,0,236472,222,3,233641,0
0,0,782600,205,0,781197,0
1,0,7188,125,3,4384,0
1,0,8831,111,3,6234,1
1,0,654938,252,3,652152,0
1,0,984,305,3,31,0
1,0,1094,23,3,159,1
0,0,24358,274,0,21590,0
0,0,1225,52,0,1,1
0,0,2772,318,0,301,1
0,0,36463,116,0,33455,1
1,0,28068,64,3,25282,1
1,0,3158,254,3,408,1
1,0,2351295,265,3,2348338,0
0,0,9939,56,0,8926,0
1,0,10214,241,3,7875,1
1,0,9052,246,3,7148,1
0,0,811998,313,0,810235,0
1,0,4342,84,3,1385,1
1,0,3790,209,3,806,0
1,0,1721524,40,3,1718519,1
0,0,2010044,10,2,2009265,0
0,0,4119,42,0,967,1
1,0,1008775,189,3,1006142,0
0,0,66235,247,0,64469,1
1,0,556405,239,3,554000,1
1,0,8756,145,3,5919,1
0,0,4216,133,0,1460,1
1,0,430057,186,3,427406,0
0,0,1137976,137,0,1133828,0
0,0,1204,127,0,2,0
0,0,8397,15,0,5578,1
0,0,779582,204,0,776703,0
1,0,976,20,3,2,1
1,0,690828,275,3,688522,0
1,0,3258,39,3,436,0
1,0,6116,57,3,4224,1
