Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Genomic_Start_Position
0,0,1713823,10,10,2,0,1711409
1,0,32772,100,100,1,1,29866
1,0,373899,31,31,2,0,371611
1,0,721934,78,78,2,0,719244
0,0,428427,91,91,3,0,425755
1,0,1516533,46,46,2,0,1514173
0,0,465591,163,163,2,0,462814
1,0,54199,34,34,2,0,51578
1,0,952113,118,118,1,1,949273
0,0,1024944,233,233,2,0,1022305
1,0,199898,38,38,1,1,197364
0,0,404584,120,120,2,0,402206
0,0,473501,202,202,3,0,470631
0,0,246580,90,90,2,0,243767
0,0,33755,29,29,2,0,30969
0,0,355891,244,244,2,0,353552
0,0,602339,47,47,2,0,600009
1,0,1100880,194,194,1,1,1098211
0,0,1123469,221,221,1,1,1120611
1,0,1147282,168,168,2,0,1144757
1,0,32977,216,216,1,1,30248
1,0,33431,28,28,2,0,30843
0,0,184674,7,7,2,0,182293
1,0,1757922,188,188,2,0,1755496
0,0,553480,173,173,3,0,550610
0,0,16153,32,32,2,0,13502
1,0,292921,245,245,2,0,290183
0,0,256062,178,178,2,0,253732
0,0,25495,53,53,2,0,22811
1,0,8691,195,195,2,0,6085
1,0,180436,213,213,2,0,177890
1,0,15222,212,212,2,0,12538
0,0,849988,205,205,2,0,847319
1,0,1919214,106,106,2,0,1916677
0,0,546874,144,144,2,0,544250
0,0,1014233,136,136,1,1,1011738
0,0,519004,251,251,2,0,516413
0,0,1176004,167,167,2,0,1173581
1,0,82609,139,139,3,0,79808
0,0,316755,121,121,1,1,314314
0,0,622377,44,44,2,0,620053
1,0,483376,99,99,2,0,480707
0,0,1314205,93,93,2,0,1311887
1,0,1015945,209,209,2,0,1013150
1,0,204433,66,66,2,0,201761
0,0,1745786,15,15,2,0,1743231
1,0,125132,84,84,2,0,122370
0,0,17633,24,24,1,1,14982
0,0,4209,123,123,2,0,1423
0,0,187941,232,232,2,0,185287
0,0,1035713,61,61,2,0,1032837
0,0,425184,137,137,2,0,422410
0,0,513629,257,257,3,0,510834
1,0,565358,86,86,2,0,563163
0,0,1115182,220,220,2,0,1112378
0,0,432436,160,160,1,1,429818
1,0,218715,58,58,2,0,215884
1,0,86749,154,154,1,1,84020
0,0,396102,73,73,1,1,393418
0,0,107074,254,254,1,1,104540
0,0,602587,45,45,2,0,600077
0,0,389747,165,165,1,1,387120
0,0,422008,200,200,2,0,419294
0,0,1065877,198,198,2,0,1063010
0,0,378614,164,164,2,0,375975
0,0,309384,112,112,2,0,306937
1,0,585607,85,85,2,0,583331
0,0,7162,22,22,2,0,4697
1,0,650434,42,42,3,0,647633
1,0,23290,218,218,2,0,20606
0,0,9867,64,64,2,0,7462
1,0,442799,201,201,1,1,439932
1,0,1695278,9,9,2,0,1692543
0,0,700388,17,17,2,0,697620
0,0,14845,50,50,3,0,11996
0,0,8092,214,214,2,0,5759
1,0,13979,197,197,1,1,11352
0,0,1045611,208,208,3,0,1042786
0,0,15062,89,89,2,0,12438
0,0,1061168,114,114,4,0,1059124
1,0,8115,172,172,3,0,5269
1,0,379418,170,170,2,0,376740
1,0,1966199,105,105,2,0,1963551
0,0,585177,204,204,3,0,582301
0,0,475012,143,143,2,0,472298
0,0,1324430,92,92,2,0,1322082
1,0,1096585,235,235,2,0,1093946
1,0,9580,196,196,1,1,6749
1,0,50888,153,153,2,0,48174
1,0,1062895,234,234,2,0,1060310
0,0,758419,48,48,2,0,756089
0,0,12594,152,152,2,0,9967
1,0,9089,217,217,2,0,6579
0,0,45075,126,126,1,1,42286
1,0,1578209,102,102,1,1,1575672
0,0,1818146,110,110,2,0,1815771
0,0,466038,176,176,2,0,463714
0,0,1851640,108,108,2,0,1848668
0,0,139709,253,253,2,0,138117
0,0,290907,119,119,1,1,288478
1,0,1171520,41,41,2,0,1169280
1,0,2047179,184,184,2,0,2044399
0,0,800723,166,166,2,0,798375
1,0,12158,13,13,2,0,9363
0,0,21771,87,87,2,0,19363
0,0,488327,203,203,3,0,485541
0,0,454333,159,159,2,0,451748
0,0,262330,243,243,2,0,259847
0,0,568854,259,259,2,0,566233
1,0,16377,146,146,2,0,13513
1,0,180486,37,37,2,0,177754
0,0,1596686,185,185,2,0,1594209
0,0,301826,242,242,2,0,299487
0,0,736453,82,82,3,0,733583
0,0,1006971,1,1,5,0,1005142
0,0,20976,60,60,2,0,18310
0,0,5331,151,151,2,0,2932
1,0,629809,115,115,3,0,627020
0,0,1825289,187,187,2,0,1822929
0,0,590672,258,258,1,1,588504
1,0,6553,122,122,2,0,4166
0,0,1152306,222,222,2,0,1149583
1,0,13678,157,157,2,0,10931
0,0,468388,71,71,3,0,465485
0,0,476059,150,150,1,1,473501
1,0,1152001,179,179,1,1,1149578
1,0,1007699,206,206,2,0,1005114
1,0,1129346,169,169,2,0,1126764
0,0,696919,76,76,2,0,694046
0,0,1156973,236,236,2,0,1154469
1,0,221070,142,142,2,0,218443
0,0,463778,83,83,2,0,460986
0,0,11062,6,6,2,0,8450
1,0,1553361,181,181,2,0,1550629
0,0,280853,67,67,2,0,278046
0,0,546370,49,49,2,0,543824
0,0,399549,238,238,2,0,396772
0,0,57145,59,59,3,0,54284
0,0,817323,81,81,2,0,814468
0,0,408107,19,19,1,1,405750
1,0,60414,227,227,2,0,57859
1,0,988200,207,207,2,0,985546
1,0,7898,12,12,2,0,5274
0,0,245264,51,51,2,0,242583
0,0,4732,125,125,2,0,2051
0,0,21506,62,62,2,0,18858
1,0,23129,128,128,3,0,20358
0,0,428401,72,72,2,0,425663
1,0,950785,134,134,2,0,948302
0,0,34218,63,63,2,0,31414
0,0,2065088,103,103,1,1,2062416
0,0,15093,158,158,3,0,12226
0,0,1251196,180,180,2,0,1248512
1,0,352788,249,249,2,0,350182
1,0,565683,141,141,2,0,563344
1,0,10603,8,8,3,0,7772
1,0,212927,0,0,5,0,211077
0,0,1200167,193,193,2,0,1197396
0,0,652210,98,98,2,0,649424
1,0,10893,94,94,2,0,8359
1,0,4709,33,33,2,0,2067
0,0,119436,255,255,2,0,116878
1,0,14331,230,230,2,0,11776
0,0,1633076,186,186,1,1,1630521
0,0,7054,124,124,2,0,4541
1,0,456596,18,18,2,0,453903
1,0,3590,211,211,2,0,942
0,0,1816759,189,189,2,0,1814429
1,0,2010450,111,111,2,0,2008033
1,0,529696,175,175,2,0,526820
0,0,272153,68,68,2,0,269451
1,0,423886,69,69,2,0,421607
1,0,408724,140,140,1,1,406415
0,0,1189938,225,225,2,0,1187140
0,0,25731,11,11,3,0,22858
0,0,35248,54,54,2,0,32438
1,0,2099,4,4,5,0,3
0,0,867065,117,117,2,0,864531
1,0,460231,149,149,2,0,457457
0,0,2113696,55,55,1,1,2111357
0,0,783613,80,80,2,0,780839
1,0,35322,191,191,2,0,32611
0,0,506933,21,21,3,0,504105
1,0,41459,219,219,3,0,38613
0,0,584285,174,174,0,0,581721
0,0,404953,162,162,2,0,402317
0,0,16042,113,113,3,0,13142
1,0,574686,148,148,1,1,571897
1,0,596823,97,97,2,0,594229
0,0,71558,155,155,1,1,69066
0,0,1102343,226,226,2,0,1099539
0,0,556640,252,252,2,0,553878
0,0,22835,147,147,2,0,20457
0,0,65602,27,27,2,0,62846
1,0,2171498,182,182,2,0,2169063
1,0,3099,88,88,2,0,313
1,0,2201057,57,57,2,0,2198634
0,0,1865809,107,107,2,0,1862957
1,0,2060220,183,183,2,0,2057611
1,0,8030,145,145,2,0,5538
1,0,54570,30,30,3,0,51787
1,0,12466,229,229,2,0,9926
1,0,1650945,14,14,2,0,1648582
0,0,1181628,224,224,2,0,1179322
1,0,580806,96,96,5,0,578836
0,0,321121,171,171,2,0,318503
1,0,880730,135,135,2,0,877992
1,0,7331,95,95,3,0,4482
1,0,156435,36,36,3,0,153649
1,0,249052,75,75,2,0,246272
1,0,344245,16,16,2,0,341906
1,0,194602,248,248,3,0,191840
0,0,536061,256,256,2,0,533287
0,0,1828534,109,109,2,0,1825916
1,0,450835,70,70,2,0,448496
0,0,14547,23,23,2,0,12235
0,0,417885,138,138,2,0,415123
1,0,237391,74,74,2,0,234584
0,0,7271,25,25,2,0,4884
0,0,3982,3,3,2,0,1541
1,0,21057,156,156,2,0,18763
0,0,388287,239,239,2,0,385492
0,0,11601,43,43,2,0,9187
0,0,185153,26,26,2,0,182502
0,0,110238,228,228,3,0,107374
0,0,768058,79,79,2,0,765323
1,0,8573,215,215,2,0,6039
1,0,7513,5,5,2,0,4757
1,0,191757,116,116,2,0,188965
1,0,205713,246,246,2,0,202903
1,0,1409461,101,101,3,0,1406588
1,0,775880,132,132,2,0,773208
1,0,12861,240,240,2,0,10087
0,0,735391,130,130,2,0,733043
0,0,1731005,190,190,3,0,1728183
0,0,171302,231,231,4,0,169443
1,0,187696,247,247,2,0,185057
1,0,2180588,56,56,2,0,2178147
1,0,17047,40,40,2,0,14579
0,0,222070,177,177,2,0,219359
0,0,1169591,223,223,3,0,1166769
1,0,2776,52,52,1,1,113
1,0,935144,133,133,2,0,932427
0,0,8596,127,127,2,0,5819
0,0,24923,65,65,2,0,22032
0,0,42017,199,199,1,1,39222
1,0,1150558,192,192,1,1,1147775
1,0,665447,77,77,3,0,662586
0,0,276688,210,210,1,1,274223
1,0,396615,250,250,1,1,394090
0,0,381075,237,237,2,0,378301
1,0,2102129,104,104,2,0,2099463
0,0,255561,20,20,1,1,253126
1,0,22052,241,241,2,0,19278
0,0,198843,129,129,2,0,196225
0,0,763632,131,131,2,0,761305
0,0,421319,161,161,2,0,418704
1,0,167573,39,39,3,0,164778
1,0,11536,35,35,2,0,9554
1,0,597333,2,2,1,1,595705
