Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,301826,242,0,299487,0
0,125132,82,0,122370,1
1,387675,28,1,385183,0
0,736453,80,0,733583,0
0,190552,81,0,188093,1
0,1516533,43,0,1514173,1
0,476728,160,0,474101,0
0,54199,31,0,51578,1
0,988200,208,0,985546,1
0,1062895,233,0,1060310,1
0,246580,88,0,243767,0
0,758419,46,0,756089,0
0,488327,204,0,485541,0
1,322020,236,1,319249,0
0,33755,25,0,30969,0
0,423886,68,0,421607,1
0,993191,44,0,990858,1
1,1150558,194,1,1147775,1
0,1152306,222,0,1149583,0
0,1161129,167,0,1158613,0
1,32977,216,1,30248,1
0,33431,24,0,30843,1
0,504459,247,0,501763,1
0,1757922,190,0,1755496,1
0,553480,175,0,550610,0
0,16153,29,0,13502,0
0,355891,244,0,353552,0
0,309384,109,0,306937,0
0,25495,52,0,22811,0
0,8691,197,0,6085,1
0,200907,151,0,198367,0
0,15222,213,0,12538,1
0,867065,115,0,864531,0
0,1966199,102,0,1963551,1
0,557682,143,0,555076,0
0,1024944,232,0,1022305,0
0,556640,254,0,553878,0
0,1176004,166,0,1173581,0
0,156435,33,0,153649,1
0,447956,178,0,445458,1
0,735391,127,0,733043,0
0,1102343,226,0,1099539,0
0,1314205,91,0,1311887,0
0,1034195,210,0,1031508,1
0,650434,39,0,647633,1
0,1800605,107,0,1797939,1
0,187941,231,0,185287,0
1,17633,20,1,14982,0
0,4209,120,0,1423,0
0,198843,126,0,196225,0
0,1065877,200,0,1063010,0
0,432191,134,0,429708,0
0,536061,258,0,533287,0
0,568671,174,0,566338,1
1,1123469,221,1,1120611,0
0,443238,158,0,440629,0
0,422008,202,0,419294,0
0,125047,38,0,122324,1
0,50888,153,0,48174,1
1,107074,256,1,104540,0
0,622377,41,0,620053,0
0,404953,162,0,402317,0
0,352788,251,0,350182,1
0,185153,22,0,182502,0
1,389747,165,1,387120,0
0,373899,27,0,371611,1
0,475012,141,0,472298,0
0,7162,18,0,4697,0
