GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,155219,154,154,0,2,154221,0
1,434666,127,127,1,16,433053,0
0,1494962,35,35,0,22,1493559,1
0,831522,12,12,0,21,830434,1
0,10687,113,113,0,33,9590,0
0,1086604,112,112,0,22,1085297,1
0,33930,49,49,0,30,32737,0
0,340376,74,74,0,4,339975,0
0,566165,33,33,0,8,564966,0
1,6500,30,30,1,28,5433,0
1,496522,96,96,1,10,495068,1
0,447552,1,1,0,16,446896,0
1,1459767,36,36,1,22,1458433,0
0,405983,7,7,0,18,405798,0
0,423600,145,145,0,22,422017,0
0,1108489,111,111,0,22,1107152,1
0,617159,57,57,0,5,615924,0
0,1398991,108,108,0,22,1398122,0
1,3182,21,21,1,34,2247,0
1,553803,93,93,1,12,552229,0
0,1359,83,83,0,31,532,1
1,492874,56,56,1,9,492284,0
0,512575,152,152,0,6,511070,0
0,1689293,40,40,0,20,1687962,1
0,7259,6,6,0,25,6249,0
1,452810,97,97,1,10,452175,0
0,68405,136,136,0,48,67296,1
0,1002291,89,89,0,21,1001194,0
0,526360,149,149,0,5,525035,1
0,1898756,44,44,0,22,1897875,1
0,1944921,123,123,0,22,1944244,0
0,2480,75,75,0,44,1071,1
0,437973,98,98,0,1,437293,1
0,209311,50,50,0,11,208193,1
1,1071422,143,143,1,21,1070148,1
1,1867030,43,43,1,22,1865636,0
0,15753,10,10,0,26,14641,0
0,580857,34,34,0,8,579490,0
1,10644,95,95,1,46,9307,1
0,367224,148,148,0,5,366097,0
0,1248251,62,62,0,22,1246854,1
0,1499180,118,118,0,20,1497708,0
0,626028,38,38,0,7,624868,1
0,290343,73,73,0,4,289018,0
0,1117420,110,110,0,22,1116176,1
1,411413,91,91,1,23,410007,1
0,42426,102,102,0,3,41221,0
0,532332,150,150,0,5,531106,1
0,1741983,15,15,0,21,1740772,0
0,523945,116,116,0,1,522770,1
0,601068,115,115,0,7,599905,1
0,151073,138,138,0,48,149964,0
0,1651899,45,45,0,22,1651012,1
0,919364,86,86,0,21,918156,0
0,1605950,46,46,0,22,1604628,0
0,228042,117,117,0,4,226948,0
0,432268,5,5,0,15,431189,0
0,987463,88,88,0,21,986558,0
0,1733432,126,126,0,22,1732098,0
0,211061,153,153,0,0,209817,0
1,18783,26,26,1,38,17596,0
1,65502,29,29,1,40,63997,0
0,754771,53,53,0,17,753767,1
1,1804221,71,71,1,21,1803316,1
0,207419,58,58,0,16,207000,0
0,598434,76,76,0,10,597786,1
0,1172370,109,109,0,22,1171051,0
0,559992,92,92,0,5,558766,1
0,231983,84,84,0,10,230514,1
0,383794,23,23,0,22,382214,0
1,9275,47,47,1,42,7716,1
0,2090497,20,20,0,22,2089121,1
0,472615,52,52,0,5,471425,0
0,412929,51,51,0,5,411703,0
0,1933792,4,4,0,22,1933010,0
1,1778404,125,125,1,22,1777100,1
0,1093548,134,134,0,18,1092211,0
0,1683736,13,13,0,21,1682645,0
0,437003,65,65,0,18,436320,0
0,155993,114,114,0,19,154689,1
0,146779,94,94,0,10,145715,1
1,379854,80,80,1,15,379126,0
0,742418,37,37,0,22,741516,1
0,1277102,66,66,0,20,1275858,0
0,308539,82,82,0,18,307640,0
1,52782,135,135,1,48,51379,1
1,852,48,48,1,30,1,0
0,233697,2,2,0,11,233434,1
0,1572694,70,70,0,20,1571525,1
1,2053277,19,19,1,22,2051877,1
1,597683,128,128,1,10,596868,1
1,23787,25,25,1,37,22417,0
0,494627,39,39,0,1,493452,0
0,1587887,121,121,0,21,1586445,1
1,169772,31,31,1,13,168840,1
0,1404649,107,107,0,22,1403372,0
0,54854,27,27,0,38,53844,0
0,2157389,42,42,0,22,2156019,0
0,6378,59,59,0,43,4900,1
0,439354,103,103,0,12,437786,0
1,1072628,132,132,1,18,1071504,0
0,211328,151,151,0,8,209856,1
0,59441,101,101,0,3,58461,0
1,1789020,72,72,1,21,1787623,1
0,1506761,119,119,0,20,1505442,1
1,1143832,133,133,1,18,1142492,0
1,6733,24,24,1,36,6122,0
0,12244,28,28,0,39,11150,0
0,1420721,69,69,0,20,1419405,0
0,67849,100,100,0,3,66767,0
0,340851,8,8,0,4,340480,0
0,298468,79,79,0,15,296987,0
0,586,0,0,0,32,2,0
1,1386264,105,105,1,22,1384861,0
0,458510,16,16,0,4,457881,1
0,899374,77,77,0,17,898190,0
0,13267,22,22,0,35,11954,0
0,1413484,11,11,0,22,1412150,0
0,7956,32,32,0,29,6742,1
1,162444,139,139,1,48,161326,0
0,484137,81,81,0,15,482659,0
1,262696,60,60,1,13,261617,0
0,1672453,14,14,0,21,1671053,0
0,497535,155,155,0,12,496600,0
1,114367,137,137,1,48,112967,0
0,799780,140,140,0,14,799199,0
1,417432,104,104,1,12,415855,0
0,1370954,68,68,0,20,1369569,1
0,318880,147,147,0,5,317777,1
0,799094,55,55,0,14,798498,0
0,8841,17,17,0,27,7366,1
0,37052,129,129,0,47,35940,0
0,1287718,61,61,0,22,1286318,1
0,174865,131,131,0,9,173582,1
0,485,3,3,0,24,3,1
0,27971,85,85,0,45,26910,1
0,403184,99,99,0,1,402012,0
0,85134,90,90,0,13,83866,1
0,1951553,124,124,0,22,1950669,0
0,1361937,106,106,0,22,1361035,1
1,2074708,18,18,1,22,2073437,1
0,1065367,142,142,0,21,1064159,1
1,924253,87,87,1,21,923378,1
0,332931,64,64,0,22,332233,1
1,1365596,67,67,1,20,1364481,0
0,936561,78,78,0,17,935551,0
1,1015761,63,63,1,22,1014583,0
0,24760,144,144,0,49,23234,1
0,304330,146,146,0,5,303281,1
0,17944,130,130,0,47,16457,1
1,813285,54,54,1,17,812281,0
0,1622991,122,122,0,21,1622125,1
0,349644,9,9,0,4,348280,0
0,1547471,120,120,0,20,1546002,1
0,6048,41,41,0,41,4708,0
0,1047742,141,141,0,21,1046660,1
