GeneClassification,GenomicEndPosition,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,155219,154,0,2,154221,0
1,434666,127,1,16,433053,0
0,1494962,35,0,22,1493559,1
0,831522,12,0,21,830434,1
0,10687,112,0,33,9590,0
0,1086604,111,0,22,1085297,1
0,33930,48,0,30,32737,0
0,340376,73,0,4,339975,0
0,566165,33,0,8,564966,0
1,6500,30,1,28,5433,0
1,496522,95,1,10,495068,1
0,447552,1,0,16,446896,0
1,1459767,36,1,22,1458433,0
0,405983,7,0,18,405798,0
0,423600,145,0,22,422017,0
0,1108489,110,0,22,1107152,1
0,617159,56,0,5,615924,0
0,1398991,107,0,22,1398122,0
1,3182,21,1,34,2247,0
1,553803,92,1,12,552229,0
0,1359,82,0,31,532,1
1,492874,55,1,9,492284,0
0,512575,152,0,6,511070,0
0,1689293,40,0,20,1687962,1
0,7259,6,0,25,6249,0
1,452810,96,1,10,452175,0
0,68405,136,0,48,67296,1
0,1002291,88,0,21,1001194,0
0,526360,149,0,5,525035,1
0,1880588,43,0,22,1879185,1
0,1944921,122,0,22,1944244,0
0,2480,74,0,44,1071,1
0,437973,97,0,1,437293,1
0,209311,49,0,11,208193,1
1,1071422,143,1,21,1070148,1
1,1778404,124,1,22,1777100,1
0,15753,10,0,26,14641,0
0,580857,34,0,8,579490,0
1,10644,94,1,46,9307,1
0,367224,148,0,5,366097,0
0,1248251,61,0,22,1246854,1
0,1499180,117,0,20,1497708,0
0,626028,38,0,7,624868,1
0,290343,72,0,4,289018,0
0,1117420,109,0,22,1116176,1
1,411413,90,1,23,410007,1
0,42426,101,0,3,41221,0
0,532332,150,0,5,531106,1
0,1741983,15,0,21,1740772,0
0,523945,115,0,1,522770,1
0,601068,114,0,7,599905,1
0,151073,138,0,48,149964,0
0,1651899,44,0,22,1651012,1
0,919364,85,0,21,918156,0
0,1605950,45,0,22,1604628,0
0,228042,116,0,4,226948,0
0,432268,5,0,15,431189,0
0,987463,87,0,21,986558,0
0,1733432,126,0,22,1732098,0
0,211061,153,0,0,209817,0
1,18783,26,1,38,17596,0
1,65502,29,1,40,63997,0
0,754771,52,0,17,753767,1
1,1804221,70,1,21,1803316,1
0,207419,57,0,16,207000,0
0,598434,75,0,10,597786,1
0,1172370,108,0,22,1171051,0
0,559992,91,0,5,558766,1
0,231983,83,0,10,230514,1
0,383794,23,0,22,382214,0
1,9275,46,1,42,7716,1
0,2090497,20,0,22,2089121,1
0,472615,51,0,5,471425,0
0,412929,50,0,5,411703,0
0,1933792,4,0,22,1933010,0
0,1751668,125,0,22,1750310,0
0,1093548,134,0,18,1092211,0
0,1683736,13,0,21,1682645,0
0,437003,64,0,18,436320,0
0,155993,113,0,19,154689,1
0,146779,93,0,10,145715,1
1,379854,79,1,15,379126,0
0,742418,37,0,22,741516,1
0,1277102,65,0,20,1275858,0
0,308539,81,0,18,307640,0
1,52782,135,1,48,51379,1
1,852,47,1,30,1,0
0,233697,2,0,11,233434,1
0,1572694,69,0,20,1571525,1
1,2053277,19,1,22,2051877,1
1,597683,128,1,10,596868,1
1,23787,25,1,37,22417,0
0,494627,39,0,1,493452,0
0,1587887,120,0,21,1586445,1
1,169772,31,1,13,168840,1
0,1404649,106,0,22,1403372,0
0,54854,27,0,38,53844,0
0,2157389,42,0,22,2156019,0
0,6378,58,0,43,4900,1
0,439354,102,0,12,437786,0
1,1072628,132,1,18,1071504,0
0,211328,151,0,8,209856,1
0,59441,100,0,3,58461,0
1,1789020,71,1,21,1787623,1
0,1506761,118,0,20,1505442,1
1,1143832,133,1,18,1142492,0
1,6733,24,1,36,6122,0
0,12244,28,0,39,11150,0
0,1420721,68,0,20,1419405,0
0,67849,99,0,3,66767,0
0,340851,8,0,4,340480,0
0,298468,78,0,15,296987,0
0,586,0,0,32,2,0
1,1386264,104,1,22,1384861,0
0,458510,16,0,4,457881,1
0,899374,76,0,17,898190,0
0,13267,22,0,35,11954,0
0,1413484,11,0,22,1412150,0
0,7956,32,0,29,6742,1
1,162444,139,1,48,161326,0
0,484137,80,0,15,482659,0
1,262696,59,1,13,261617,0
0,1672453,14,0,21,1671053,0
0,497535,155,0,12,496600,0
1,114367,137,1,48,112967,0
0,799780,140,0,14,799199,0
1,417432,103,1,12,415855,0
0,1370954,67,0,20,1369569,1
0,318880,147,0,5,317777,1
0,799094,54,0,14,798498,0
0,8841,17,0,27,7366,1
0,37052,129,0,47,35940,0
0,1287718,60,0,22,1286318,1
0,174865,131,0,9,173582,1
0,485,3,0,24,3,1
0,27971,84,0,45,26910,1
0,403184,98,0,1,402012,0
0,85134,89,0,13,83866,1
0,1951553,123,0,22,1950669,0
0,1361937,105,0,22,1361035,1
1,2074708,18,1,22,2073437,1
0,1065367,142,0,21,1064159,1
1,924253,86,1,21,923378,1
0,332931,63,0,22,332233,1
1,1365596,66,1,20,1364481,0
0,936561,77,0,17,935551,0
1,1015761,62,1,22,1014583,0
0,24760,144,0,49,23234,1
0,304330,146,0,5,303281,1
0,17944,130,0,47,16457,1
1,813285,53,1,17,812281,0
0,1622991,121,0,21,1622125,1
0,349644,9,0,4,348280,0
0,1547471,119,0,20,1546002,1
0,6048,41,0,41,4708,0
0,1047742,141,0,21,1046660,1
