Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Instagram_Handle,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Nationality,Twitter_Handle,Birth_Place,Uci_Rider_Id,Languages,Weight_Kg,Birth_Date,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Height_Cm
1,3,,,10,10,217665,10,4,6,0,675098,1,,10,6,10,151104,97944,
1,2,62573.0,23503.0,1,3,181270,1,2,7,4,92264,5,63.0,4,2,1,91205,27124,174.0
1,0,69634.0,26526.0,8,9,194619,8,7,5,1,149727,4,66.0,7,8,8,115790,45992,176.0
1,7,58428.0,21992.0,5,7,168776,5,6,2,9,86895,3,,3,7,5,77835,16793,179.0
0,4,47965.0,17988.0,9,6,138125,9,1,4,10,70962,0,74.0,0,3,9,64279,8377,1.85
1,8,,31655.0,6,8,229058,6,8,9,7,419547,5,,8,9,6,155131,105979,
1,10,61573.0,23641.0,0,2,186945,0,4,0,2,91043,1,,2,10,0,82430,43007,
1,5,66232.0,23948.0,2,4,176305,2,0,1,3,109829,3,,5,1,2,81941,37446,175.0
1,1,89232.0,,4,1,209985,4,5,4,8,301151,2,,9,4,4,154036,80489,194.0
1,9,55907.0,20793.0,7,0,168755,7,6,8,5,461093,3,73.0,1,0,7,66627,16610,178.0
1,6,66256.0,25157.0,3,5,189438,3,3,3,6,96372,3,65.0,6,5,3,97448,41249,174.0
