Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,Birthplace,UciRiderId,WeightKg,BirthDate,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,CyclingDiscipline
1,3,87842.0,30666.0,27,,216727.0,27,11,765724.0,72.0,40,32,25,150321.0,95151.0,14,182.0,3
1,8,70678.0,27025.0,11,,194068.0,11,20,101820.0,,35,14,11,120394.0,45349.0,9,178.0,3
1,34,46998.0,16666.0,33,22458.0,140492.0,33,9,64680.0,71.0,10,7,31,48356.0,2338.0,4,176.0,3
1,32,51744.0,19238.0,9,38200.0,138396.0,9,1,72932.0,70.0,21,13,9,66031.0,7720.0,8,177.0,0
2,19,39287.0,13240.0,10,66281.0,140835.0,10,15,55029.0,67.0,7,33,10,21075.0,1310.0,16,178.0,4
1,12,43344.0,16653.0,2,63128.0,140818.0,2,2,64670.0,78.0,13,10,3,52068.0,2337.0,1,181.0,0
1,14,46049.0,19242.0,5,,139823.0,5,31,69149.0,80.0,22,23,6,43239.0,7730.0,5,183.0,1
1,16,,22005.0,8,,135527.0,8,5,93662.0,,12,8,8,78283.0,28169.0,14,184.0,3
1,26,56345.0,20861.0,26,2247.0,155558.0,26,3,86624.0,71.0,24,3,24,80972.0,16816.0,14,184.0,3
1,2,56070.0,20777.0,13,203494.0,179769.0,13,19,86568.0,71.0,25,23,13,79781.0,18575.0,7,180.0,4
1,10,,24316.0,0,,181239.0,0,34,97280.0,67.0,31,34,0,104872.0,37281.0,14,186.0,0
1,1,46381.0,18610.0,17,77168.0,137427.0,17,25,71557.0,62.0,16,0,17,63999.0,12474.0,6,173.0,1
2,24,13512.0,3347.0,21,15367.0,140776.0,21,7,896277.0,68.0,1,28,2,16686.0,624.0,16,175.0,4
1,22,58428.0,21992.0,19,23650.0,168776.0,19,30,86895.0,,28,24,19,77835.0,16793.0,14,179.0,3
1,28,,16784.0,24,,139562.0,24,32,60649.0,,11,23,23,38446.0,7985.0,16,,0
1,18,,26392.0,15,,193131.0,15,23,148275.0,69.0,34,25,15,89152.0,45363.0,11,176.0,3
1,30,83295.0,28377.0,29,84000.0,212377.0,29,0,587366.0,62.0,38,11,27,141854.0,84019.0,14,171.0,3
1,15,55719.0,22020.0,6,2473.0,164213.0,6,8,86617.0,,27,1,7,77514.0,26504.0,14,183.0,0
1,37,49495.0,23426.0,12,29588.0,177246.0,12,12,87061.0,,33,15,12,88470.0,37748.0,14,181.0,3
2,31,23171.0,7724.0,1,64000.0,140382.0,1,22,48815.0,75.0,6,9,1,26590.0,1009.0,3,182.0,4
1,39,62257.0,26197.0,39,,181203.0,39,21,136296.0,65.0,29,16,36,105159.0,38937.0,14,177.0,3
1,7,61538.0,24057.0,14,,177672.0,14,33,91640.0,82.0,32,12,14,79184.0,27099.0,17,193.0,4
1,25,14372.0,56.0,22,,140610.0,22,16,14262.0,63.0,0,31,21,5274.0,27.0,16,174.0,3
1,36,54579.0,19897.0,34,,139754.0,34,24,72971.0,,23,36,32,68144.0,10802.0,14,187.0,3
1,35,39842.0,12843.0,23,1311517.0,140292.0,23,29,67388.0,58.0,9,27,22,57418.0,2276.0,2,166.0,3
