Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,Nationality,Birthplace,RepresentingCountry,UciRiderId,Languages,WeightKg,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
0,24,30163.0,10644.0,23,72926.0,140175,14,9,9,48801.0,2,62.0,13,23,27518,,16,173,9
0,5,69634.0,26526.0,30,5000.0,194619,12,13,10,149727.0,8,66.0,18,29,115790,45992.0,12,176,23
0,19,19558.0,3828.0,10,65423.0,140870,10,11,4,34012.0,6,69.0,10,10,21215,264.0,2,182,10
0,22,27794.0,12923.0,20,156620.0,140821,11,7,9,58528.0,7,65.0,14,19,36053,2961.0,15,176,16
1,26,3516.0,1303.0,29,31384.0,140584,14,8,12,,2,75.0,7,28,12756,271.0,16,190,5
0,20,69190.0,25740.0,12,,196424,4,12,4,112082.0,1,,27,11,115868,38195.0,13,175,23
0,29,60759.0,22794.0,6,37069.0,168760,13,1,9,86857.0,0,61.0,15,6,81087,1527.0,11,177,23
0,25,30026.0,7147.0,24,140921.0,140611,0,14,9,57601.0,2,62.0,19,24,32008,563.0,16,172,14
0,27,39842.0,12843.0,22,1311517.0,140292,3,28,3,67388.0,9,58.0,20,21,57418,2276.0,3,166,18
0,20,69190.0,25740.0,12,,196424,4,12,4,112082.0,1,,27,11,115868,38195.0,13,175,23
0,15,43338.0,12719.0,3,,140949,13,24,9,71758.0,0,66.0,31,3,61115,7590.0,16,182,0
0,14,47066.0,16881.0,21,41605.0,140633,6,31,6,59614.0,3,,1,20,32178,2530.0,16,175,17
1,1,49682.0,17893.0,28,39580.0,134456,14,4,12,553301.0,2,58.0,30,27,65130,6242.0,15,172,20
0,10,22663.0,5789.0,2,1529344.0,140869,9,20,8,43936.0,5,69.0,9,2,22017,713.0,4,186,8
0,8,60850.0,,13,,184787,5,5,5,94843.0,6,62.0,4,12,83533,,13,164,23
0,20,69190.0,25740.0,12,,196424,4,12,4,112082.0,1,,27,11,115868,38195.0,13,175,23
0,6,47686.0,17534.0,11,8603.0,140333,13,17,9,59773.0,9,72.0,12,22,37589,2325.0,15,183,21
0,17,14221.0,333.0,15,45721.0,140862,13,18,9,24447.0,9,73.0,23,14,9905,,1,186,4
0,30,47214.0,16722.0,31,34792.0,140674,1,25,1,64531.0,6,71.0,28,30,52973,6228.0,17,183,19
0,18,69878.0,26378.0,9,,206876,3,21,3,162777.0,6,,22,9,118440,61639.0,7,168,23
0,9,3132.0,1861.0,14,,140928,13,26,9,23069.0,9,69.0,5,13,1472,288.0,0,175,7
0,3,16289.0,5.0,1,470645.0,140924,13,19,11,14575.0,6,61.0,25,1,7005,38.0,15,177,12
0,2,3262.0,387.0,0,1397142.0,137456,13,15,11,518429.0,9,62.0,6,0,1567,3.0,15,176,15
0,22,27794.0,12923.0,20,156620.0,140821,11,7,9,58528.0,7,65.0,14,19,36053,2961.0,15,176,16
0,31,6154.0,267.0,27,110646.0,140757,0,16,0,25781.0,2,64.0,11,27,3175,339.0,16,170,13
0,23,56938.0,20257.0,19,17205.0,167585,2,10,2,86480.0,6,64.0,29,18,81851,16569.0,11,175,1
0,3,16289.0,5.0,1,470645.0,140924,13,19,11,14575.0,6,61.0,25,1,7005,38.0,15,177,12
1,16,19255.0,3891.0,7,508772.0,140196,14,6,12,32532.0,2,71.0,24,7,11292,716.0,14,183,6
0,31,6154.0,267.0,27,110646.0,140757,0,16,0,25781.0,2,64.0,11,27,3175,339.0,16,170,13
0,13,65688.0,24926.0,4,465450.0,198937,3,30,3,95844.0,9,60.0,0,4,100412,58275.0,5,175,23
0,12,59981.0,22676.0,8,,170164,8,27,7,95753.0,5,69.0,16,8,81741,28781.0,9,182,23
1,0,28095.0,12823.0,25,,137337,0,0,0,58891.0,2,71.0,8,25,34412,2322.0,16,182,11
0,22,27794.0,12923.0,20,156620.0,140821,11,7,9,58528.0,7,65.0,14,19,36053,2961.0,15,176,16
0,28,61775.0,23299.0,17,23252.0,164709,13,29,9,89223.0,0,68.0,21,16,72207,25726.0,9,186,2
0,7,52879.0,19448.0,16,15757.0,132428,4,23,9,73817.0,6,,17,15,71390,7695.0,6,184,22
0,21,,28521.0,18,704.0,206257,1,3,9,154218.0,6,,26,17,118544,70377.0,13,174,23
0,11,53528.0,18739.0,5,7211.0,133831,7,22,9,79882.0,4,62.0,2,5,67159,9344.0,8,181,3
1,0,28095.0,12823.0,25,,137337,0,0,0,58891.0,2,71.0,8,25,34412,2322.0,16,182,11
0,19,19558.0,3828.0,10,65423.0,140870,10,11,4,34012.0,6,69.0,10,10,21215,264.0,2,182,10
0,30,47214.0,16722.0,31,34792.0,140674,1,25,1,64531.0,6,71.0,28,30,52973,6228.0,17,183,19
0,4,89309.0,29699.0,26,,211947,3,2,3,353375.0,9,,3,26,144923,81835.0,10,174,23
0,5,69634.0,26526.0,30,5000.0,194619,12,13,10,149727.0,8,66.0,18,29,115790,45992.0,12,176,23
0,5,69634.0,26526.0,30,5000.0,194619,12,13,10,149727.0,8,66.0,18,29,115790,45992.0,12,176,23
