SocialMediaFollowers,CommonsCategory,FirstName,FirstCyclingRiderId,FreebaseId,CqRankingMaleCyclistId,ProfileImage,HeightCm,MemoireDuCyclismeCyclistId,SportCountry,ProCyclingStatsCyclistId,BirthDate,InstagramUsername,TwitterUsername,UciRiderId,CycleBaseCyclistId,WeightKg,LastName,CyclingArchivesCyclistId,OlympediaPeopleId,BirthPlace
252749.0,43,37,18258.0,5,20730.0,41,187.0,,2,168961.0,33,32,21,75859.0,54395.0,70.0,38,74709.0,141009.0,11
226940.0,40,35,33.0,15,11.0,36,192.0,1363.0,10,140750.0,2,0,40,13978.0,1761.0,82.0,6,2452.0,125415.0,21
212924.0,38,25,,34,,23,,,10,,41,0,2,,,,24,,,23
16190.0,9,6,7724.0,30,17794.0,8,187.0,47192.0,9,139904.0,25,8,3,68844.0,41890.0,64.0,39,52412.0,145561.0,36
42225.0,4,2,406.0,17,4179.0,5,181.0,6915.0,10,140749.0,13,13,8,32691.0,8760.0,78.0,19,19407.0,121169.0,31
1940308.0,30,27,784.0,19,12193.0,27,184.0,9096.0,10,140797.0,17,21,35,54603.0,26009.0,78.0,29,30229.0,125137.0,41
5000.0,37,34,45992.0,34,26526.0,4,176.0,,12,194619.0,39,29,20,149727.0,69634.0,66.0,27,115790.0,146565.0,16
247878.0,32,29,174.0,21,45.0,38,179.0,12393.0,10,140855.0,4,23,17,24166.0,6263.0,70.0,13,4177.0,103635.0,34
1397142.0,3,1,3.0,22,387.0,1,176.0,2513.0,14,137456.0,5,1,23,518429.0,3262.0,62.0,7,1567.0,111578.0,19
16935.0,26,22,11313.0,3,19165.0,31,184.0,,10,137797.0,28,0,13,66315.0,41892.0,73.0,33,43238.0,,38
2247.0,31,28,16816.0,6,20861.0,24,184.0,67077.0,6,155558.0,32,22,16,86624.0,56345.0,71.0,3,80972.0,,3
120333.0,0,25,,34,,37,,,10,,41,0,0,,,,24,,,23
56034.0,36,33,3277.0,16,13362.0,30,177.0,54866.0,11,139405.0,19,27,18,65995.0,41076.0,70.0,4,51551.0,,37
212951.0,39,25,,34,,23,,,10,,41,25,2,,,,24,,,23
95405.0,5,3,828.0,11,7606.0,11,179.0,9831.0,15,140501.0,14,0,38,45633.0,23014.0,68.0,31,20340.0,111629.0,28
77168.0,15,12,12474.0,0,18610.0,3,173.0,56596.0,10,137427.0,26,4,22,71557.0,46381.0,62.0,0,63999.0,133837.0,29
508772.0,13,10,716.0,8,3891.0,12,183.0,19127.0,15,140196.0,12,0,7,32532.0,19255.0,71.0,34,11292.0,113194.0,7
32176.0,2,0,20147.0,31,18975.0,35,172.0,64111.0,15,133024.0,27,2,1,70590.0,56666.0,58.0,37,65132.0,133999.0,4
205449.0,21,18,16672.0,33,21971.0,20,184.0,,9,168754.0,34,14,33,79462.0,48143.0,,40,64280.0,145562.0,15
26443.0,23,20,2211.0,20,13066.0,25,178.0,45665.0,0,140384.0,18,0,24,62919.0,38259.0,72.0,22,39964.0,,6
127549.0,33,30,18655.0,32,20719.0,28,177.0,66232.0,10,174582.0,16,24,36,88889.0,56041.0,65.0,28,72449.0,135863.0,32
120359.0,1,25,,34,,23,,,10,,41,3,0,,,,24,,,23
105592.0,28,24,29.0,9,2321.0,34,190.0,19065.0,9,140747.0,6,0,15,28366.0,15757.0,75.0,32,10533.0,111603.0,2
9184.0,22,19,16643.0,34,20798.0,32,183.0,66541.0,6,132438.0,29,15,11,86938.0,52044.0,70.0,30,71789.0,143404.0,1
142330.0,6,25,,34,,23,,,10,,41,0,25,,,,24,,,23
84000.0,34,31,84019.0,34,28377.0,29,171.0,,2,212377.0,40,26,5,587366.0,83295.0,62.0,9,141854.0,141007.0,0
5158.0,27,23,20448.0,34,22703.0,22,177.0,,10,164943.0,31,18,14,88833.0,62142.0,72.0,26,77956.0,,10
31137.0,44,38,10971.0,2,19941.0,6,180.0,58156.0,2,135398.0,22,33,42,86228.0,55192.0,75.0,20,59790.0,,13
569371.0,42,36,133.0,24,1994.0,40,181.0,16105.0,7,140778.0,7,31,41,28378.0,11585.0,65.0,23,13069.0,111576.0,20
91041.0,35,32,52.0,25,871.0,33,190.0,13195.0,10,140868.0,3,0,37,20884.0,7362.0,71.0,16,9918.0,108005.0,35
213342.0,41,35,2324.0,27,16677.0,9,185.0,55213.0,9,140118.0,20,0,39,73892.0,44733.0,69.0,8,64982.0,135249.0,18
