Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,3818,117,117,30,2061,1
0,497232,54,54,67,497002,0
1,1362603,67,67,40,1360342,0
1,10034,9,9,4,9492,0
1,705460,55,55,51,703286,0
1,720,118,118,16,1,0
1,560632,58,58,57,560198,0
1,160581,126,126,65,159610,1
1,2942,38,38,54,882,1
1,53693,62,62,5,52560,1
1,1058918,108,108,69,1056777,0
1,1193345,105,105,17,1191366,0
0,591642,60,60,21,591283,1
1,2356776,5,5,60,2355799,0
1,5081,19,19,39,2874,1
1,82404,8,8,27,80149,1
1,3053,22,22,46,873,0
1,501852,64,64,53,499696,1
1,195717,4,4,45,194815,0
1,454212,111,111,62,451945,1
1,1166328,33,33,61,1164352,1
1,114991,85,85,10,114542,1
1,161676,79,79,17,160684,1
1,2832,57,57,37,619,0
1,26356,46,46,32,24182,1
1,628270,41,41,47,627785,1
1,60797,32,32,22,58671,1
1,508321,37,37,59,506186,0
1,29015,29,29,9,27780,1
1,646319,102,102,1,643902,0
1,395040,110,110,62,392911,1
1,2179419,99,99,63,2176948,1
1,742170,81,81,62,739927,0
1,203063,82,82,39,200871,0
1,9199,104,104,20,7001,1
1,606833,40,40,13,604902,0
1,53186,23,23,68,51024,0
0,12912,2,2,49,12295,0
1,5374,107,107,3,4073,1
1,346367,45,45,62,344166,1
0,551749,35,35,64,551012,0
1,656983,75,75,38,654773,0
0,302402,49,49,48,301785,1
1,18169,7,7,2,16115,1
1,2355697,100,100,13,2354525,0
1,141673,127,127,17,140918,1
1,38921,65,65,66,36609,1
0,356850,24,24,53,356083,1
1,246323,71,71,2,244452,1
1,258202,88,88,42,255983,1
1,802663,63,63,3,801878,0
1,628874,61,61,47,628374,1
1,1105132,106,106,38,1103840,1
0,1157244,30,30,33,1157023,0
1,2001346,69,69,63,1998842,0
1,122127,120,120,42,120202,0
1,32651,28,28,67,31587,1
1,576256,1,1,57,575726,0
1,13846,11,11,2,12761,0
1,69895,3,3,15,67685,1
1,292285,129,129,7,290090,1
1,479217,80,80,40,477172,0
1,967593,59,59,60,965515,1
1,18788,27,27,30,16752,1
1,1431,21,21,38,1,0
1,843337,68,68,34,841178,0
1,27802,124,124,11,25553,1
0,521,0,0,54,3,1
1,149082,121,121,42,147823,0
1,630544,12,12,12,630077,0
1,85717,43,43,10,84713,1
1,2356,6,6,36,188,0
0,116089,78,78,14,115388,1
1,5373,103,103,20,3175,0
1,414917,91,91,12,412986,0
1,590889,95,95,47,588715,1
1,879776,20,20,31,877512,0
1,16562,25,25,42,16113,1
1,551038,42,42,18,548948,0
1,573072,93,93,56,571858,0
1,8796,48,48,49,6766,1
1,194168,89,89,56,192141,0
1,804175,50,50,51,801998,0
1,7341,15,15,23,5542,1
1,1092022,123,123,63,1090076,1
1,853635,114,114,17,852247,0
1,6731,39,39,3,4560,1
1,24063,90,90,6,21859,0
0,569,77,77,28,3,1
1,605835,113,113,17,604711,1
1,20468,94,94,25,18309,1
1,47761,116,116,30,45575,0
1,80858,13,13,60,80019,1
1,143770,130,130,43,141896,0
1,40865,17,17,19,38190,1
1,17708,31,31,6,16425,1
1,107570,34,34,35,105642,1
1,238993,72,72,50,236726,1
1,5239,53,53,24,3059,1
1,2117,26,26,52,3,1
1,45873,86,86,2,43711,1
1,305003,101,101,51,302736,0
1,724179,14,14,56,722086,0
1,564263,36,36,32,562332,1
1,487684,132,132,12,485708,0
1,9794,122,122,23,7884,1
1,395811,52,52,29,393328,0
1,399746,92,92,56,397836,0
1,510087,18,18,17,508918,0
1,640806,112,112,35,638620,0
1,630340,44,44,44,629867,0
1,45587,119,119,13,43530,1
1,12118,56,56,8,9896,0
1,603844,96,96,18,602780,1
1,28251,115,115,41,27310,0
1,15656,51,51,58,13635,1
1,551317,83,83,56,549344,0
1,2323,70,70,28,1850,0
1,17469,87,87,16,15220,0
1,2747,84,84,24,2046,0
1,1525088,98,98,49,1523784,1
1,1220025,97,97,40,1218841,0
1,1560715,16,16,60,1558235,1
1,8315,10,10,17,7779,1
1,415880,47,47,7,413892,0
0,352533,109,109,0,352018,1
1,429,128,128,61,1,0
0,461012,74,74,42,460530,0
1,216636,73,73,7,214564,1
1,61722,125,125,63,61057,1
1,111044,131,131,55,109113,0
0,875271,76,76,26,874933,0
1,1428134,66,66,40,1426182,0
