SportType,StageLabel,HostCountry,ProCyclingStatsRaceId,StartLocation,StageType,StageWinner,RaceEvent,NextStage,StageDate,PreviousStage,StageNumber,GeneralClassificationLeader,StageDescription,EndLocation
1,98,7,256633.0,97,18,53,22,158,92,100,21.0,20,24,111
1,67,3,256102.0,142,6,46,18,157,62,45,,15,15,82
1,46,3,247293.0,74,20,68,14,40,40,48,15.0,20,18,50
1,60,7,247322.0,98,19,37,16,53,46,56,2.0,20,24,65
1,57,7,247337.0,82,17,25,16,49,56,59,15.0,20,24,99
1,79,3,256322.0,72,21,71,17,70,63,80,3.0,11,10,96
1,33,3,210004.0,106,21,76,7,24,27,35,4.0,7,19,84
1,4,8,181397.0,91,17,65,3,1,6,11,3.0,29,21,45
1,149,3,279336.0,128,20,55,35,138,137,144,14.0,27,24,62
1,90,7,256623.0,58,17,36,22,81,84,92,12.0,19,24,36
1,8,8,181402.0,13,21,2,3,5,10,15,8.0,24,21,18
1,9,7,180851.0,148,11,53,5,29,148,4,,20,4,37
1,150,7,279337.0,98,19,60,35,139,138,145,15.0,27,24,65
1,56,7,247335.0,85,23,53,16,48,55,58,13.0,20,24,79
1,45,3,247291.0,33,20,7,14,39,39,47,13.0,20,18,101
1,51,3,247285.0,30,20,52,14,44,38,53,8.0,0,18,72
1,14,7,181862.0,86,16,64,5,35,148,5,,28,5,74
1,137,4,279092.0,94,17,53,30,126,126,137,6.0,20,14,88
1,70,3,256331.0,116,21,50,17,62,68,72,12.0,30,14,86
1,58,7,247339.0,118,17,36,16,50,57,60,16.0,20,24,28
1,119,7,269594.0,23,17,20,28,107,94,119,2.0,22,14,123
1,139,7,279116.0,46,19,29,31,129,127,138,3.0,6,14,135
1,78,3,256340.0,31,21,76,17,158,76,81,21.0,30,14,89
1,94,7,256628.0,64,21,20,22,85,88,96,16.0,19,24,110
1,147,7,279332.0,143,18,21,35,136,135,156,10.0,27,24,132
1,3,8,181404.0,49,9,57,5,26,148,3,,24,3,18
1,17,7,181854.0,126,18,58,6,12,16,23,16.0,28,25,122
1,24,4,210078.0,15,3,4,12,36,36,7,,18,15,33
1,7,8,181401.0,47,20,49,3,4,9,14,7.0,24,21,12
1,29,3,210013.0,138,20,64,7,20,31,31,12.0,7,14,14
1,111,3,268346.0,117,19,43,24,100,106,111,14.0,6,14,78
1,144,7,281357.0,92,19,68,34,133,123,142,4.0,30,14,54
1,123,7,268452.0,44,21,32,29,112,111,124,11.0,22,24,24
1,80,3,256323.0,105,21,38,17,71,64,82,4.0,11,14,42
1,91,7,256624.0,14,21,22,22,82,85,93,13.0,19,24,137
1,145,7,279354.0,11,16,63,33,155,148,123,,27,12,74
1,39,7,209931.0,150,18,42,10,30,23,160,1.0,12,22,143
1,28,3,210012.0,2,21,9,7,19,30,30,11.0,7,14,126
1,146,7,279323.0,11,22,0,35,143,129,160,1.0,10,24,16
1,36,8,209997.0,104,20,17,8,27,25,38,7.0,4,21,49
1,97,7,256631.0,133,17,36,22,88,91,99,19.0,20,24,81
1,5,8,181399.0,53,20,14,3,2,7,12,5.0,24,21,67
1,132,7,268449.0,60,20,27,29,120,109,133,8.0,22,24,140
1,100,7,256615.0,134,21,25,22,90,78,102,5.0,8,24,1
1,108,3,268342.0,81,17,36,24,97,103,116,10.0,30,14,77
1,2,7,173681.0,22,15,47,1,9,148,2,,16,2,144
1,40,7,209932.0,150,17,31,10,31,24,40,2.0,12,22,48
1,42,6,218528.0,7,20,68,13,32,20,41,2.0,30,14,44
1,122,7,268473.0,141,16,55,27,134,148,90,,22,11,74
1,102,7,256617.0,50,20,44,22,92,80,104,7.0,20,24,15
1,65,7,247329.0,71,20,53,16,58,51,66,8.0,23,24,53
1,61,7,247323.0,70,19,11,16,54,47,62,3.0,20,24,21
1,133,7,268450.0,144,20,34,29,111,110,134,9.0,22,24,66
1,37,5,210084.0,12,10,19,12,127,148,16,,5,8,52
1,92,7,256625.0,39,20,59,22,83,86,94,14.0,19,24,59
1,74,3,256336.0,84,20,68,17,66,72,76,17.0,30,14,29
1,12,7,,16,17,26,4,8,4,18,3.0,7,23,128
1,131,7,268447.0,18,20,27,29,119,108,132,6.0,22,24,93
1,101,7,256616.0,107,17,36,22,91,79,103,6.0,20,24,35
1,35,8,210000.0,63,9,17,12,73,148,10,,4,7,47
1,16,7,181853.0,109,20,69,6,11,15,22,15.0,28,25,61
1,164,7,290110.0,124,20,68,38,152,145,158,3.0,30,14,97
1,135,4,279090.0,52,19,53,30,124,124,135,4.0,9,14,125
1,21,7,181842.0,146,19,6,6,15,11,27,4.0,14,25,4
1,6,8,181400.0,48,20,67,3,3,8,13,6.0,24,21,46
1,141,7,281361.0,102,14,68,32,154,148,122,,30,15,5
1,163,7,290115.0,123,12,68,37,158,148,140,,30,15,16
1,124,7,268453.0,120,20,56,29,113,112,125,12.0,22,24,92
1,166,7,,96,21,41,2,158,1,0,2.0,16,14,19
1,41,7,209925.0,24,12,46,12,74,148,20,,15,13,16
1,89,7,256622.0,10,17,53,22,80,83,91,11.0,19,24,129
1,129,7,268461.0,78,20,56,29,118,117,130,20.0,22,24,100
1,134,4,281082.0,26,2,53,32,149,144,107,,20,15,107
1,128,7,268460.0,132,19,35,29,117,116,129,19.0,22,24,116
1,103,7,256618.0,125,21,20,22,93,81,105,8.0,20,24,57
1,15,7,181852.0,34,20,64,6,10,14,21,14.0,28,25,66
1,75,3,256337.0,99,20,68,17,67,73,77,18.0,30,20,73
1,96,7,256630.0,119,20,46,22,87,90,98,18.0,20,24,39
1,130,7,268462.0,65,21,30,29,158,118,131,21.0,22,24,74
1,157,0,279326.0,9,17,32,35,146,131,152,4.0,22,24,117
0,1,2,,59,1,62,0,0,148,1,,26,14,55
1,154,7,279342.0,77,19,75,35,144,142,149,20.0,27,24,51
1,106,1,268436.0,69,4,55,27,123,99,71,,22,0,70
1,47,3,247295.0,61,20,61,14,41,41,49,16.0,20,18,138
1,107,4,268287.0,129,20,74,23,94,97,108,5.0,30,14,40
1,77,3,256339.0,67,18,76,17,69,75,79,20.0,30,20,105
1,31,3,210015.0,135,20,31,7,22,33,33,14.0,7,14,31
1,112,3,268350.0,115,20,68,24,101,107,112,17.0,6,14,91
1,27,3,210011.0,114,21,76,7,18,29,37,10.0,7,14,2
1,95,7,256629.0,140,20,53,22,86,89,97,17.0,20,24,61
1,13,7,,41,20,19,4,158,5,19,6.0,20,23,13
1,120,7,269595.0,6,20,1,28,108,95,120,3.0,1,14,75
1,116,7,268312.0,54,11,12,27,128,148,86,,3,15,13
1,38,5,210082.0,88,20,19,9,28,37,39,4.0,5,14,85
1,34,3,210005.0,113,17,52,7,25,28,36,5.0,7,14,32
1,159,7,279330.0,40,20,53,35,148,133,154,8.0,27,24,139
1,43,6,218529.0,62,18,66,13,33,21,42,3.0,30,14,60
1,55,7,247334.0,60,20,23,16,47,54,57,12.0,23,24,9
1,105,4,268475.0,15,3,68,27,122,120,70,,30,15,33
1,30,3,210014.0,99,18,31,7,21,32,32,13.0,7,14,90
1,125,7,268454.0,110,21,35,29,114,113,126,13.0,22,24,83
1,0,7,,22,17,47,2,156,0,160,1.0,16,17,22
1,84,7,255369.0,6,21,2,21,75,59,87,2.0,17,14,6
1,82,3,256328.0,36,20,5,17,60,66,84,9.0,30,14,119
1,109,3,268343.0,1,20,29,24,98,104,109,11.0,6,14,30
1,155,7,279343.0,149,21,32,35,158,143,151,21.0,27,24,74
1,117,7,268309.0,147,20,10,25,104,98,118,5.0,22,14,76
1,143,7,281356.0,4,21,72,34,132,122,141,3.0,30,14,3
1,52,7,247345.0,57,16,53,15,78,148,44,,20,9,74
1,25,4,221346.0,75,5,45,11,37,35,8,,13,15,127
1,167,7,210034.0,121,0,55,12,59,34,6,,22,15,108
1,22,7,181844.0,56,21,48,6,16,12,28,6.0,25,25,106
1,99,7,256614.0,43,21,20,22,89,77,101,4.0,21,24,80
1,66,7,247330.0,28,21,51,16,45,52,67,9.0,23,24,0
1,53,7,247321.0,57,19,53,16,52,45,160,1.0,20,24,13
1,152,7,279339.0,108,20,53,35,141,140,147,17.0,27,24,9
1,138,7,279121.0,145,11,29,33,151,148,117,,6,15,37
1,64,7,247328.0,145,19,45,16,57,50,65,7.0,23,24,136
1,23,7,181845.0,103,21,73,6,17,13,29,7.0,25,25,98
1,18,7,181855.0,51,19,45,6,13,17,24,17.0,28,25,87
1,73,3,256334.0,37,20,63,17,65,71,75,15.0,30,20,10
1,148,7,279334.0,151,21,30,35,137,136,143,12.0,27,24,141
1,115,8,268340.0,0,20,8,24,96,102,115,9.0,30,14,27
1,20,7,181859.0,5,21,18,6,158,19,26,21.0,28,25,74
1,104,4,270594.0,26,2,19,26,121,119,69,,5,15,109
1,49,3,247299.0,73,23,61,14,43,43,51,20.0,30,18,95
1,151,7,279338.0,68,19,29,35,140,139,146,16.0,27,24,17
1,110,3,268344.0,21,20,70,24,99,105,110,12.0,6,14,8
1,158,7,279327.0,79,17,32,35,147,132,153,5.0,22,24,23
1,142,7,281354.0,102,20,68,34,131,121,160,1.0,30,14,112
1,76,3,256338.0,83,21,39,17,68,74,78,19.0,30,20,69
1,69,3,256329.0,1,21,38,17,61,67,85,10.0,30,14,130
1,86,7,255371.0,32,18,66,21,77,61,89,4.0,29,14,7
1,68,3,256343.0,20,7,68,20,95,148,46,,30,1,89
1,156,7,279325.0,131,20,55,35,145,130,150,3.0,22,24,11
1,165,7,290112.0,8,17,3,38,153,146,159,5.0,30,14,134
1,136,4,279091.0,80,20,53,30,125,125,136,5.0,20,14,114
1,72,3,256333.0,25,17,4,17,64,70,74,14.0,30,14,102
1,44,6,218530.0,3,21,15,13,34,22,43,4.0,30,14,118
1,63,7,247327.0,17,20,24,16,56,49,64,6.0,23,24,41
1,11,7,,148,19,31,4,7,3,17,2.0,7,23,20
1,71,3,256332.0,90,21,38,17,63,69,73,13.0,30,14,26
1,121,7,269596.0,93,21,40,28,109,96,121,4.0,1,14,124
1,161,8,290160.0,100,8,10,37,158,148,161,,2,16,133
1,113,3,268338.0,136,20,68,24,102,100,113,7.0,30,14,95
1,32,1,210003.0,19,17,31,7,23,26,34,3.0,7,18,145
1,118,7,269593.0,66,20,55,28,106,93,160,1.0,22,14,121
1,140,7,279117.0,127,19,29,31,130,128,139,4.0,6,14,113
1,26,3,210024.0,35,7,31,12,38,148,9,,4,6,89
1,81,3,256327.0,95,20,16,17,72,65,83,8.0,30,14,64
