SportType,HostCountry,RaceDescription,RaceImage,OfficialWebsite,PartOfSeries,MainTemplate,EditionNumber,CommonsCategory,RaceInstance,MainCategory,FreebaseId,RaceWinner
1,2,0,1,6,2,0,97.0,1,0,2,5,2
1,4,7,3,7,6,5,,6,1,9,0,3
1,1,8,8,8,8,4,,3,1,8,1,3
0,0,3,2,0,3,3,,0,2,7,6,3
1,3,5,2,5,6,2,13.0,2,4,6,7,1
1,2,0,1,6,2,0,97.0,1,0,2,5,2
1,4,2,0,1,1,0,66.0,8,5,1,3,0
1,1,8,8,8,8,4,,3,1,8,1,3
1,1,1,4,3,2,1,101.0,4,3,3,4,4
1,4,7,3,7,6,5,,6,1,9,0,3
1,4,6,6,2,0,0,65.0,7,5,0,2,4
1,4,6,7,2,4,0,71.0,9,5,4,7,2
1,1,1,4,3,2,1,101.0,4,3,3,4,4
1,4,7,3,7,6,5,,6,1,9,0,3
1,1,4,5,4,5,0,104.0,5,3,5,7,0
1,4,2,0,1,1,0,66.0,8,5,1,3,0
1,3,5,2,0,7,0,5.0,2,6,10,7,3
1,3,5,2,0,7,0,6.0,2,6,10,7,3
1,1,8,8,8,8,4,,3,1,8,1,3
1,1,4,5,4,5,0,104.0,5,3,5,7,0
1,3,5,2,0,7,0,5.0,2,6,10,7,3
1,1,1,4,3,2,1,101.0,4,3,3,4,4
1,3,5,2,5,6,2,13.0,2,4,6,7,1
1,3,5,2,0,7,0,6.0,2,6,10,7,3
1,4,6,7,2,4,0,71.0,9,5,4,7,2
