SportType,HostCountry,GeneralClassificationWinner,ProCyclingStatsRaceId,EditionNumber,StartLocation,GoogleKnowledgeGraphId,ParticipantCount,RaceWinner,EndLocation
1,3,1,163768.0,71.0,4,2,1,4,0
1,0,5,124228.0,101.0,1,7,1,7,2
1,0,2,,,3,7,2,5,1
1,3,1,163768.0,71.0,4,2,1,4,0
1,0,4,247301.0,107.0,2,6,0,2,2
1,0,0,171088.0,104.0,0,0,1,1,2
1,3,1,163768.0,71.0,4,2,1,4,0
1,3,2,,,3,7,2,5,1
0,1,2,,,3,7,2,5,1
1,3,2,,,3,7,2,5,1
0,1,2,,,3,7,2,5,1
1,0,0,171088.0,104.0,0,0,1,1,2
1,0,5,124228.0,101.0,1,7,1,7,2
1,3,2,,,3,7,2,5,1
1,2,2,,13.0,3,1,2,3,1
1,2,2,,15.0,3,4,2,0,1
1,2,2,,5.0,3,5,2,5,1
1,0,2,,,3,7,2,5,1
1,0,4,247301.0,107.0,2,6,0,2,2
1,0,2,,,3,7,2,5,1
1,0,0,171088.0,104.0,0,0,1,1,2
1,3,3,210068.0,74.0,5,3,2,6,0
1,2,2,,5.0,3,5,2,5,1
1,2,2,,13.0,3,1,2,3,1
