GeneClassification,GenomicEndPosition,GeneDbId,GenomicStartPosition,StrandOrientation
0,373963,27,372953,1
0,257891,49,256881,1
0,273888,85,272725,1
1,220225,38,218687,0
0,587198,70,585768,1
0,2377,103,1157,1
0,1381990,68,1381346,1
0,360740,118,359730,1
0,340298,29,339360,0
1,3259,101,2075,1
1,2882,66,2106,0
1,441837,112,440959,1
0,431585,89,430644,0
1,604409,96,603339,1
0,14514,80,13402,1
0,762518,23,761364,0
1,217615,120,216422,0
0,553985,24,552546,0
0,2612,3,1824,0
1,690506,67,689499,0
0,245389,40,244757,0
0,86161,13,85631,1
0,547086,18,545914,1
0,1253659,44,1252076,1
0,705562,22,704282,0
0,272650,50,271751,1
1,117411,119,116032,0
0,449733,1,448939,0
0,626457,20,625132,0
0,368482,28,367493,1
0,507159,92,506107,1
0,575815,95,574721,1
1,531481,17,530381,1
1,669822,43,668569,1
0,307709,76,306750,0
1,267266,51,266289,1
0,976612,62,975470,0
0,502004,91,500910,1
0,29669,79,28731,0
1,20974,81,19538,1
0,625575,98,624448,1
0,1127958,106,1127086,1
0,1798125,75,1796725,0
1,463276,60,461756,0
0,437122,86,436220,0
1,2899,108,1952,0
0,1973004,47,1972075,1
0,514925,15,513729,1
0,400165,2,399113,0
0,1027129,100,1026155,1
0,315559,117,315128,1
0,514203,113,514066,0
0,747400,61,746270,1
1,1905561,48,1904098,1
0,229688,54,228501,1
0,450224,88,449385,1
0,263994,8,262717,0
1,283947,39,282400,0
0,444750,87,443839,1
0,1855873,26,1854422,1
0,518865,114,517981,0
0,549818,99,548385,1
1,347997,35,346477,0
0,28060,82,27086,1
1,714,41,1,1
1,924009,57,922486,0
1,14110,52,13145,1
0,21643,53,20600,0
0,1564652,0,1564452,1
0,622717,36,621833,0
0,496985,115,495984,1
0,16755,12,15559,1
0,17420,33,16842,0
0,284733,111,283762,0
0,218013,32,216889,0
0,496221,90,495283,1
1,427442,58,425919,0
0,1562,19,393,1
0,514924,63,514307,0
0,19265,77,18156,1
0,1080003,105,1078741,1
0,67859,14,66546,0
0,523271,16,522144,1
0,318674,64,317781,1
0,2003523,74,2002453,0
0,235050,55,234100,1
0,1862763,25,1861267,1
0,617521,97,616619,1
0,2058209,7,2056686,1
1,64367,65,62844,1
0,25674,102,24613,0
0,493306,84,491759,0
0,317984,107,317091,0
0,1698039,4,1696570,1
0,515623,93,514700,1
0,579257,42,578298,1
0,1593162,45,1591861,0
0,212824,56,211883,1
0,1556126,73,1554660,1
0,220328,30,219990,1
0,437723,34,436782,1
0,3154,83,2129,0
0,48657,10,47974,1
0,489099,94,488107,1
0,24337,78,23213,0
1,546194,71,544968,1
0,288343,116,287549,1
0,9331,11,7841,0
1,1706820,5,1705558,1
0,1056372,104,1055425,1
0,1505678,21,1504257,0
0,1263503,72,1262121,0
0,213667,37,212129,0
1,381686,69,380409,1
0,8433,109,7429,0
0,212508,31,211570,1
1,400752,59,399232,0
0,1977944,46,1976967,0
0,197165,9,196203,1
0,319749,110,318496,0
0,1679690,6,1678407,0
