Height_Cm,Profile_Image,Birth_Date,Cq_Ranking_Male_Cyclist_Id,First_Name,First_Cycling_Rider_Id,Commons_Category,Birth_Place,Pro_Cycling_Stats_Cyclist_Id,Uci_Rider_Id,Cycling_Archives_Cyclist_Id
1,0,8,17893,12,6242,14,2,134456,553301.0,65130
4,4,11,24189,1,34011,1,4,187231,79522.0,82930
8,7,0,1993,6,397,7,6,140340,,6265
10,10,10,21261,10,21855,11,3,174179,78098.0,70986
9,9,6,21163,9,18241,10,12,174487,87485.0,84304
3,6,13,25740,4,38195,5,7,196424,112082.0,115868
1,3,1,3758,3,580,4,9,140938,32004.0,20208
5,5,5,19070,2,7639,2,1,137769,79921.0,71836
6,11,14,27702,8,65024,9,10,202330,,122234
3,13,3,3366,12,568,13,8,140270,30329.0,15181
7,8,12,23427,7,27289,8,14,177662,97741.0,95079
5,2,2,4898,2,7760,3,13,140156,30344.0,17293
0,12,9,21342,11,23097,12,5,178184,91656.0,66785
4,1,7,19901,0,20471,0,0,135014,75277.0,61331
2,14,4,13540,5,2340,6,11,138301,513545.0,26814
