Weight_Kg,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Description,Birth_Place,Uci_Rider_Id,Birth_Date,Sports_Team,Last_Name,First_Name,Citizenship_Country,Cycling_Archives_Cyclist_Id,Cyclist_Label,First_Cycling_Rider_Id,Height_Cm,Freebase_Id,Sport_Country
3,1,,19901,0,,135014,5,0,75277.0,7,9,8,0,5,61331,0,20471,176.0,1,4
5,5,39238.0,13078,3,10240.0,140385,8,6,284170.0,6,8,0,3,5,22432,3,780,182.0,7,3
0,0,49682.0,17893,10,39580.0,134456,1,1,553301.0,8,7,9,9,8,65130,10,6242,172.0,8,7
1,3,6036.0,3758,5,,140938,6,5,32004.0,1,3,3,5,5,20208,5,580,172.0,4,3
7,6,6978.0,4377,4,7658.0,140865,7,7,198213.0,4,5,4,4,6,18964,4,31,181.0,3,5
3,4,62255.0,24189,1,5751.0,187231,3,2,79522.0,9,1,2,1,3,82930,1,34011,176.0,9,4
2,9,3083.0,3366,9,24074.0,140270,0,4,30329.0,3,2,1,9,0,15181,9,568,175.0,6,4
2,2,19249.0,4898,2,,140156,2,9,30344.0,2,0,6,2,2,17293,2,7760,178.0,0,1
4,8,61536.0,23427,8,10153.0,177662,4,10,97741.0,10,6,5,8,4,95079,8,27289,181.0,9,2
6,7,14959.0,1993,7,,140340,10,3,,0,5,7,7,1,6265,7,397,184.0,2,0
3,10,47787.0,13540,6,,138301,9,8,513545.0,5,4,5,6,7,26814,6,2340,173.0,5,6
