Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
0,0,1097,13,13,7,56,1
1,0,30308,53,53,6,10,27168
1,0,56857,122,122,2,19,54575
0,0,763,10,10,1,25,5
0,0,703218,19,19,8,27,701626
1,0,5286,82,82,2,30,4336
1,0,93861,100,100,2,51,92599
0,0,716461,49,49,6,52,713525
0,0,581462,112,112,5,24,578019
0,0,212280,148,148,8,32,211864
0,0,38881,133,133,2,60,36347
0,0,297517,81,81,6,88,294389
1,0,81368,21,21,2,84,80808
1,0,720,141,141,8,28,1
0,0,666404,22,22,8,26,665952
1,0,30302,0,0,2,87,29316
1,0,5807,131,131,2,35,3882
1,0,118859,98,98,2,36,115842
0,0,9728,42,42,6,41,6585
0,0,12029,47,47,8,89,11478
0,0,315827,126,126,6,80,312663
1,0,4234,78,78,2,46,3116
0,0,99546,110,110,2,28,97369
1,0,32123,59,59,2,52,29739
0,0,929052,124,124,2,87,925927
1,0,4123,90,90,5,1,1628
0,0,116617,56,56,6,45,113450
0,0,8113,65,65,2,91,5945
1,0,4229,138,138,6,53,1371
1,0,33235,7,7,8,79,30782
0,0,1206,16,16,8,88,1
0,0,789292,97,97,2,10,788021
1,0,53098,127,127,2,24,49949
1,0,99066,113,113,2,83,97825
0,0,318588,153,153,6,44,315535
0,0,1289,11,11,8,92,3
1,0,546,143,143,8,64,1
1,0,383983,5,5,2,61,383429
0,0,213521,149,149,2,52,212382
1,0,57661,44,44,2,58,55166
1,0,74545,151,151,2,69,72053
0,0,8781,28,28,2,50,5653
0,0,599,1,1,7,33,3
1,0,81855,146,146,6,14,78709
1,0,341238,29,29,2,74,338959
0,0,227216,79,79,8,70,225387
0,0,5181,105,105,2,89,4192
1,0,99079,54,54,2,3,97820
1,0,35758,6,6,7,79,35156
1,0,46653,88,88,2,17,44743
0,0,521345,25,25,6,57,518232
1,1,54155,58,58,6,39,50976
1,0,96937,121,121,2,63,96035
0,0,1771,20,20,8,17,5
0,0,9252,128,128,8,81,7177
1,0,1005,18,18,8,65,1
0,0,573456,48,48,2,32,572590
0,0,632799,51,51,6,70,629461
0,0,1017672,50,50,2,11,1015075
1,0,1291,14,14,8,93,11
1,0,55385,130,130,6,55,52233
0,0,6751,106,106,2,91,5450
1,0,3425,119,119,2,68,855
1,0,68231,99,99,6,75,65097
0,0,750258,9,9,7,71,748432
1,0,153763,103,103,5,54,151067
0,0,307836,152,152,8,44,304756
1,0,13944,63,63,5,0,11467
1,0,43791,72,72,6,79,40663
0,0,100486,55,55,2,47,98009
1,0,1126783,132,132,5,13,1124243
1,0,4790,125,125,6,20,1644
0,0,304,129,129,7,82,2
1,0,30678,115,115,7,43,29548
0,0,642289,108,108,6,50,639173
1,0,40231,111,111,7,15,38468
1,0,704,15,15,3,16,18
0,0,701522,70,70,2,35,698580
1,0,33620,87,87,6,69,30504
0,0,673825,84,84,2,74,670661
0,0,782421,64,64,2,74,781378
0,0,100844,35,35,7,72,99663
1,0,506465,73,73,2,42,504186
0,0,559272,83,83,6,55,556483
1,0,4270,38,38,5,85,1799
0,0,673601,76,76,2,81,670680
0,0,429068,85,85,6,86,425925
1,0,484,140,140,8,61,2
1,0,7065,69,69,2,75,6076
0,0,506906,101,101,0,88,503742
1,0,28960,2,2,2,87,27503
1,0,1651,95,95,2,14,830
0,0,302755,61,61,8,44,301802
0,0,1330,12,12,8,66,2
0,0,492209,24,24,2,83,489726
0,0,704396,17,17,8,47,703461
1,0,7840,68,68,2,8,6842
1,0,24175,39,39,6,18,21059
0,0,1482,107,107,2,45,1
0,0,3560,33,33,2,5,861
1,0,40333,120,120,6,23,37199
1,0,6322,46,46,6,18,3197
0,0,694715,135,135,2,35,691713
0,0,201983,147,147,2,52,197949
0,0,232598,155,155,2,32,230508
1,0,52289,86,86,6,9,48939
0,0,796646,62,62,2,10,794730
0,0,762911,104,104,2,35,760413
0,0,1815,94,94,2,53,1
1,0,11460,144,144,7,72,9091
0,0,767496,96,96,2,10,766105
1,0,341160,156,156,2,87,338881
0,0,135805,157,157,6,29,132644
0,0,326955,34,34,6,10,323962
1,0,2735,80,80,2,61,246
1,0,4884,52,52,2,73,1753
0,0,562767,60,60,6,58,559651
0,0,720169,30,30,6,51,717008
1,0,11360,92,92,6,45,8184
0,0,1011,8,8,8,39,1
0,0,7732,66,66,6,38,4595
0,0,696,116,116,7,81,1
1,0,552643,118,118,2,29,550361
0,0,225838,93,93,6,34,222980
1,0,5115,57,57,5,38,2545
0,0,296392,26,26,6,52,293633
1,0,36371,142,142,2,59,34218
0,0,220362,117,117,5,10,217744
0,0,532553,154,154,2,6,531252
0,0,772874,150,150,6,82,769737
0,0,638513,74,74,2,43,636579
0,0,685611,71,71,2,31,683131
1,0,40751,43,43,2,67,38379
1,0,5438,139,139,7,72,3198
1,0,8449,123,123,6,76,5315
1,0,37772,136,136,6,62,34755
0,0,11809,40,40,2,78,9641
0,0,8362,134,134,2,90,5834
1,0,96112,114,114,6,13,92984
1,0,6579,67,67,2,8,5257
1,0,16287,37,37,2,12,13156
1,0,371763,4,4,9,40,371065
1,0,3141,91,91,7,33,982
1,0,5564,41,41,2,36,2433
0,0,567659,27,27,1,18,567123
0,0,634208,32,32,8,2,633441
1,0,34862,89,89,1,7,34431
0,0,742903,102,102,2,77,741965
1,0,11203,45,45,2,58,8075
0,0,12199,145,145,2,37,10430
0,0,631461,75,75,2,43,630235
1,0,2165,137,137,7,22,1
0,0,676357,31,31,2,94,675068
1,0,46094,77,77,5,62,43491
1,0,301337,23,23,2,4,298548
1,0,48145,3,3,4,21,47690
1,0,11508,109,109,5,48,8902
0,0,1015710,36,36,6,49,1014604
