GENDER,SIBLING_NAME,FAMILY_SURNAME,BIRTH_DATE,BIOGRAPHICAL_NOTE,FIRST_NAME,DEATH_DATE,FULL_NAME,GOOGLE_KNOWLEDGE_GRAPH_ID,MOTHER_NAME,POSTHUMOUS_TITLE,VIETNAMESE_MIDDLE_NAME
1,0,0,30,11,3,6,30,17,17,75,1
0,0,1,79,11,4,44,12,53,17,28,0
1,0,0,69,11,3,53,37,31,15,3,1
1,0,0,27,11,3,26,32,37,27,59,1
0,0,1,41,11,4,75,76,62,10,79,0
0,0,1,46,11,4,80,71,42,3,47,0
0,0,1,84,11,4,74,75,41,15,38,0
1,0,1,40,11,4,82,46,10,2,64,0
1,0,0,67,10,3,16,16,47,9,55,1
1,0,1,0,9,4,86,1,13,15,47,0
1,2,0,55,11,3,17,26,34,3,23,1
1,0,0,73,11,3,64,57,39,0,4,1
1,0,0,45,11,3,33,40,22,15,71,1
1,0,0,56,11,3,36,29,76,8,78,1
1,0,1,59,11,4,43,42,2,13,25,0
0,0,1,70,11,4,79,10,51,15,47,0
0,0,1,38,13,4,77,77,81,7,35,0
0,0,1,6,11,4,2,83,71,14,66,0
0,0,0,14,11,4,56,61,73,17,30,1
1,0,0,17,4,3,61,45,27,23,15,1
1,0,0,12,3,3,23,41,6,6,74,1
1,0,1,81,11,4,76,15,18,10,69,0
0,0,1,18,11,4,11,84,58,1,60,0
1,0,0,80,11,3,52,27,19,15,72,1
0,0,1,42,11,4,46,82,74,9,43,0
0,0,0,9,13,6,63,14,83,6,31,1
1,0,0,51,11,3,41,51,35,9,17,1
0,0,1,66,11,4,27,7,85,0,61,0
0,0,1,54,11,4,24,5,69,25,45,0
1,0,0,48,11,3,14,19,33,9,68,1
0,0,1,4,11,4,0,59,26,14,0,0
0,0,1,11,11,4,67,8,49,1,41,0
0,0,1,71,11,4,28,64,54,13,70,0
1,0,0,39,11,3,12,48,4,1,22,1
1,1,0,24,11,3,39,47,84,22,1,1
0,0,1,32,11,4,65,72,52,8,47,0
1,0,0,49,7,3,49,35,8,3,11,1
1,0,0,63,11,3,78,44,38,18,47,1
0,0,1,75,11,4,85,60,63,17,47,0
1,0,0,36,11,3,47,21,20,11,9,1
1,1,0,15,15,3,72,43,77,4,65,1
0,0,1,7,11,4,3,66,1,5,24,0
1,0,0,2,0,3,45,31,21,22,73,1
0,0,1,33,11,4,25,2,72,21,58,0
0,0,1,28,12,4,66,85,80,7,18,0
0,0,0,5,11,1,35,11,59,14,53,1
0,0,1,58,11,4,14,62,68,17,54,0
0,0,1,31,11,4,20,69,40,3,46,0
1,0,0,37,11,3,30,25,25,5,76,1
1,0,0,22,6,3,22,52,28,15,49,1
0,0,1,52,11,4,8,3,43,20,47,0
1,0,0,34,11,3,86,22,7,15,47,1
0,0,1,66,11,4,58,65,60,13,39,0
1,0,1,74,11,4,59,23,75,26,5,0
0,0,1,19,11,4,73,87,45,11,40,0
0,0,1,25,11,4,55,4,85,24,36,0
1,0,0,44,11,3,71,49,30,12,14,1
1,0,0,53,11,3,37,34,11,13,20,1
1,0,0,83,11,3,19,33,32,17,47,1
0,0,1,64,11,4,21,80,65,9,44,0
1,0,0,47,11,3,54,20,14,26,12,1
0,0,1,65,11,4,51,70,85,17,42,0
1,0,0,78,11,3,48,36,12,9,8,1
0,0,1,20,11,4,38,86,70,5,48,0
1,0,0,62,11,3,69,56,24,8,6,1
1,0,0,60,11,3,70,54,29,26,2,1
0,0,1,72,11,4,15,0,66,9,62,0
1,0,0,3,1,3,1,24,15,14,51,1
1,0,0,61,11,3,68,53,5,14,10,1
0,0,1,57,11,4,18,68,67,9,50,0
1,0,0,13,16,3,42,39,78,7,63,1
1,0,0,26,11,0,9,18,23,11,77,1
1,0,0,23,11,3,4,50,16,2,19,1
1,1,0,16,8,3,13,16,79,2,16,1
1,0,0,35,11,3,29,28,3,10,26,1
0,0,1,82,11,4,83,78,64,0,32,0
0,0,1,43,11,4,34,63,57,25,56,0
0,0,1,41,11,4,7,81,61,17,57,0
0,0,1,68,11,4,84,6,85,17,37,0
0,0,1,29,11,4,81,67,48,15,47,0
0,0,0,50,11,2,62,13,46,26,33,1
1,0,0,8,2,3,50,38,0,11,7,1
1,0,0,76,11,3,60,17,9,10,13,1
0,0,1,85,11,4,32,74,50,15,29,0
0,0,1,10,11,4,31,79,56,19,52,0
1,0,0,1,14,5,57,58,82,16,67,1
0,0,1,77,11,4,40,9,55,13,34,0
1,0,1,21,5,4,10,55,36,15,27,0
0,0,1,31,11,4,5,73,44,4,21,0
