GENDER,SIBLING_NAME,FAMILY_SURNAME,BIRTH_DATE,BIOGRAPHICAL_NOTE,FIRST_NAME,DEATH_DATE,GOOGLE_KNOWLEDGE_GRAPH_ID,MOTHER_NAME,POSTHUMOUS_TITLE
1,0,0,31,11,3,7,17,17,76
0,0,0,85,11,5,36,64,17,61
1,0,0,69,11,3,54,31,15,3
1,0,0,28,11,3,26,37,27,58
0,0,1,68,11,4,84,85,17,37
0,0,1,30,11,4,81,48,15,47
0,0,1,83,11,4,75,41,15,38
1,0,1,41,11,4,82,10,2,64
1,0,0,67,10,3,17,47,9,54
1,0,1,0,9,4,86,13,15,47
1,2,0,55,11,3,18,34,3,24
1,0,0,73,11,3,65,39,0,4
1,0,0,46,11,3,34,22,15,71
1,0,0,56,11,3,38,76,8,79
1,0,1,59,11,4,44,2,13,26
0,0,1,70,11,4,80,51,15,47
0,0,1,39,13,4,78,81,7,35
0,0,1,6,11,4,2,71,14,66
0,0,0,14,11,4,57,73,17,31
1,0,0,17,4,3,62,27,23,15
1,0,0,12,3,3,23,6,6,75
1,0,1,80,11,4,77,18,10,69
0,0,1,18,11,4,12,57,1,59
1,0,0,79,11,3,53,19,15,73
0,0,1,43,11,4,47,74,9,43
0,0,0,9,13,7,64,83,6,32
1,0,0,51,11,3,42,35,9,17
0,0,1,66,11,4,27,85,0,60
0,0,1,44,11,4,35,56,25,55
1,0,0,48,11,3,15,33,9,68
0,0,1,4,11,4,0,26,14,0
0,0,1,78,11,4,45,53,17,29
0,0,1,64,11,4,21,66,9,44
1,0,0,40,11,3,13,4,1,23
1,1,0,24,11,3,41,84,22,1
0,0,1,52,11,4,9,42,20,47
1,0,0,49,7,3,50,8,3,11
1,0,0,63,11,3,79,38,18,47
0,0,1,75,11,4,85,63,17,47
1,0,0,37,11,3,48,20,11,9
1,1,0,15,15,3,73,77,4,65
0,0,1,7,11,4,4,1,5,25
1,0,0,2,0,3,46,21,22,74
0,0,1,32,11,4,6,44,4,22
0,0,1,29,12,4,67,80,7,18
0,0,0,5,11,1,37,59,14,52
0,0,1,57,11,4,29,43,15,72
0,0,1,11,11,4,68,49,1,41
1,0,0,38,11,3,31,25,5,77
1,0,0,22,6,3,22,28,15,49
0,0,1,42,11,4,76,62,10,80
1,0,0,35,11,3,86,7,15,47
0,0,1,66,11,4,59,60,13,39
1,0,1,74,11,4,60,75,26,5
0,0,1,19,11,4,74,45,11,40
0,0,1,25,11,4,56,85,24,36
1,0,0,45,11,3,72,30,12,14
1,0,0,53,11,3,39,11,13,20
1,0,0,82,11,3,19,32,17,47
0,0,1,58,11,4,15,68,17,53
1,0,0,47,11,3,55,14,26,12
0,0,1,65,11,4,52,85,17,42
1,0,0,77,11,3,49,12,9,8
0,0,1,20,11,4,40,70,5,48
1,0,0,62,11,3,70,24,8,6
1,0,0,60,11,3,71,29,26,2
0,0,1,71,11,4,28,54,13,70
1,0,0,3,1,3,1,15,14,50
1,0,0,61,11,3,69,5,14,10
0,0,1,54,11,4,24,69,25,45
1,0,0,13,16,3,43,78,7,63
1,0,0,27,11,0,10,23,11,78
1,0,0,23,11,3,5,16,2,19
1,1,0,16,8,3,14,79,2,16
1,0,0,36,11,3,30,3,10,27
0,0,1,32,11,4,20,40,3,46
0,0,1,34,11,4,25,72,21,57
0,0,1,42,11,4,8,61,17,56
0,0,1,81,11,4,83,65,0,33
0,0,1,33,11,4,66,52,8,47
0,0,0,50,11,2,63,46,26,34
1,0,0,8,2,3,51,0,11,7
1,0,0,76,11,3,61,9,10,13
0,0,1,84,11,4,33,50,15,30
0,0,1,10,11,4,32,55,19,51
1,0,0,1,14,6,58,82,16,67
0,0,1,72,11,4,16,67,9,62
1,0,1,21,5,4,11,36,15,28
0,0,1,26,11,4,3,58,26,21
