ViafId,GndId,OfficialWebsite,FreebaseId,LibraryOfCongressAuthorityId,CommonsCategory,IsniIdentifier,WorldCatIdentitiesIdSuperseded,IdRefId,MainCategory,NationalLibraryOfIsraelJ9uId,QuoraTopicId
145023311.0,36,121,72,17,42,121532557.0,20,27918459.0,70,9.870075839249052e+17,31
157695433.0,100,78,151,71,118,121662407.0,0,30575923.0,106,9.870072693864051e+17,91
126344972.0,54,19,79,155,16,121085830.0,144,,139,,15
128638237.0,79,75,5,9,47,123226764.0,9,28090624.0,42,9.870072639313052e+17,35
136173993.0,85,155,15,123,124,119565704.0,117,33936056.0,117,9.870072688459052e+17,100
130706776.0,59,104,98,59,37,121576314.0,59,,34,9.870072629050052e+17,46
136918390.0,68,77,4,68,116,419368470.0,68,30052726.0,104,9.870072886449052e+17,46
142523323.0,39,45,93,19,67,112766626.0,22,,59,9.870074567575052e+17,48
148354654.0,46,116,19,98,62,121806431.0,96,26415194.0,56,9.870072659826052e+17,45
124127252.0,107,110,148,58,49,459033130.0,58,32150547.0,45,9.870072646220051e+17,38
159500576.0,113,23,157,111,21,107110323.0,0,,139,9.870073328528051e+17,46
248312936.0,106,52,6,0,41,,153,,38,,30
1.5114478298500265e+20,113,38,1,133,48,,128,,43,,46
9.146095217700369e+18,113,65,156,5,64,,5,,108,,46
169160101.0,96,99,33,88,19,,85,33520348.0,20,,17
169160101.0,96,99,33,88,19,,85,33520348.0,20,,17
146041435.0,28,133,108,55,112,406480244.0,55,30820758.0,96,,83
125360968.0,44,113,109,159,90,117813962.0,148,,77,,65
133395389.0,8,43,100,96,59,122894349.0,94,118267493.0,52,9.870076050488051e+17,46
135593396.0,103,143,41,130,134,121632777.0,93,26431025.0,101,9.870072693789052e+17,46
121971354.0,53,138,59,7,58,120970141.0,7,30091896.0,110,9.870075262255052e+17,94
168107621.0,113,42,153,112,51,123179814.0,0,,47,9.870075993597052e+17,46
135801795.0,113,46,155,109,68,123044186.0,125,34602089.0,60,9.870076042641052e+17,49
141128538.0,104,103,62,63,36,109436976.0,63,,33,9.870074331828051e+17,46
135801795.0,113,46,155,109,68,123044186.0,125,34602089.0,60,9.870076042641052e+17,49
140720861.0,16,105,20,74,40,,129,,37,9.870075281002052e+17,29
159033739.0,57,130,99,146,135,121947787.0,10,26583836.0,15,9.870074148476051e+17,11
137991167.0,74,125,115,28,121,,31,,114,9.870072691913052e+17,98
284976748.0,25,140,2,45,60,121590001.0,47,27627063.0,53,9.870074406488051e+17,46
133395389.0,8,43,100,96,59,122894349.0,94,118267493.0,52,9.870076050488051e+17,46
146875214.0,92,49,132,151,64,121797942.0,136,161183972.0,139,,46
159121440.0,43,94,12,114,78,,109,,67,9.870074618060051e+17,55
