SportType,PreviousEvent,EventDate,HostCountry,EventDescription,EventType,EventName,EditionNumber,StartLocation,NextEvent,RaceWinner,EndLocation
0,40,51,1,3,19,46,81.0,38,48,8,28
0,37,41,1,7,14,42,18.0,11,41,21,49
0,28,27,11,3,25,30,,48,20,27,19
0,52,7,5,3,25,6,,50,5,29,1
0,52,45,8,3,27,48,,46,42,32,22
0,3,3,1,3,22,4,42.0,0,4,27,26
0,31,34,10,5,27,34,,19,25,24,17
0,24,20,0,7,17,27,71.0,15,34,27,31
0,46,48,8,3,25,51,,40,45,27,0
0,52,28,5,3,25,63,,37,64,18,50
0,29,40,1,3,3,39,41.0,12,38,22,7
0,8,15,0,3,2,12,96.0,13,14,37,9
0,52,26,11,3,25,29,,7,19,9,42
0,44,46,8,3,27,49,,42,43,28,37
0,50,53,1,3,27,55,,43,51,36,24
0,5,5,3,6,15,8,106.0,34,12,17,41
0,52,63,1,3,27,61,,31,58,15,25
0,52,39,6,3,27,43,,1,37,0,45
0,17,13,1,3,27,15,,3,9,3,2
0,52,54,1,3,25,0,,4,61,6,44
0,52,22,9,3,26,31,,10,22,7,6
0,26,64,10,7,7,32,5.0,19,63,10,12
0,13,8,5,3,27,10,,30,6,27,40
0,36,43,0,3,12,41,12.0,51,40,38,21
0,2,2,1,3,9,3,81.0,23,2,27,16
0,12,18,1,0,20,19,110.0,18,18,12,49
0,25,24,0,7,21,28,105.0,35,35,23,43
0,4,6,1,7,8,7,57.0,16,11,27,11
0,39,49,3,7,16,45,101.0,33,47,1,46
0,6,10,1,3,18,9,65.0,24,13,33,5
0,20,25,1,7,8,23,59.0,16,30,1,11
0,47,60,0,7,5,57,46.0,8,62,35,10
0,38,50,0,7,2,44,100.0,13,46,35,9
0,33,36,1,9,25,36,,22,28,36,13
0,30,33,10,4,27,33,,19,24,10,14
0,51,62,3,7,16,60,104.0,39,60,2,32
0,10,16,1,7,9,17,84.0,23,16,23,16
0,19,31,1,7,1,21,81.0,36,23,10,33
0,21,32,1,7,9,24,85.0,23,31,27,16
0,23,21,3,10,15,26,108.0,34,33,26,41
0,32,35,10,2,25,35,,19,26,34,20
0,15,19,7,7,24,20,83.0,17,21,30,47
0,53,29,5,3,25,64,,2,65,27,40
0,49,59,3,7,16,59,103.0,32,57,24,36
0,43,55,1,8,14,53,19.0,45,53,1,49
0,35,42,0,3,10,40,88.0,27,39,3,51
0,11,12,0,7,13,18,68.0,28,17,16,23
0,7,4,5,3,27,5,,49,3,17,8
0,48,57,9,7,6,58,37.0,20,56,0,38
0,41,44,9,3,23,65,29.0,47,55,25,15
0,45,47,8,3,25,50,,26,44,31,37
0,52,61,1,3,25,62,,44,59,19,35
0,16,30,2,7,11,22,22.0,25,27,10,18
0,22,23,1,3,14,25,16.0,45,32,13,49
0,0,0,1,3,18,1,62.0,24,0,14,5
0,27,38,0,3,10,38,88.0,52,36,27,51
0,9,11,9,7,6,13,31.0,41,15,20,38
0,1,1,1,7,8,2,55.0,16,1,1,11
1,52,17,4,1,27,14,,6,8,9,4
0,52,58,1,3,25,56,,44,52,4,27
0,42,56,0,7,4,52,80.0,29,54,11,48
0,18,14,1,3,25,16,,9,10,3,39
0,52,64,8,3,0,47,1.0,40,49,31,29
0,52,52,1,3,27,54,,5,50,5,3
0,14,9,5,3,27,11,,21,7,27,34
0,34,37,1,9,25,37,,14,29,3,30
