Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,0,1037760,370,370,4,170,1037092,1
1,0,18293,404,404,3,158,17649,0
0,0,1236,126,126,4,0,691,0
0,0,55025,360,360,4,100,54438,0
0,0,1457890,90,90,4,96,1457246,0
0,0,487260,205,205,4,125,486679,1
0,0,1995197,222,222,4,151,1994529,0
0,0,9057,388,388,4,90,8128,0
0,0,4555,134,134,4,131,3962,0
0,0,622513,28,28,4,96,621803,0
0,0,807166,155,155,4,117,806492,1
1,0,112468,401,401,1,36,111971,0
0,0,4870,342,342,4,140,4217,0
0,0,2682,269,269,4,131,1954,0
0,0,163066,9,9,4,143,162521,1
0,0,1943209,10,10,4,57,1942577,0
0,0,735451,96,96,4,96,734867,0
0,0,1357417,313,313,4,148,1356881,1
0,0,1481322,93,93,4,74,1480762,1
0,0,36247,73,73,4,62,35642,1
0,0,1187163,348,348,4,170,1186465,0
0,0,120884,36,36,2,107,120498,0
0,1,1894275,111,111,4,28,1893637,1
0,0,438865,353,353,4,21,438233,0
0,0,308712,371,371,4,26,308044,0
0,0,1033564,302,302,4,169,1032920,0
0,0,1578872,120,120,4,17,1578312,0
0,0,77237,62,62,4,131,76545,0
0,0,17407,266,266,4,41,16820,0
0,0,497483,127,127,4,114,496893,0
0,0,1707996,30,30,4,68,1707370,1
0,0,6677,380,380,4,89,6162,1
0,0,278070,227,227,4,159,277438,1
0,0,1686468,112,112,4,96,1685914,0
0,0,477620,210,210,4,113,476973,0
0,0,565167,383,383,2,79,564760,0
0,0,10321,128,128,4,41,9749,0
0,0,1685667,117,117,0,162,1685527,0
0,0,7629,235,235,4,41,6979,0
0,0,1645,357,357,4,104,1004,0
0,0,376974,57,57,4,152,376393,1
0,0,767988,276,276,4,48,767290,0
0,0,426818,140,140,4,129,426186,1
0,0,7249,55,55,4,41,6641,0
0,0,265007,264,264,4,5,264339,0
0,0,28027,46,46,4,127,27344,0
0,0,1118634,322,322,4,154,1117975,1
0,0,30799,74,74,4,65,30158,1
0,0,159847,68,68,4,98,159101,1
0,0,694973,310,310,4,68,694383,0
0,0,1610144,115,115,4,74,1609563,0
0,0,487905,172,172,4,152,487330,0
1,0,356421,430,430,3,138,355831,1
0,0,1921473,108,108,4,57,1920904,1
0,0,10499,40,40,2,93,10110,1
0,1,1739252,338,338,4,96,1738602,0
0,0,515441,211,211,4,63,514617,0
0,0,1109679,319,319,4,96,1109041,1
1,0,347837,19,19,3,9,347313,0
0,0,250738,326,326,4,159,250097,0
0,0,4939,8,8,4,1,4241,1
0,0,570400,76,76,4,115,569783,0
1,0,544317,149,149,1,113,543658,0
0,0,52129,270,270,4,131,51491,0
1,0,19103,381,381,3,31,18480,1
0,0,4829,263,263,4,37,4128,0
0,0,599763,238,238,4,6,598996,1
0,0,430625,13,13,4,134,430509,0
0,0,1142859,409,409,4,48,1142287,1
0,0,339516,230,230,4,81,338926,0
0,0,1413348,214,214,4,13,1412725,1
0,0,1066542,405,405,4,67,1065931,1
0,0,15668,346,346,4,20,15015,0
0,0,6518,307,307,4,152,5874,1
0,0,26110,309,309,4,31,25487,1
1,0,504309,428,428,3,147,503911,1
0,0,610947,368,368,4,170,610288,1
0,0,1935320,221,221,4,123,1934724,0
0,0,216763,325,325,4,145,216122,0
1,0,588625,160,160,3,109,587969,1
0,0,412598,286,286,4,44,411981,1
1,0,463493,101,101,3,78,462885,1
0,0,14001,394,394,4,155,13402,1
0,0,276224,139,139,4,80,275592,0
0,0,602338,323,323,4,92,601643,1
0,0,1845,389,389,2,87,1489,1
0,0,314714,123,123,4,25,314181,0
0,0,1464254,89,89,4,96,1463646,0
0,0,1100102,407,407,4,101,1099440,1
0,0,444695,33,33,4,111,444042,0
0,0,42175,386,386,4,151,41594,0
0,0,9261,130,130,4,41,8539,0
0,0,382637,59,59,4,159,382086,0
0,0,35038,306,306,4,121,34388,1
0,0,410050,253,253,4,23,409331,0
1,0,13194,351,351,3,105,12661,1
0,0,641578,83,83,4,54,640880,1
0,0,320021,423,423,4,97,319437,1
0,0,70385,303,303,4,160,69732,0
0,0,2893,384,384,4,149,2228,0
0,0,36160,21,21,4,53,35462,1
1,0,628319,187,187,3,63,627354,1
1,0,978860,281,281,1,118,978390,0
0,0,288480,177,177,4,99,287506,0
0,0,331967,156,156,4,134,331098,0
0,0,467996,366,366,4,165,467418,0
0,0,1344856,202,202,4,124,1344239,0
0,1,340144,413,413,4,98,339536,0
0,0,218124,169,169,4,21,217234,0
0,0,11303,52,52,4,75,10641,1
0,0,12594,201,201,4,94,11959,1
0,0,789660,154,154,4,58,789061,1
0,0,855201,25,25,4,171,854569,1
0,0,873,6,6,4,32,262,1
0,0,16035,344,344,4,52,15472,0
0,0,301818,284,284,4,31,301183,1
0,0,281,11,11,5,71,3,1
0,0,578960,77,77,4,115,578253,0
0,0,1665163,31,31,4,152,1664528,0
0,0,538452,148,148,4,118,537880,1
0,0,278450,249,249,4,45,277617,0
0,0,473006,259,259,4,134,472107,0
0,0,16573,168,168,4,127,15977,0
1,0,15631,124,124,1,54,14972,0
0,0,2130876,105,105,4,96,2130250,1
0,0,750998,204,204,4,132,750414,0
0,0,497850,299,299,4,41,497083,1
0,0,653543,84,84,4,54,652923,1
0,0,698962,97,97,4,96,698387,1
0,0,350824,414,414,2,98,350453,1
0,0,584282,135,135,4,6,583626,1
0,0,425782,144,144,2,46,425384,0
0,0,1183104,328,328,4,38,1182499,0
0,0,160801,403,403,4,49,160181,0
1,0,10872,104,104,3,102,10210,0
0,0,393310,287,287,4,10,392783,0
0,0,514088,298,298,4,41,513441,1
0,0,667099,5,5,4,6,666332,1
0,0,244449,293,293,4,120,243556,0
0,0,223254,294,294,4,23,222562,0
0,0,260483,179,179,4,99,259935,0
0,0,1069989,197,197,4,57,1069351,0
0,0,198335,44,44,4,6,197730,1
0,0,1235855,190,190,2,96,1235211,1
0,0,1109266,398,398,4,139,1108595,0
0,0,6197,387,387,4,156,5628,0
0,0,38888,79,79,4,56,38181,1
0,0,2159962,329,329,4,68,2159390,0
0,0,1411596,23,23,4,17,1410949,0
0,0,2152710,106,106,4,162,2152117,1
0,0,22912,60,60,2,131,22523,0
0,0,2442,290,290,4,29,1612,1
0,0,673589,188,188,4,12,672981,1
1,0,1671935,119,119,3,121,1671336,0
0,0,11230,375,375,4,126,10535,0
0,0,1875155,224,224,4,48,1874526,0
0,0,311313,422,422,4,136,310645,1
0,0,274287,175,175,4,98,273715,1
0,0,433446,209,209,4,5,432955,0
0,0,36542,385,385,4,151,35961,1
0,0,541203,103,103,4,63,540331,0
0,0,375081,122,122,4,25,374536,1
0,0,1134002,408,408,4,48,1133424,1
0,0,1473130,88,88,4,27,1472456,0
1,0,1261581,327,327,3,130,1260970,0
0,0,1121,3,3,4,164,531,0
0,0,405277,143,143,4,31,404699,0
0,0,1581481,219,219,4,83,1580900,1
0,0,1049,289,289,4,66,204,1
0,1,327963,424,424,4,97,327337,1
0,0,1392058,311,311,4,167,1391459,0
0,0,253089,180,180,4,21,252442,0
0,0,897457,278,278,4,60,896894,0
0,0,358436,283,283,2,56,358038,1
0,0,782,48,48,4,127,129,1
0,0,371048,282,282,4,98,370350,1
0,0,1932015,107,107,4,96,1931470,0
0,0,7470,274,274,4,127,6853,1
0,0,76266,285,285,4,46,75574,1
0,0,16265,14,14,4,144,15666,1
0,0,605996,244,244,4,6,605367,1
0,0,332148,411,411,4,98,331510,0
1,0,844685,369,369,3,113,844098,0
0,0,1790185,225,225,4,34,1789544,1
0,0,617680,239,239,4,15,617066,1
0,0,17055,50,50,4,41,16375,0
0,0,1591262,333,333,4,68,1590720,0
0,0,31626,358,358,4,22,31012,0
0,0,67780,415,415,4,31,67067,0
0,0,425359,254,254,4,23,424565,0
0,0,281837,181,181,4,99,281250,0
0,0,1169771,349,349,4,73,1169145,0
0,0,1192370,318,318,4,162,1191744,1
0,0,18926,390,390,4,153,18276,0
0,0,2103139,226,226,4,57,2102468,1
0,0,1094415,321,321,4,57,1093786,1
0,0,59685,51,51,4,75,58891,0
0,0,395098,43,43,4,162,394403,1
0,0,128464,416,416,2,7,128075,0
0,0,1132814,320,320,4,57,1132212,1
1,0,385637,22,22,3,55,384969,0
0,0,1348,170,170,4,41,512,1
0,0,567879,382,382,2,88,567310,0
0,0,190891,67,67,4,98,190256,1
0,0,3660,199,199,4,41,3085,1
0,0,756041,99,99,4,96,755460,1
0,0,1653046,113,113,4,57,1652444,1
0,0,7200,137,137,4,24,6637,0
0,0,17644,350,350,4,157,17072,0
0,0,388432,198,198,2,72,388043,1
0,0,1001979,95,95,4,167,1001410,0
0,0,1611491,332,332,4,123,1610868,0
0,0,6125,12,12,4,71,5631,1
0,0,1806636,339,339,4,148,1806064,0
0,0,1150552,317,317,4,17,1149983,1
0,0,377041,364,364,4,25,376496,1
0,0,389569,255,255,4,110,388676,0
0,0,1212108,314,314,4,17,1211533,0
0,0,1793869,335,335,4,96,1793264,1
0,0,1559,53,53,4,41,987,1
0,0,421453,417,417,4,162,420860,0
0,0,410649,145,145,2,31,410251,0
1,0,2936,1,1,3,85,2637,1
1,0,690105,151,151,3,55,689434,0
0,0,7534,345,345,2,150,7151,0
0,0,8892,377,377,4,4,8245,0
0,0,237931,291,291,4,23,237338,0
0,0,615493,18,18,4,47,614912,0
0,0,253619,173,173,4,31,252897,0
0,0,244194,183,183,4,21,243160,0
0,0,1176204,399,399,4,5,1175530,0
0,0,668902,152,152,4,76,668282,1
0,0,22995,308,308,2,56,22609,1
0,0,47042,80,80,4,31,46335,1
0,0,6670,233,233,4,41,6140,1
0,0,462219,365,365,4,116,461563,1
0,0,1079,129,129,2,75,750,0
1,0,1773473,336,336,3,121,1772775,1
0,0,1368555,312,312,4,74,1367977,1
0,0,170789,69,69,4,31,170208,1
1,0,44727,395,395,3,64,44119,1
0,0,917604,279,279,4,101,916954,0
0,0,7294,267,267,4,41,6638,0
0,0,9111,133,133,2,75,8734,0
0,0,633393,82,82,4,59,632488,1
1,0,1947,16,16,3,141,1330,1
0,0,1604078,116,116,4,74,1603452,0
0,0,219644,72,72,4,53,218985,1
0,0,1579,4,4,4,168,1004,1
0,0,462632,142,142,4,97,462006,0
0,0,1707,379,379,4,87,1054,0
0,0,555039,78,78,4,77,554104,0
1,0,891600,277,277,1,40,891058,1
0,0,522983,297,297,4,6,522417,1
0,0,897652,246,246,4,165,897068,0
0,0,445439,136,136,4,110,444747,0
0,0,5761,376,376,4,22,5141,0
0,0,407298,186,186,4,84,406639,0
0,0,95645,65,65,4,112,95094,1
0,0,296809,421,421,4,97,296102,1
0,0,438791,34,34,4,145,438168,1
0,0,296422,250,250,4,134,295724,0
0,0,311595,412,412,2,98,311224,1
0,0,39701,54,54,4,41,39237,1
1,0,22510,56,56,3,159,21845,0
0,0,262228,39,39,4,170,261515,0
0,0,603114,243,243,4,15,602248,1
0,0,610905,159,159,4,136,610333,0
1,0,862102,247,247,3,1,861431,0
0,0,8700,17,17,4,18,8095,0
0,0,1439745,91,91,4,57,1439215,1
0,0,9539,200,200,4,94,8904,1
0,0,367683,157,157,4,26,367096,0
0,0,11825,47,47,4,127,11139,0
0,0,406686,141,141,4,97,406078,0
0,0,32545,268,268,4,127,31979,0
0,0,2027,41,41,4,69,1341,0
0,0,465000,355,355,4,2,464038,0
1,0,874302,280,280,3,118,873739,1
0,0,1522297,87,87,4,17,1521722,0
0,0,456160,324,324,4,119,455483,0
1,0,28680,131,131,3,166,27985,0
0,0,478938,102,102,4,3,478315,0
0,0,494817,206,206,4,14,494134,1
0,0,21792,347,347,4,39,21193,0
0,0,649380,242,242,4,6,648745,1
1,0,499409,367,367,3,55,498789,0
0,0,21840,236,236,4,131,21079,0
0,0,551183,232,232,2,163,550740,0
0,0,53116,397,397,5,36,52718,0
0,0,302673,251,251,4,45,302005,0
0,0,633183,240,240,2,95,632827,1
0,0,1148872,410,410,4,34,1148204,0
0,0,548259,146,146,2,70,547909,0
0,0,627298,100,100,4,82,626603,1
0,0,555039,429,429,4,97,554545,1
0,0,269583,420,420,4,136,268954,0
0,0,1587490,216,216,4,91,1586741,0
0,0,1038285,194,194,4,96,1037734,1
0,0,266589,178,178,4,21,265723,0
0,0,21892,341,341,4,52,21179,0
0,0,400683,58,58,4,159,400036,1
0,0,1863,45,45,4,131,1279,0
0,0,564291,150,150,4,116,563632,1
0,0,1722444,340,340,4,21,1721857,1
