Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position,Strand_Orientation
1,7608,41,41,6745,1
1,326018,97,97,323649,0
1,476915,37,37,476025,0
1,114401,60,60,112584,1
1,2332647,195,195,2330257,0
1,80177,230,230,78453,1
1,8014,80,80,5234,1
1,557,86,86,3,1
1,74182,14,14,73355,1
0,346408,201,201,346178,1
1,921959,61,61,919047,0
1,1129891,141,141,1128836,0
1,2216,40,40,1884,0
1,40192,221,221,38090,1
1,612,68,68,103,1
1,929,170,170,3,0
1,9109,148,148,6119,1
1,35665,146,146,33647,1
1,223303,151,151,221369,0
1,30441,191,191,27628,1
1,1639600,194,194,1637255,0
1,67398,219,219,66466,1
1,122795,35,35,121053,0
1,1121147,211,211,1120731,0
1,216652,229,229,216302,1
1,53404,239,239,53066,1
1,20561,115,115,20007,1
1,215357,59,59,214062,1
1,543960,132,132,542011,0
1,23503,234,234,21764,1
1,56787,222,222,55507,1
1,857583,104,104,854629,0
1,615828,182,182,612868,0
1,3521,171,171,564,0
1,640889,119,119,638082,0
1,119855,177,177,118959,1
0,202126,73,73,201683,0
0,157631,180,180,157230,0
0,218,150,150,3,0
1,578507,183,183,577500,0
1,835,4,4,1,0
1,12423,123,123,10753,1
1,100170,26,26,98553,1
1,74123,118,118,73479,1
1,17384,120,120,15111,1
1,395,197,197,3,1
0,1415811,19,19,1415230,0
1,229154,238,238,227562,0
1,47729,117,117,46503,1
1,10942,196,196,10619,1
1,45868,107,107,44981,1
1,10805,101,101,10074,0
1,706956,36,36,704473,0
0,4265,62,62,3411,0
1,8105,56,56,5802,1
1,1034156,71,71,1031220,0
1,1842055,205,205,1840004,0
1,7838,212,212,7741,1
1,4117,6,6,2168,1
0,1411,1,1,1097,0
1,51751,102,102,49106,0
1,2184398,82,82,2181870,1
1,76293,27,27,74227,1
1,28437,215,215,25624,1
1,1399795,23,23,1397420,0
1,6985,78,78,4031,1
1,46358,87,87,44298,1
1,1122061,140,140,1121249,0
1,57738,223,223,56893,1
1,11717,172,172,11061,0
1,629366,204,204,627348,0
1,34648,28,28,31775,1
1,41471,152,152,39177,1
1,42976,227,227,42014,1
1,2400,162,162,211,0
1,3058,134,134,647,0
0,71748,32,32,71398,1
0,202086,210,210,201577,0
1,368350,48,48,367493,0
1,83691,192,192,83233,1
1,33312,76,76,32212,1
1,1050263,154,154,1049748,0
1,358301,168,168,355485,0
1,23148,135,135,20869,1
1,1686,2,2,1,1
1,1381,98,98,2,0
0,1130987,142,142,1130442,0
1,33975,34,34,32362,1
1,47107,231,231,46339,1
1,25397,147,147,23602,1
1,2035,125,125,1445,0
1,254233,176,176,251879,1
0,282,113,113,1,1
1,270124,225,225,267929,0
1,3364,166,166,1112,0
1,8634,57,57,6310,0
1,6051,105,105,3256,0
1,88109,216,216,87465,0
1,794,8,8,3,0
1,36817,145,145,35931,1
0,2248,20,20,1520,1
1,903359,156,156,902475,0
1,513917,236,236,513297,0
1,24472,184,184,23342,1
1,46075,232,232,44094,1
1,4117,224,224,1346,1
1,1991,174,174,321,1
1,7580,83,83,6150,1
1,281858,149,149,279111,0
0,581031,237,237,580762,0
1,783875,66,66,783721,0
1,228,17,17,1,0
1,6341,58,58,3546,0
1,28634,137,137,28311,1
1,392192,100,100,389835,0
0,2270,55,55,1968,1
0,17833,30,30,17345,1
1,609376,203,203,606950,0
1,2735,213,213,1362,1
1,1444050,22,22,1442287,0
1,922,9,9,412,0
1,481120,103,103,478592,0
1,215,5,5,3,0
1,2208,139,139,1,1
1,15743,202,202,15195,1
1,4959,95,95,2632,0
1,38673,85,85,38134,1
1,317768,188,188,315381,0
1,781276,163,163,779186,0
1,46181,179,179,45609,1
1,703894,109,109,701207,0
0,2011553,3,3,2010699,0
1,4564,44,44,2810,1
0,1066,0,0,947,1
1,3052,53,53,605,0
1,498493,235,235,497942,0
1,6017,218,218,3066,0
1,4965,122,122,2173,1
1,585603,185,185,583600,0
0,805,63,63,2,0
1,89160,178,178,86623,1
