LanguagesSpoken,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,MemoireDuCyclismeCyclistId,Nationality,TwitterUsername,Birthplace,UciRiderId,ProfileDescription,WeightKg,Birthdate,LastName,FirstName,CyclingArchivesCyclistId,PrabookId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
1,10,2747,3448,9,1352523.0,140768,9,2120.0,7,3,3,32923,2,70.0,4,2,9,16824,6,14,5,175.0,9
3,1,5770,266,0,,139813,0,12038.0,4,4,0,24674,8,,0,4,0,5397,6,142,5,,4
6,0,56070,20777,5,203494.0,179769,5,,2,1,7,86568,4,71.0,11,9,5,79781,6,18575,3,180.0,12
5,11,55710,21145,10,20655.0,132339,10,69005.0,6,7,6,86863,11,70.0,12,7,10,71405,0,16687,6,185.0,7
3,12,1735,3171,11,,140202,11,1338.0,4,4,5,31999,9,60.0,2,0,11,13019,6,617,5,174.0,2
1,4,10770,7089,4,,140301,4,15551.0,0,4,10,45955,0,70.0,7,6,4,16714,4,767,5,181.0,0
1,6,23014,7606,2,95405.0,140501,2,9831.0,7,9,11,45633,3,68.0,6,11,2,20340,3,828,5,179.0,5
6,5,65955,26396,13,12337.0,189441,13,,2,5,1,92304,5,,13,9,13,110201,6,41293,4,186.0,12
4,13,26009,12193,12,1940308.0,140797,12,9096.0,5,8,13,54603,10,78.0,9,10,12,30229,6,784,0,184.0,8
3,8,46958,13863,6,,140739,6,28971.0,4,4,9,58761,7,72.0,8,8,6,38022,1,2982,2,184.0,10
5,2,1960,415,3,,140755,3,1494.0,6,4,4,14647,12,70.0,1,1,3,10908,6,387,5,178.0,3
2,3,43344,16653,1,63128.0,140818,1,45469.0,3,0,2,64670,6,78.0,10,3,1,52068,5,2337,1,181.0,11
3,9,6786,7776,8,15786.0,140393,8,12809.0,4,6,12,32845,7,78.0,5,5,8,12878,2,605,5,189.0,6
0,7,16313,3333,7,134950.0,140752,7,19461.0,1,2,8,44513,1,74.0,3,12,7,18746,6,150,5,181.0,1
