Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,MemoireDuCyclismeCyclistId,Nationality,Birthplace,UciRiderId,WeightKg,Birthdate,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
1,4,10573,1849.0,3,,140695,3,15403.0,1,11,28865,63.0,3,13,3,5845,856.0,6,177,2
0,10,3104,2357.0,13,,140190,13,2394.0,5,12,25085,65.0,1,4,13,1447,81.0,6,181,3
0,14,49154,16941.0,1,300070.0,140071,1,55236.0,2,3,75873,54.0,6,3,1,39969,3213.0,6,164,11
0,13,6263,45.0,10,247878.0,140855,10,12393.0,1,14,24166,70.0,0,8,10,4177,174.0,0,179,8
0,9,83295,28377.0,11,84000.0,212377,11,,1,0,587366,62.0,14,7,11,141854,84019.0,3,171,13
0,5,55639,20535.0,2,,160352,2,,4,2,89125,,12,12,2,73388,14791.0,3,181,13
0,1,46381,18610.0,5,77168.0,137427,5,56596.0,3,8,71557,62.0,11,0,5,63999,12474.0,1,173,0
0,6,1661,2440.0,4,,140780,4,1272.0,8,5,28331,74.0,2,1,4,10109,790.0,6,178,6
0,3,47066,16881.0,7,41605.0,140633,8,47478.0,3,15,59614,,9,2,8,32178,2530.0,6,175,10
0,8,88231,20406.0,8,,219536,6,,8,6,175824,,15,9,6,137465,82552.0,4,180,13
0,2,6978,4377.0,0,7658.0,140865,0,1203.0,6,7,198213,76.0,4,10,0,18964,31.0,2,181,4
0,12,47214,16722.0,14,34792.0,140674,14,46202.0,1,9,64531,71.0,10,15,14,52973,6228.0,7,183,12
0,15,12832,7751.0,15,75813.0,140343,15,17044.0,5,13,862522,65.0,5,14,15,25301,929.0,6,183,7
0,7,27794,12923.0,6,156620.0,140821,7,28843.0,7,4,58528,65.0,8,11,7,36053,2961.0,5,176,9
0,11,57500,21405.0,9,,170313,9,,6,10,86710,65.0,13,6,9,82089,17252.0,6,180,1
1,0,28095,12823.0,12,,137337,12,45429.0,0,1,58891,71.0,7,5,12,34412,2322.0,6,182,5
