EventsParticipated,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,MemoireDuCyclismeCyclistId,TwitterUsername,Birthplace,UciRiderId,WeightKg,Birthdate,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,SportCountry
8,13,27794.0,12923.0,8,156620.0,140821,8,28843.0,9,4,58528,65.0,9,10,8,36053,2961.0,176.0,9,7
0,16,6263.0,45.0,10,247878.0,140855,10,12393.0,2,15,24166,70.0,1,8,10,4177,174.0,179.0,8,7
4,7,44733.0,16677.0,15,213342.0,140118,15,55213.0,13,8,73892,69.0,10,4,15,64982,2324.0,185.0,13,6
8,4,19479.0,8649.0,0,9972.0,140208,0,28893.0,0,11,54831,68.0,5,12,0,22615,791.0,182.0,6,3
3,2,38554.0,15171.0,17,40636.0,140391,17,31237.0,5,1,64730,65.0,11,9,17,36834,2165.0,185.0,12,6
6,10,39412.0,16466.0,5,24536.0,140241,5,45432.0,10,6,62912,78.0,12,5,5,44004,2327.0,187.0,7,0
9,17,58050.0,20184.0,16,,135591,16,,1,16,89133,72.5,14,1,16,71225,19274.0,173.0,0,1
2,6,22663.0,5789.0,1,1529344.0,140869,1,12014.0,6,9,43936,69.0,4,6,1,22017,713.0,186.0,3,4
8,1,11476.0,6909.0,11,,140842,11,7981.0,1,17,45055,77.0,6,13,11,18730,1709.0,190.0,11,5
10,5,56664.0,20678.0,9,20194.0,132382,9,,11,3,72234,73.0,15,3,9,66001,,1.81,5,8
10,15,47214.0,16722.0,14,34792.0,140674,14,46202.0,4,13,64531,71.0,13,15,14,52973,6228.0,183.0,14,1
7,11,,,6,,167369,6,,1,10,97669,,3,11,6,68655,15073.0,,15,2
10,3,61538.0,24057.0,3,,177672,3,,1,14,91640,82.0,17,7,3,79184,27099.0,193.0,15,3
9,0,28095.0,12823.0,12,,137337,12,45429.0,3,0,58891,71.0,8,2,12,34412,2322.0,182.0,4,0
9,9,39287.0,13240.0,2,66281.0,140835,2,10495.0,7,7,55029,67.0,7,14,2,21075,1310.0,178.0,10,3
1,8,16742.0,3795.0,4,12886.0,140268,4,19713.0,8,12,45199,74.0,2,16,4,20181,729.0,186.0,2,6
5,14,58116.0,22910.0,13,15237.0,170625,13,,12,5,99713,78.0,16,13,13,81488,27111.0,186.0,15,7
9,12,171.0,311.0,7,,140861,7,140.0,1,2,14494,65.0,0,0,7,118,91.0,172.0,1,7
