Gender,SiblingName,BirthDate,BiographicalNote,FirstName,DeathDate,FullName,GoogleKnowledgeGraphId,MiddleName,MotherName,PosthumousTitle
1,0,31,11,3,7,30,17,1,17,76
0,0,85,11,5,36,66,64,1,17,61
1,0,70,11,3,54,37,31,1,15,3
1,0,28,11,3,26,32,37,1,27,58
0,0,69,11,4,84,7,85,0,17,37
0,0,30,11,4,81,69,49,0,15,47
0,0,83,11,4,75,75,41,0,15,38
1,0,41,11,4,82,46,10,0,2,64
1,0,68,10,3,17,16,47,1,9,54
1,0,0,9,4,85,1,13,0,15,47
1,2,55,11,3,18,26,34,1,3,24
1,0,74,11,3,65,57,39,1,0,4
1,0,46,11,3,34,40,22,1,15,71
1,0,56,11,3,38,29,76,1,8,79
1,0,59,11,4,44,42,2,0,13,26
0,0,66,11,4,80,60,48,0,10,47
0,0,39,13,4,78,77,81,0,7,35
0,0,6,11,4,2,83,71,0,14,66
0,0,14,11,4,57,61,73,1,17,31
1,0,17,4,3,62,45,27,1,23,15
1,0,12,3,3,23,41,6,1,6,75
1,0,80,11,4,77,15,18,0,10,69
0,0,18,11,4,12,84,58,0,1,59
1,0,79,11,3,53,27,19,1,15,73
0,0,43,11,4,47,82,74,0,9,43
0,0,9,13,7,64,14,83,1,6,32
1,0,51,11,3,42,51,35,1,9,17
0,0,67,11,4,27,8,85,0,0,60
0,0,44,11,4,35,63,57,0,25,55
1,0,48,11,3,15,19,33,1,9,68
0,0,4,11,4,0,59,26,0,14,0
0,0,78,11,4,45,12,54,0,17,29
0,0,64,11,4,21,80,66,0,9,44
1,0,40,11,3,13,48,4,1,1,23
1,1,24,11,3,41,47,84,1,22,1
0,0,52,11,4,9,4,42,0,20,47
1,0,49,7,3,50,35,8,1,3,11
1,0,63,11,3,79,44,38,1,18,47
0,0,71,11,4,80,10,52,0,15,47
1,0,37,11,3,48,21,20,1,11,9
1,1,15,15,3,73,43,77,1,4,65
0,0,7,11,4,4,68,1,0,5,25
1,0,2,0,3,46,31,21,1,22,74
0,0,32,11,4,6,73,44,0,4,22
0,0,29,12,4,67,85,80,0,7,18
0,0,5,11,1,37,11,60,1,14,52
0,0,57,11,4,29,65,43,0,15,72
0,0,11,11,4,68,9,50,0,1,41
1,0,38,11,3,31,25,25,1,5,77
1,0,22,6,3,22,52,28,1,15,49
0,0,42,11,4,76,76,63,0,10,80
1,0,35,11,3,85,22,7,1,15,47
0,0,67,11,4,59,67,61,0,13,39
1,0,75,11,4,60,23,75,0,26,5
0,0,19,11,4,74,87,45,0,11,40
0,0,25,11,4,56,5,85,0,24,36
1,0,45,11,3,72,49,30,1,12,14
1,0,53,11,3,39,34,11,1,13,20
1,0,82,11,3,19,33,32,1,17,47
0,0,58,11,4,15,62,68,0,17,53
1,0,47,11,3,55,20,14,1,26,12
0,0,65,11,4,52,71,85,0,17,42
1,0,77,11,3,49,36,12,1,9,8
0,0,20,11,4,40,86,70,0,5,48
1,0,62,11,3,70,56,24,1,8,6
1,0,60,11,3,71,54,29,1,26,2
0,0,72,11,4,28,64,55,0,13,70
1,0,3,1,3,1,24,15,1,14,50
1,0,61,11,3,69,53,5,1,14,10
0,0,54,11,4,24,6,69,0,25,45
1,0,13,16,3,43,39,78,1,7,63
1,0,27,11,0,10,18,23,1,11,78
1,0,23,11,3,5,50,16,1,2,19
1,1,16,8,3,14,16,79,1,2,16
1,0,36,11,3,30,28,3,1,10,27
0,0,32,11,4,20,70,40,0,3,46
0,0,34,11,4,25,2,72,0,21,57
0,0,42,11,4,8,81,62,0,17,56
0,0,81,11,4,83,78,65,0,0,33
0,0,33,11,4,66,72,53,0,8,47
0,0,50,11,2,63,13,46,1,26,34
1,0,8,2,3,51,38,0,1,11,7
1,0,76,11,3,61,17,9,1,10,13
0,0,84,11,4,33,74,51,0,15,30
0,0,10,11,4,32,79,56,0,19,51
1,0,1,14,6,58,58,82,1,16,67
0,0,73,11,4,16,0,67,0,9,62
1,0,21,5,4,11,55,36,0,15,28
0,0,26,11,4,3,3,59,0,26,21
