EventsParticipated,ProfileImage,OfficialWebsite,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,CurrentTeam,ProCyclingStatsCyclistId,CyclistName,MemoireDuCyclismeCyclistId,Nationality,BirthPlace,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,SportsReferencecomOlympicAthleteIdArchived
4,0,0,56070,20777,8,203494.0,17,179769,8,,3,11,86568,71.0,20,133261.0,14,9,79781,18575,180.0,22,5
8,22,0,41076,13362,22,56034.0,2,139405,22,54866.0,11,21,65995,70.0,17,,0,22,51551,3277,177.0,9,0
9,21,9,8424,6784,16,226627.0,17,140342,16,6756.0,5,0,45024,82.0,13,,10,17,18093,1007,188.0,17,0
9,20,1,5546,500,21,,19,139888,21,11794.0,5,13,12889,81.0,2,,5,21,5031,621,177.0,19,0
9,16,3,2747,3448,17,1352523.0,14,140768,17,2120.0,15,6,32923,70.0,8,113223.0,2,18,16824,14,175.0,13,3
1,3,0,43344,16653,2,63128.0,3,140818,2,45469.0,4,4,64670,78.0,18,125020.0,3,3,52068,2337,181.0,20,4
9,23,0,7231,1018,10,37470.0,12,140773,10,13104.0,9,7,16436,72.5,0,14710.0,9,12,7583,379,181.0,15,8
9,12,8,13726,1544,14,,12,140792,14,8944.0,2,2,28339,78.0,9,126473.0,17,15,10314,375,184.0,6,12
9,2,0,1960,415,3,,1,140755,3,1494.0,13,9,14647,70.0,3,111610.0,1,4,10908,387,178.0,3,1
9,13,7,6786,7776,12,15786.0,10,140393,12,12809.0,6,20,32845,78.0,11,,7,13,12878,605,189.0,8,0
9,8,13,6679,2086,0,170534.0,0,140786,0,12728.0,5,16,22143,82.0,5,125460.0,6,0,9414,377,184.0,16,6
9,4,2,10770,7089,4,,7,140301,4,15551.0,1,15,45955,70.0,12,113241.0,11,5,16714,767,181.0,1,9
7,15,0,58428,21992,15,23650.0,16,168776,15,,7,18,86895,,22,,15,16,77835,16793,179.0,0,0
9,5,5,2453,73,7,475000.0,13,140846,7,1844.0,14,22,15924,81.0,4,103662.0,14,8,703,12,186.0,10,2
9,18,0,13512,3347,19,15367.0,17,140776,19,17512.0,0,5,896277,68.0,6,124131.0,16,2,16686,624,175.0,14,11
10,17,0,55710,21145,18,20655.0,18,132339,18,69005.0,13,10,86863,70.0,21,135862.0,12,19,71405,16687,185.0,11,10
2,11,12,46958,13863,9,,11,140739,9,28971.0,6,14,58761,72.0,15,,13,10,38022,2982,184.0,18,0
5,7,11,65955,26396,23,12337.0,8,189441,23,,3,3,92304,,23,,14,23,110201,41293,186.0,22,0
3,6,4,46049,19242,5,,9,139823,5,39932.0,8,19,69149,80.0,19,,14,6,43239,7730,183.0,21,0
6,9,0,6978,4377,6,7658.0,15,140865,6,1203.0,10,17,198213,76.0,10,111607.0,8,7,18964,31,181.0,4,7
9,10,6,16313,3333,11,134950.0,4,140752,11,19461.0,2,12,44513,74.0,7,126409.0,20,11,18746,150,181.0,2,15
9,14,0,24737,12251,13,,6,140234,13,9357.0,9,8,46264,77.0,14,113197.0,19,14,20642,843,189.0,7,14
9,1,0,5770,266,1,,18,139813,1,12038.0,6,1,24674,,1,,4,1,5397,142,,5,0
0,19,10,26009,12193,20,1940308.0,5,140797,20,9096.0,12,23,54603,78.0,16,125137.0,18,20,30229,784,184.0,12,13
