Specialty,ProfileImage,OfficialWebsite,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,MemoireDuCyclismeCyclistId,TwitterUsername,BirthPlace,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId,CyclingDiscipline,SportsReferencecomOlympicAthleteIdArchived
3,12,6,8424,6784,9,226627.0,140342,9,6756.0,10,0,45024,82.0,7,,6,10,18093,1007,5,188.0,10,0,0
1,7,0,40974,13220,7,11731.0,140657,7,4948.0,8,9,48194,78.0,10,,3,8,18001,1966,5,183.0,12,4,0
1,14,0,7231,1018,4,37470.0,140773,4,13104.0,2,4,16436,72.5,0,14710.0,5,6,7583,379,5,181.0,9,4,3
1,1,3,46049,19242,2,,139823,2,39932.0,0,11,69149,80.0,13,,8,3,43239,7730,2,183.0,13,1,0
1,6,5,6786,7776,6,15786.0,140393,6,12809.0,7,12,32845,78.0,5,,4,7,12878,605,5,189.0,4,4,0
1,13,0,41076,13362,13,56034.0,139405,13,54866.0,5,13,65995,70.0,12,,0,13,51551,3277,4,177.0,5,4,0
1,9,2,2747,3448,10,1352523.0,140768,10,2120.0,3,3,32923,70.0,4,113223.0,2,11,16824,14,5,175.0,7,4,2
3,8,0,24737,12251,8,,140234,8,9357.0,9,5,46264,77.0,8,113197.0,11,9,20642,843,5,189.0,3,4,6
1,2,8,65955,26396,14,12337.0,189441,14,,6,1,92304,,14,,8,14,110201,41293,3,186.0,14,3,0
2,11,7,26009,12193,12,1940308.0,140797,12,9096.0,12,14,54603,78.0,11,125137.0,10,12,30229,784,0,184.0,6,2,5
1,5,9,46958,13863,3,,140739,3,28971.0,4,8,58761,72.0,9,,7,4,38022,2982,1,184.0,11,3,0
1,0,0,1960,415,1,,140755,1,1494.0,4,6,14647,70.0,1,111610.0,1,2,10908,387,5,178.0,1,3,1
1,3,1,23014,7606,0,95405.0,140501,0,9831.0,13,10,45633,68.0,6,111629.0,12,1,20340,828,5,179.0,2,4,7
1,10,0,13512,3347,11,15367.0,140776,11,17512.0,11,2,896277,68.0,2,124131.0,9,0,16686,624,5,175.0,8,4,4
0,4,4,16313,3333,5,134950.0,140752,5,19461.0,1,7,44513,74.0,3,126409.0,13,5,18746,150,5,181.0,0,3,8
