host_country,official_website,total_participants,pro_cycling_stats_race_id,edition_number,race_type,start_location,end_location,google_knowledge_graph_id,race_winner,race_name
0,0,,,,0,0,2,8,3,10
1,2,52.0,178418.0,,0,7,7,6,7,11
5,3,90.0,188871.0,95.0,0,5,4,5,6,5
5,1,135.0,172903.0,69.0,1,2,1,0,10,1
2,0,100.0,,2.0,0,4,3,8,8,0
3,5,175.0,255486.0,15.0,1,6,6,7,4,9
5,4,85.0,173632.0,94.0,0,5,4,1,9,2
5,1,115.0,180829.0,70.0,1,2,1,4,0,4
0,0,139.0,247116.0,,0,8,5,8,5,7
0,0,,247118.0,,0,3,8,8,2,8
4,0,124.0,173209.0,,0,1,0,2,1,3
3,5,147.0,180671.0,12.0,1,6,6,3,11,6
