sport_type,host_country,official_website,pro_cycling_stats_race_id,notable_participant,edition_number,start_location,commons_category,google_knowledge_graph_id,participating_teams,end_location
1,8,6,181404.0,11,82,7,5,3,0,1
1,9,5,209898.0,1,1,0,2,6,2,2
1,7,2,171127.0,0,72,13,7,0,4,6
1,3,1,247313.0,10,84,14,2,14,3,10
1,1,12,219106.0,14,73,6,2,10,1,8
1,8,14,209948.0,12,73,11,4,12,5,4
1,3,3,171015.0,9,115,5,3,1,4,12
1,0,7,209890.0,3,21,1,2,7,5,15
0,5,0,,13,1,12,2,15,6,9
1,4,4,170996.0,2,108,9,1,2,4,13
1,7,8,209925.0,1,99,4,6,9,5,0
1,6,0,182099.0,5,2,2,2,5,0,5
1,0,10,209891.0,7,5,8,2,8,5,3
1,10,13,210025.0,8,8,3,2,13,5,14
1,3,11,248217.0,4,44,15,2,11,3,11
1,2,9,181954.0,6,9,10,0,4,0,7
