Gender,Birth_Date,First_Name,Entity_Type,Birthplace,Languages,Profession
1,779,229,0,125,2,63
1,308,390,0,58,10,8
1,546,391,0,203,10,8
1,1002,47,0,142,8,31
1,1101,361,0,35,10,8
0,864,301,0,169,10,47
0,878,259,0,199,8,0
0,796,113,0,203,10,29
1,1235,331,0,161,8,8
1,1060,174,0,75,10,8
1,477,92,0,66,10,8
0,497,348,0,230,2,63
1,313,128,0,161,8,20
1,91,210,0,178,10,8
1,485,110,0,196,10,8
0,696,318,0,49,2,63
1,720,7,0,177,10,65
1,323,308,0,66,10,8
1,739,294,0,161,10,12
1,295,203,0,24,10,8
1,207,324,0,177,10,8
0,926,38,0,142,10,26
1,476,129,0,57,10,20
1,728,13,0,127,11,4
1,1224,119,0,103,8,8
1,68,185,0,46,10,65
1,554,294,0,161,8,20
1,1157,331,0,161,8,63
1,1235,170,0,161,8,22
1,1235,331,0,161,8,22
0,1136,23,0,244,8,26
1,724,344,0,128,8,31
0,203,434,0,14,10,11
1,1235,112,0,161,8,22
1,248,308,0,39,10,8
0,902,331,0,161,8,68
1,20,331,0,39,10,20
1,492,331,0,193,10,45
1,558,212,0,63,10,65
1,1209,84,0,291,10,8
1,56,378,0,183,8,26
1,573,170,0,161,10,12
0,149,311,0,161,2,63
0,1074,159,0,95,2,63
1,799,337,0,57,8,8
1,1135,371,0,106,10,8
0,337,460,0,161,8,20
0,367,175,0,118,10,20
1,923,141,0,161,2,63
1,218,425,0,253,10,65
1,591,17,0,161,10,12
1,140,331,0,188,8,8
1,983,447,0,35,10,8
1,657,331,0,161,10,12
1,1235,331,0,161,8,4
1,535,273,0,161,8,20
1,598,273,0,170,10,17
1,172,277,0,15,10,8
1,159,87,0,108,10,8
0,1228,33,0,63,10,6
1,937,174,0,39,10,8
1,655,174,0,216,10,8
1,807,331,0,251,10,8
1,841,331,0,226,2,68
1,742,81,0,78,10,8
0,118,235,0,96,2,63
1,995,297,0,197,8,31
0,1139,100,0,161,8,26
1,1235,331,0,161,8,22
1,1091,357,0,66,10,8
1,168,213,0,39,10,68
1,111,90,0,118,10,8
1,631,97,0,39,10,8
1,1226,331,0,161,8,20
1,306,90,0,5,10,8
0,1189,33,0,39,8,26
0,201,202,0,58,10,25
1,354,331,0,161,8,20
1,1206,7,0,138,3,50
1,145,331,0,161,8,20
1,1022,34,0,39,10,8
1,1055,107,0,35,8,26
1,915,372,0,39,10,31
1,782,35,0,161,8,50
0,444,275,0,196,10,63
1,108,193,0,199,10,8
1,1032,405,0,161,8,20
1,319,331,0,161,8,20
1,1009,331,0,161,8,31
1,19,441,0,240,10,8
1,1235,331,0,161,8,8
1,694,380,0,35,10,8
0,573,414,0,161,8,63
