ViafId,BhclUuid,EncyclopdiaBritannicaOnlineId,YsoId,MuseumDigitalPlaceId,EuroVocId,GeoNamesId,UnescoThesaurusId,CommonsCategory,WikiKidsId,QuoraTopicId,FrenchVikidiaId,WorldCatEntitiesId,StwThesaurusForEconomicsId,MainCategory,Continent,KBpediaId,NationalLibraryOfIsraelJ9uId,MeShDescriptorId,LocatorMapImage,LibraryOfCongressAuthorityId,UkParliamentThesaurusId,NlCrAutId,GndId,LoCAndMarcVocabulariesId,DenStoreDanskeId,FreebaseId,StoreNorskeLeksikonId,OmegaWikiDefinedMeaning
133200082.0,15,0,,,,,0,42,22,19,24,26,24,43,6,21,,24,26,11,,0,35,0,20,22,19,
252087561.0,17,4,105026.0,46239.0,,685608.0,0,4,15,28,11,26,24,4,15,21,9.870072823030052e+17,23,4,24,8512.0,16,8,14,4,9,4,1019655.0
137179268.0,1,26,,,,,0,26,7,19,24,26,24,27,19,21,9.870075573707052e+17,24,15,3,,1,1,0,12,0,7,
316430131.0,15,21,118210.0,97.0,351.0,7729885.0,8,47,15,32,3,17,14,47,0,28,9.870072927970052e+17,4,29,19,13720.0,6,29,22,25,44,26,4139.0
316429170.0,3,18,184559.0,1410.0,342.0,9406051.0,7,44,15,27,1,14,13,45,0,26,9.870072928003052e+17,3,1,18,12947.0,3,19,21,27,14,31,3567.0
248539062.0,23,0,105223.0,6388.0,914.0,7729884.0,19,16,20,10,19,0,20,17,15,13,9.870075601925052e+17,11,22,30,9809.0,23,28,15,20,36,33,1026.0
234568816.0,15,0,124012.0,,,2622229.0,0,24,15,19,24,26,24,25,20,21,,24,26,0,,27,35,0,20,21,10,
207634635.0,4,24,,,4060.0,,23,21,9,14,28,26,24,22,16,15,9.870072609548051e+17,12,14,1,91175.0,30,34,0,10,38,19,1361.0
316429170.0,3,18,184559.0,1410.0,342.0,9406051.0,7,44,15,27,1,14,13,45,0,26,9.870072928003052e+17,3,1,18,12947.0,3,19,21,27,14,31,3567.0
3.146998328418941e+18,21,9,105179.0,6788.0,956.0,7729894.0,14,15,19,9,10,22,9,16,4,12,9.870075678637052e+17,24,10,28,9781.0,8,27,7,30,17,19,1025.0
312993723.0,15,0,,,,,0,28,15,19,24,26,24,49,19,21,9.870072968559052e+17,24,26,0,,0,35,0,20,41,19,
315124797.0,15,15,105335.0,6352.0,311.0,7729887.0,6,36,15,21,4,9,15,36,0,22,9.870072938279052e+17,2,16,17,11973.0,4,15,20,20,29,20,2561.0
134334037.0,13,19,107664.0,939.0,5946.0,690791.0,21,46,18,31,27,5,7,46,11,27,9.870075481625052e+17,19,28,10,13438.0,14,21,4,24,33,25,8331.0
249092451.0,15,0,,,5969.0,,3,12,15,19,24,26,24,13,19,21,,24,26,0,,0,35,2,20,49,14,
316429220.0,9,0,105552.0,31623.0,,7729891.0,10,8,4,29,13,2,24,9,7,3,9.870072834677052e+17,20,6,26,8987.0,0,23,0,7,13,12,496.0
237255794.0,7,0,105442.0,6415.0,911.0,7729883.0,2,38,17,23,21,26,3,38,15,21,9.870075601912051e+17,24,17,31,,17,25,16,20,3,22,160620.0
207634635.0,4,24,,,4060.0,,23,21,9,14,28,26,24,22,16,15,9.870072609548051e+17,12,14,1,91175.0,30,34,0,10,38,19,1361.0
138522516.0,15,23,21768.0,,5618.0,,0,19,15,13,24,26,22,20,19,21,9.870075969470052e+17,24,12,14,10097.0,0,32,0,11,46,9,
304911105.0,15,3,,,,12626210.0,0,3,1,3,24,11,24,3,21,0,9.870072957525052e+17,22,21,0,8473.0,0,35,25,3,48,3,
122590795.0,15,0,,,,,0,27,15,15,24,26,24,29,19,21,,24,26,0,26244.0,0,35,0,20,1,19,
3.146998328418941e+18,21,9,105179.0,6788.0,956.0,7729894.0,14,15,19,9,10,22,9,16,4,12,9.870075678637052e+17,24,10,28,9781.0,8,27,7,30,17,19,1025.0
5.23714899764656e+21,15,27,2082.0,,1508.0,,1,29,10,16,22,26,0,30,23,16,9.870075630528051e+17,13,26,32,91744.0,34,11,0,28,43,30,411511.0
238996100.0,5,0,,6036.0,,,0,43,15,26,24,10,4,44,15,25,,24,26,0,,2,20,0,20,30,19,
234568816.0,15,0,124012.0,,,2622229.0,0,24,15,19,24,26,24,25,20,21,,24,26,0,,27,35,0,20,21,10,
138522516.0,15,23,21768.0,,5618.0,,0,19,15,13,24,26,22,20,19,21,9.870075969470052e+17,24,12,14,10097.0,0,32,0,11,46,9,
234568816.0,15,0,124012.0,,,2622229.0,0,24,15,19,24,26,24,25,20,21,,24,26,0,,27,35,0,20,21,10,
137661571.0,15,0,,,,,0,7,15,19,24,26,24,7,19,21,,24,26,0,,0,35,0,20,18,19,
3.146998328418941e+18,21,9,105179.0,6788.0,956.0,7729894.0,14,15,19,9,10,22,9,16,4,12,9.870075678637052e+17,24,10,28,9781.0,8,27,7,30,17,19,1025.0
158387538.0,15,0,,,,,0,34,15,19,24,26,24,49,19,21,,24,26,13,,0,35,0,20,49,19,
316639516.0,15,0,94350.0,,,2616167.0,0,35,15,20,24,26,24,35,19,21,,18,19,0,,26,35,0,20,2,23,
316639516.0,15,0,94350.0,,,2616167.0,0,35,15,20,24,26,24,35,19,21,,18,19,0,,26,35,0,20,2,23,
238996100.0,5,0,,6036.0,,,0,43,15,26,24,10,4,44,15,25,,24,26,0,,2,20,0,20,30,19,
304911105.0,15,3,,,,12626210.0,0,3,1,3,24,11,24,3,21,0,9.870072957525052e+17,22,21,0,8473.0,0,35,25,3,48,3,
315124797.0,15,15,105335.0,6352.0,311.0,7729887.0,6,36,15,21,4,9,15,36,0,22,9.870072938279052e+17,2,16,17,11973.0,4,15,20,20,29,20,2561.0
170298814.0,22,10,94111.0,5639.0,909.0,6255148.0,20,18,8,12,17,19,1,19,14,8,9.870075580863052e+17,10,11,29,10032.0,22,10,10,13,16,8,1354.0
304910901.0,19,5,94095.0,,5774.0,,24,5,2,4,26,7,21,5,15,1,9.870072823006052e+17,8,5,25,8529.0,20,35,12,5,6,5,
3.834151433038256e+21,24,0,105005.0,59862.0,1632.0,7730009.0,25,30,12,17,7,16,19,31,17,17,9.870075557822052e+17,14,18,33,11260.0,11,24,9,17,23,15,844204.0
316429220.0,9,0,105552.0,31623.0,,7729891.0,10,8,4,29,13,2,24,9,7,3,9.870072834677052e+17,20,6,26,8987.0,0,23,0,7,13,12,496.0
248539062.0,23,0,105223.0,6388.0,914.0,7729884.0,19,16,20,10,19,0,20,17,15,13,9.870075601925052e+17,11,22,30,9809.0,23,28,15,20,36,33,1026.0
173199948.0,10,13,105025.0,17227.0,2705.0,6269133.0,15,32,13,30,23,23,24,33,18,19,9.870075628982052e+17,15,24,34,11660.0,0,22,8,18,27,17,
173199948.0,10,13,105025.0,17227.0,2705.0,6269133.0,15,32,13,30,23,23,24,33,18,19,9.870075628982052e+17,15,24,34,11660.0,0,22,8,18,27,17,
207634635.0,4,24,,,4060.0,,23,21,9,14,28,26,24,22,16,15,9.870072609548051e+17,12,14,1,91175.0,30,34,0,10,38,19,1361.0
138522516.0,15,23,21768.0,,5618.0,,0,19,15,13,24,26,22,20,19,21,9.870075969470052e+17,24,12,14,10097.0,0,32,0,11,46,9,
173199948.0,10,13,105025.0,17227.0,2705.0,6269133.0,15,32,13,30,23,23,24,33,18,19,9.870075628982052e+17,15,24,34,11660.0,0,22,8,18,27,17,
151180158.0,0,0,108161.0,1338.0,,,0,11,6,7,18,18,2,12,15,21,9.870072849686052e+17,24,8,27,9042.0,24,13,13,9,10,16,
315125460.0,14,8,107650.0,6369.0,5448.0,7729893.0,13,10,5,6,9,12,10,11,4,5,9.870072957657052e+17,7,7,23,9037.0,7,31,6,8,12,24,523.0
155361876.0,15,28,,,,,0,39,15,19,24,26,24,39,8,10,9.870072601673052e+17,24,26,7,,31,3,0,20,34,19,
3.834151433038256e+21,24,0,105005.0,59862.0,1632.0,7730009.0,25,30,12,17,7,16,19,31,17,17,9.870075557822052e+17,14,18,33,11260.0,11,24,9,17,23,15,844204.0
170298814.0,22,10,94111.0,5639.0,909.0,6255148.0,20,18,8,12,17,19,1,19,14,8,9.870075580863052e+17,10,11,29,10032.0,22,10,10,13,16,8,1354.0
316429170.0,3,18,184559.0,1410.0,342.0,9406051.0,7,44,15,27,1,14,13,45,0,26,9.870072928003052e+17,3,1,18,12947.0,3,19,21,27,14,31,3567.0
315160619.0,12,20,118209.0,4489.0,357.0,7729889.0,5,14,15,8,2,1,12,15,0,11,9.870072938335052e+17,1,26,16,9778.0,5,26,19,29,11,32,1024.0
150317608.0,15,0,,,,,0,34,15,19,24,26,24,28,19,21,,24,26,0,,0,35,0,20,15,19,
151180158.0,0,0,108161.0,1338.0,,,0,11,6,7,18,18,2,12,15,21,9.870072849686052e+17,24,8,27,9042.0,24,13,13,9,10,16,
137661571.0,15,0,,,,,0,7,15,19,24,26,24,7,19,21,,24,26,0,,0,35,0,20,18,19,
249092451.0,15,0,,,5969.0,,3,12,15,19,24,26,24,13,19,21,,24,26,0,,0,35,2,20,49,14,
315526119.0,16,0,105024.0,260.0,2838.0,6255147.0,12,2,15,2,8,20,8,2,9,7,9.870072955035052e+17,6,3,22,8437.0,15,7,5,2,45,2,265.0
170298814.0,22,10,94111.0,5639.0,909.0,6255148.0,20,18,8,12,17,19,1,19,14,8,9.870075580863052e+17,10,11,29,10032.0,22,10,10,13,16,8,1354.0
315160619.0,12,20,118209.0,4489.0,357.0,7729889.0,5,14,15,8,2,1,12,15,0,11,9.870072938335052e+17,1,26,16,9778.0,5,26,19,29,11,32,1024.0
237255794.0,7,0,105442.0,6415.0,911.0,7729883.0,2,38,17,23,21,26,3,38,15,21,9.870075601912051e+17,24,17,31,,17,25,16,20,3,22,160620.0
245653394.0,8,0,110166.0,3573.0,913.0,9408659.0,22,48,24,33,20,6,5,48,15,29,,24,30,36,13754.0,25,30,17,20,35,27,4141.0
238996100.0,5,0,,6036.0,,,0,43,15,26,24,10,4,44,15,25,,24,26,0,,2,20,0,20,30,19,
245630258.0,15,12,106924.0,21939.0,2362.0,3578932.0,0,31,11,19,24,15,24,32,19,18,9.870072955348051e+17,24,23,21,,12,12,24,23,5,19,
315124797.0,15,15,105335.0,6352.0,311.0,7729887.0,6,36,15,21,4,9,15,36,0,22,9.870072938279052e+17,2,16,17,11973.0,4,15,20,20,29,20,2561.0
316430133.0,18,16,105416.0,238.0,1615.0,6255149.0,11,37,16,22,6,21,17,37,2,9,9.870075339721052e+17,17,20,35,11974.0,19,16,23,21,28,21,2562.0
234568816.0,15,0,124012.0,,,2622229.0,0,24,15,19,24,26,24,25,20,21,,24,26,0,,27,35,0,20,21,10,
316430131.0,15,21,118210.0,97.0,351.0,7729885.0,8,47,15,32,3,17,14,47,0,28,9.870072927970052e+17,4,29,19,13720.0,6,29,22,25,44,26,4139.0
316429170.0,3,18,184559.0,1410.0,342.0,9406051.0,7,44,15,27,1,14,13,45,0,26,9.870072928003052e+17,3,1,18,12947.0,3,19,21,27,14,31,3567.0
316639516.0,15,0,94350.0,,,2616167.0,0,35,15,20,24,26,24,35,19,21,,18,19,0,,26,35,0,20,2,23,
138522516.0,15,23,21768.0,,5618.0,,0,19,15,13,24,26,22,20,19,21,9.870075969470052e+17,24,12,14,10097.0,0,32,0,11,46,9,
304910901.0,19,5,94095.0,,5774.0,,24,5,2,4,26,7,21,5,15,1,9.870072823006052e+17,8,5,25,8529.0,20,35,12,5,6,5,
316429220.0,9,0,105552.0,31623.0,,7729891.0,10,8,4,29,13,2,24,9,7,3,9.870072834677052e+17,20,6,26,8987.0,0,23,0,7,13,12,496.0
316430133.0,18,16,105416.0,238.0,1615.0,6255149.0,11,37,16,22,6,21,17,37,2,9,9.870075339721052e+17,17,20,35,11974.0,19,16,23,21,28,21,2562.0
316639516.0,15,0,94350.0,,,2616167.0,0,35,15,20,24,26,24,35,19,21,,18,19,0,,26,35,0,20,2,23,
315160619.0,12,20,118209.0,4489.0,357.0,7729889.0,5,14,15,8,2,1,12,15,0,11,9.870072938335052e+17,1,26,16,9778.0,5,26,19,29,11,32,1024.0
248539062.0,23,0,105223.0,6388.0,914.0,7729884.0,19,16,20,10,19,0,20,17,15,13,9.870075601925052e+17,11,22,30,9809.0,23,28,15,20,36,33,1026.0
304910901.0,19,5,94095.0,,5774.0,,24,5,2,4,26,7,21,5,15,1,9.870072823006052e+17,8,5,25,8529.0,20,35,12,5,6,5,
151180158.0,0,0,108161.0,1338.0,,,0,11,6,7,18,18,2,12,15,21,9.870072849686052e+17,24,8,27,9042.0,24,13,13,9,10,16,
130102165.0,6,14,105384.0,1479.0,2089.0,2186224.0,16,33,14,18,25,25,18,34,5,20,9.870075548099052e+17,16,25,5,11904.0,13,14,3,19,40,18,153555.0
3.834151433038256e+21,24,0,105005.0,59862.0,1632.0,7730009.0,25,30,12,17,7,16,19,31,17,17,9.870075557822052e+17,14,18,33,11260.0,11,24,9,17,23,15,844204.0
151180158.0,0,0,108161.0,1338.0,,,0,11,6,7,18,18,2,12,15,21,9.870072849686052e+17,24,8,27,9042.0,24,13,13,9,10,16,
316429170.0,3,18,184559.0,1410.0,342.0,9406051.0,7,44,15,27,1,14,13,45,0,26,9.870072928003052e+17,3,1,18,12947.0,3,19,21,27,14,31,3567.0
249092451.0,15,0,,,5969.0,,3,12,15,19,24,26,24,13,19,21,,24,26,0,,0,35,2,20,49,14,
121997218.0,15,25,,,,,0,45,15,19,15,26,24,23,19,21,9.870072973005052e+17,24,26,9,,0,4,0,20,8,19,
138093290.0,15,0,20252.0,,,,0,34,15,19,24,26,24,8,19,21,,24,26,0,,33,35,0,20,47,29,
170298814.0,22,10,94111.0,5639.0,909.0,6255148.0,20,18,8,12,17,19,1,19,14,8,9.870075580863052e+17,10,11,29,10032.0,22,10,10,13,16,8,1354.0
316430131.0,15,21,118210.0,97.0,351.0,7729885.0,8,47,15,32,3,17,14,47,0,28,9.870072927970052e+17,4,29,19,13720.0,6,29,22,25,44,26,4139.0
316429220.0,9,0,105552.0,31623.0,,7729891.0,10,8,4,29,13,2,24,9,7,3,9.870072834677052e+17,20,6,26,8987.0,0,23,0,7,13,12,496.0
170298814.0,22,10,94111.0,5639.0,909.0,6255148.0,20,18,8,12,17,19,1,19,14,8,9.870075580863052e+17,10,11,29,10032.0,22,10,10,13,16,8,1354.0
138522516.0,15,23,21768.0,,5618.0,,0,19,15,13,24,26,22,20,19,21,9.870075969470052e+17,24,12,14,10097.0,0,32,0,11,46,9,
143875407.0,15,0,,,,,0,13,15,19,24,26,24,14,19,21,,24,26,0,,0,35,0,20,24,19,
315160619.0,12,20,118209.0,4489.0,357.0,7729889.0,5,14,15,8,2,1,12,15,0,11,9.870072938335052e+17,1,26,16,9778.0,5,26,19,29,11,32,1024.0
249092451.0,15,0,,,5969.0,,3,12,15,19,24,26,24,13,19,21,,24,26,0,,0,35,2,20,49,14,
137179268.0,1,26,,,,,0,26,7,19,24,26,24,27,19,21,9.870075573707052e+17,24,15,3,,1,1,0,12,0,7,
144248059.0,27,6,105206.0,1292.0,4839.0,2802361.0,17,6,3,5,12,24,6,6,1,2,9.870075597776051e+17,9,9,8,8617.0,9,9,1,6,4,6,5689.0
255510449.0,15,7,109970.0,,7208.0,615318.0,18,9,15,19,14,13,23,10,19,4,,24,26,0,,0,35,11,16,37,13,655523.0
255510449.0,15,7,109970.0,,7208.0,615318.0,18,9,15,19,14,13,23,10,19,4,,24,26,0,,0,35,11,16,37,13,655523.0
236775925.0,20,2,106017.0,6160.0,1587.0,10861432.0,9,1,15,1,5,8,16,1,10,21,9.870072939177052e+17,5,2,20,,10,6,0,1,32,1,155.0
315125460.0,14,8,107650.0,6369.0,5448.0,7729893.0,13,10,5,6,9,12,10,11,4,5,9.870072957657052e+17,7,7,23,9037.0,7,31,6,8,12,24,523.0
2.8145424500486832e+19,15,17,,,,8354456.0,0,40,15,24,16,3,24,41,3,23,,24,27,0,,0,35,0,22,31,19,913359.0
3.146998328418941e+18,21,9,105179.0,6788.0,956.0,7729894.0,14,15,19,9,10,22,9,16,4,12,9.870075678637052e+17,24,10,28,9781.0,8,27,7,30,17,19,1025.0
248539062.0,23,0,105223.0,6388.0,914.0,7729884.0,19,16,20,10,19,0,20,17,15,13,9.870075601925052e+17,11,22,30,9809.0,23,28,15,20,36,33,1026.0
252087561.0,17,4,105026.0,46239.0,,685608.0,0,4,15,28,11,26,24,4,15,21,9.870072823030052e+17,23,4,24,8512.0,16,8,14,4,9,4,1019655.0
252087561.0,17,4,105026.0,46239.0,,685608.0,0,4,15,28,11,26,24,4,15,21,9.870072823030052e+17,23,4,24,8512.0,16,8,14,4,9,4,1019655.0
315160619.0,12,20,118209.0,4489.0,357.0,7729889.0,5,14,15,8,2,1,12,15,0,11,9.870072938335052e+17,1,26,16,9778.0,5,26,19,29,11,32,1024.0
3.834151433038256e+21,24,0,105005.0,59862.0,1632.0,7730009.0,25,30,12,17,7,16,19,31,17,17,9.870075557822052e+17,14,18,33,11260.0,11,24,9,17,23,15,844204.0
173199948.0,10,13,105025.0,17227.0,2705.0,6269133.0,15,32,13,30,23,23,24,33,18,19,9.870075628982052e+17,15,24,34,11660.0,0,22,8,18,27,17,
173199948.0,10,13,105025.0,17227.0,2705.0,6269133.0,15,32,13,30,23,23,24,33,18,19,9.870075628982052e+17,15,24,34,11660.0,0,22,8,18,27,17,
151180158.0,0,0,108161.0,1338.0,,,0,11,6,7,18,18,2,12,15,21,9.870072849686052e+17,24,8,27,9042.0,24,13,13,9,10,16,
246181632.0,25,11,169014.0,430.0,,,0,25,23,19,24,26,24,26,19,21,9.870075360389052e+17,24,26,0,,18,33,0,15,20,11,
252087561.0,17,4,105026.0,46239.0,,685608.0,0,4,15,28,11,26,24,4,15,21,9.870072823030052e+17,23,4,24,8512.0,16,8,14,4,9,4,1019655.0
255510449.0,15,7,109970.0,,7208.0,615318.0,18,9,15,19,14,13,23,10,19,4,,24,26,0,,0,35,11,16,37,13,655523.0
170298814.0,22,10,94111.0,5639.0,909.0,6255148.0,20,18,8,12,17,19,1,19,14,8,9.870075580863052e+17,10,11,29,10032.0,22,10,10,13,16,8,1354.0
245653394.0,8,0,110166.0,3573.0,913.0,9408659.0,22,48,24,33,20,6,5,48,15,29,,24,30,36,13754.0,25,30,17,20,35,27,4141.0
8.34315891590825e+21,15,0,,,,,0,23,15,19,24,26,24,24,19,21,9.870073100011052e+17,24,26,4,,32,2,0,20,25,19,
316430133.0,18,16,105416.0,238.0,1615.0,6255149.0,11,37,16,22,6,21,17,37,2,9,9.870075339721052e+17,17,20,35,11974.0,19,16,23,21,28,21,2562.0
127043766.0,26,1,94080.0,2304.0,281.0,6255146.0,4,0,0,0,0,4,11,0,22,6,9.870072938312051e+17,0,0,15,8257.0,21,5,18,0,42,0,71.0
238996100.0,5,0,,6036.0,,,0,43,15,26,24,10,4,44,15,25,,24,26,0,,2,20,0,20,30,19,
122708852.0,15,22,18123.0,,,,0,17,15,11,24,26,24,18,13,14,9.870072821200051e+17,21,26,2,,35,17,0,20,19,28,
138522516.0,15,23,21768.0,,5618.0,,0,19,15,13,24,26,22,20,19,21,9.870075969470052e+17,24,12,14,10097.0,0,32,0,11,46,9,
245630258.0,15,12,106924.0,21939.0,2362.0,3578932.0,0,31,11,19,24,15,24,32,19,18,9.870072955348051e+17,24,23,21,,12,12,24,23,5,19,
255510449.0,15,7,109970.0,,7208.0,615318.0,18,9,15,19,14,13,23,10,19,4,,24,26,0,,0,35,11,16,37,13,655523.0
304911105.0,15,3,,,,12626210.0,0,3,1,3,24,11,24,3,21,0,9.870072957525052e+17,22,21,0,8473.0,0,35,25,3,48,3,
173199948.0,10,13,105025.0,17227.0,2705.0,6269133.0,15,32,13,30,23,23,24,33,18,19,9.870075628982052e+17,15,24,34,11660.0,0,22,8,18,27,17,
