PROFESSION,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,INSTAGRAM_HANDLE,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_DESCRIPTION,NATIONALITY,BIRTHPLACE,UCI_RIDER_ID,LANGUAGES,WEIGHT_KG,BIRTHDATE,FIRST_NAME,GOOGLE_KNOWLEDGE_GRAPH_ID,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,HEIGHT_CM
1,4,51602.0,20770.0,8,9,138672,6,5,18,86539,5,60.0,6,8,1,81864,18564,178
1,5,16313.0,3333.0,6,7,140752,3,1,13,44513,0,74.0,0,6,13,18746,150,181
1,13,,,12,0,217126,10,3,1,361755,3,,18,12,10,150617,96135,185
1,11,56041.0,20719.0,14,14,174582,14,7,17,88889,7,65.0,2,14,13,72449,18655,177
1,3,41890.0,17794.0,4,6,139904,8,5,19,68844,5,64.0,5,4,13,52412,7724,187
1,15,57346.0,21244.0,18,17,153344,1,1,7,77502,5,72.0,7,18,0,59352,16786,190
1,2,62255.0,24189.0,3,3,187231,9,2,3,79522,2,64.0,10,3,4,82930,34011,176
1,7,43345.0,15281.0,9,12,140722,0,0,16,64941,5,72.0,4,9,13,32784,6246,178
1,9,27794.0,12923.0,13,10,140821,13,6,4,58528,6,65.0,3,13,13,36053,2961,176
1,14,71935.0,28298.0,0,1,192457,12,4,2,98774,4,66.0,14,0,9,114071,45987,176
1,17,66570.0,27708.0,17,19,202331,5,8,10,109775,1,58.0,16,17,3,119805,65025,170
1,1,,27923.0,2,2,206705,4,8,6,109470,1,,15,2,7,132446,71217,194
1,6,,26392.0,7,8,193131,3,1,15,148275,5,69.0,13,7,5,89152,45363,176
1,0,92428.0,32221.0,1,4,238711,3,1,11,490235,5,,19,1,11,130986,113439,182
1,12,83295.0,28377.0,15,15,212377,3,1,0,587366,5,62.0,17,15,8,141854,84019,171
1,16,,16895.0,19,18,140066,2,1,12,53352,0,78.0,1,19,13,21913,1970,190
1,10,58116.0,22910.0,16,16,170625,9,2,5,99713,2,78.0,9,16,12,81488,27111,186
1,18,49495.0,23426.0,5,5,177246,6,5,8,87061,5,,12,5,2,88470,37748,181
1,19,73646.0,27126.0,11,13,179562,11,4,14,91890,4,73.0,11,11,6,109608,37719,179
0,8,48143.0,21971.0,10,11,168754,7,5,9,79462,5,,8,10,13,64280,16672,184
