Events_Participated,Profile_Image,Weight_Kg,Birth_Date,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Last_Name,First_Name,First_Cycling_Rider_Id,Height_Cm,Birth_Place,Pro_Cycling_Stats_Cyclist_Id,Uci_Rider_Id,Cycling_Archives_Cyclist_Id
0,5,60.0,8,65688.0,24926.0,0,2,58275,175.0,14,198937,95844,100412
3,14,,10,,27977.0,13,14,56038,,4,198635,152373,116701
2,6,64.0,2,54277.0,19548.0,3,3,9302,184.0,13,141131,110814,72903
2,9,57.0,11,65227.0,26509.0,4,6,46163,173.0,2,194909,111440,99609
3,2,,9,69978.0,26420.0,6,0,53723,177.0,0,198040,500320,70760
3,1,,14,,30595.0,7,10,67846,189.0,12,222307,159068,152981
4,12,56.0,0,49272.0,17881.0,1,11,4863,169.0,5,140294,76092,38092
4,13,68.0,4,,22744.0,11,9,16576,180.0,3,132419,747569,70980
3,11,,12,84444.0,,2,12,51252,182.0,6,209865,266691,140707
3,10,,5,48143.0,21971.0,14,7,16672,184.0,8,168754,79462,64280
3,7,,7,69190.0,25740.0,12,5,38195,175.0,7,196424,112082,115868
4,8,,1,,21163.0,5,8,18241,185.0,11,174487,87485,84304
3,3,,6,62259.0,24110.0,9,1,27301,184.0,1,181212,250807,94988
2,0,66.0,13,69634.0,26526.0,10,13,45992,176.0,9,194619,149727,115790
1,4,69.0,3,59981.0,22676.0,8,4,28781,182.0,10,170164,95753,81741
